"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"East Asia and Pacific",1994,174344843,80348502,100,100,6.64645437043743,3.54789942829777,3.10958744566036,115650,57113,58537
"North America",1994,19834273,9576968,100,100,4.60321683145093,2.13722173482533,2.4712767630364,9172,4097,5075
"Eastern and Southern Africa",1994,29626217,15862563,100,100,63.2707402568193,27.0413969225264,37.2362639270565,189867,86971,102896
"Eastern Europe and Central Asia",1994,31196760,16181909,100,100,8.07159857473527,3.74561948336481,4.34224348316244,25207,12145,13062
"Western Europe",1994,31148043,14864958,99.99,99.99,3.26783191017188,1.48604507540091,1.78443859095133,10236,4420,5816
"West and Central Africa",1994,25979644,14262474,100,100,35.3840516455027,15.8471671584511,19.8514741157049,92550,45562,46988
"World",1994,499879560,250532082,100,100,15.4392402392509,7.2528178955577,8.24623075367433,776177,364741,411436
"South Asia",1995,117729656,62288147,100,100,23.2808685695691,10.0957341264414,13.3196056403417,275094,126412,148682
"Sub-Saharan Africa",1995,57349590,31165946,100,100,40.4867826640788,17.2608853184693,23.6338383184597,233767,108526,125241
"Europe and Central Asia",1995,62328605,31047925,100,100,5.66216387005225,2.63253514936227,3.03762537626366,35390,16369,19021
"Middle East and North Africa",1995,27698539,15065372,100,100,7.51301968806195,3.69701148962266,3.83016837492861,20863,11164,9699
"Latin America and Caribbean",1995,46549023,24346950,100,100,7.56790078829461,3.46649016794201,4.11567757620504,35220,16908,18312
"East Asia and Pacific",1995,171054155,79478038,100,100,6.58037952748591,3.45955393213596,3.13165974112147,112529,55087,57442
"North America",1995,19896333,9831592,100,100,4.58169351797766,2.18291707114811,2.40402423236579,9141,4297,4844
"Eastern and Southern Africa",1995,30298612,16353169,100,100,45.4153846799418,18.8334868439843,27.0921372463622,138778,62183,76595
"Eastern Europe and Central Asia",1995,31522769,16288001,100,100,8.04854942500133,3.69251902875995,4.37217473464606,25392,12052,13340
"Western Europe",1995,30805836,14759924,99.99,99.99,3.22764038039769,1.46143047333387,1.76879487779919,9997,4318,5679
"West and Central Africa",1995,27050978,14812777,100,100,34.8946966819691,15.5218456983045,19.6782944334667,94989,46343,48646
"World",1995,502605901,253223970,100,100,14.2703417011935,6.66657045955301,7.65480252200736,721997,338765,383232
"South Asia",1996,120487585,63783601,100,100,22.6559100120858,9.88689967423566,12.8965169066533,273960,126754,147206
"Sub-Saharan Africa",1996,59188519,32307567,100,100,40.3920725128073,16.9971973935636,23.7993981880948,240261,110768,129493
"Europe and Central Asia",1996,62329370,31100061,100,100,5.49124410529911,2.54586192423518,2.95289985637428,34325,15855,18470
"Middle East and North Africa",1996,28633179,15628631,100,100,7.30911045398253,3.58504757325556,3.73746185929575,20974,11230,9744
"Latin America and Caribbean",1996,47219932,24691559,100,100,7.37739307314356,3.38206854347145,4.00888284624081,34827,16729,18098
"East Asia and Pacific",1996,168293383,79879543,100,100,6.42937740742389,3.32697421331276,3.11275926391442,108360,53239,55121
"North America",1996,19981809,10093803,100,100,4.52006588859699,2.15642268576458,2.36875123172539,9047,4358,4689
"Eastern and Southern Africa",1996,31269199,17028876,100,100,45.6434642535569,18.6109278202013,27.5451777482224,143525,63980,79545
