"ISO3","Year","Sex","Diarrhoeal","LRI","Malaria","OtherCMPN","TB","Measles","OtherNCD","Congenital","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD"
"CHN",2000,"Both",0.00988465175032616,0.0496358945965767,0,0.0622363593429327,0.00591483991593122,0.00113506324123591,0.0853450214490295,0.0590694174170494,0.018506184220314,0.113346755504608,0.165685191750526,0.291178077459335,0,0.136778968386352,0.00128357717767358,5,9,48281,2.38778782039856,48281,2.38778782039856,10.5622939292132,0,0,2196.7855
"CHN",2001,"Both",0.00988465175032616,0.0496358945965767,0,0.0622363593429327,0.00591483991593122,0.00113506324123591,0.0853450214490295,0.0590694174170494,0.018506184220314,0.113346755504608,0.165685191750526,0.291178077459335,0,0.136778968386352,0.00128357717767358,5,9,42431,2.24154731213671,42431,2.24154731213671,13.0823041743033,0,0,1930.6105
"CHN",2002,"Both",0.00988465175032616,0.0496358945965767,0,0.0622363593429327,0.00591483991593122,0.00113506324123591,0.0853450214490295,0.0590694174170494,0.018506184220314,0.113346755504608,0.165685191750526,0.291178077459335,0,0.136778968386352,0.00128357717767358,5,9,38304,2.10627919791964,38304,2.10627919791964,16.3137603466474,0,0,1742.832
"CHN",2003,"Both",0.00988465175032616,0.0496358945965767,0,0.0622363593429327,0.00591483991593122,0.00113506324123591,0.0853450214490295,0.0590694174170494,0.018506184220314,0.113346755504608,0.165685191750526,0.291178077459335,0,0.136778968386352,0.00128357717767358,5,9,34805,1.97954053102302,34805,1.97954053102302,19.2270054847492,0,0,1583.6275
"CHN",2004,"Both",0.00988465175032616,0.0496358945965767,0,0.0622363593429327,0.00591483991593122,0.00113506324123591,0.0853450214490295,0.0590694174170494,0.018506184220314,0.113346755504608,0.165685191750526,0.291178077459335,0,0.136778968386352,0.00128357717767358,5,9,31782,1.8627418231714,31782,1.8627418231714,20.4949191325602,0,0,1446.081
"CHN",2005,"Both",0.00900621898472309,0.0493468157947063,0,0.0592685118317604,0.00677354540675879,0.000558067637030035,0.0899464376270772,0.0545101203024387,0.0158173106610775,0.110914036631584,0.169908598065376,0.294671207666397,0,0.138635429553687,0.000643698149360716,5,9,29312,1.75454038491977,29312,1.75454038491977,20.4523134621255,0,0,1333.696
"CHN",2006,"Both",0.0065265498124063,0.0509219355881214,0,0.0556256901472807,0.00672187376767397,0.000300109531963244,0.0984536437317729,0.0523413680493832,0.014240468852222,0.109152153134346,0.17277817428112,0.295252442359924,0,0.134318041615188,0.00336756929755211,5,9,27263,1.65684381011341,27263,1.65684381011341,18.930483779169,0,0,1240.4665
"CHN",2007,"Both",0.00438343686982989,0.053375419229269,0,0.0534670706838369,0.00537513894960284,0.000157983129611239,0.103962590917945,0.0546657703816891,0.0121355419978499,0.105661168694496,0.178287282586098,0.292921662330627,0.000910396571271122,0.128787961788475,0.00590858282521367,5,9,25433,1.56723214768647,25433,1.56723214768647,18.7011788704666,0,0,1157.2015
"CHN",2008,"Both",0.00222622160799801,0.0410905443131924,0,0.0395073369145394,0.00253242230974138,0.000238088614423759,0.0817466797307134,0.0435239262878895,0.00816477369517088,0.0794783234596252,0.131955236196518,0.211888149380684,0,0.0891597187146545,0.268488556146622,5,9,23907,1.48651108936399,27985,1.73984467634572,19.2145188812226,0,0,1087.7685
"CHN",2009,"Both",0.00298335286788642,0.0553612746298313,0,0.0520850718021393,0.00209259171970189,0.000292883603833616,0.112871738150716,0.0613417103886604,0.0110273137688637,0.11124561727047,0.180270716547966,0.289886325597763,0,0.119072532746941,0.00146889127790928,5,9,22624,1.41134124874687,22624,1.41134124874687,19.3995582694556,0,0,1029.392
"CHN",2010,"Both",0.00305284140631557,0.0523902736604214,0,0.0471913833171129,0.00166500348132104,0.000162860946147703,0.120950082316995,0.0584865212440491,0.0114271622151136,0.116354867815971,0.176880478858948,0.290204793214798,0,0.11713737109676,0.00409636087715626,5,9,21400,1.33901545293108,21400,1.33901545293108,19.444367961673,0,0,973.7
"CHN",2011,"Both",0.00250294525176287,0.0476550869643688,0,0.0415150020271539,0.00212044781073928,2.34630351769738e-05,0.12726716697216,0.0605436377227306,0.0126804355531931,0.11520466953516,0.174713343381882,0.29134812951088,0,0.121249452233314,0.00317623233422637,5,9,20340,1.27143882256866,20340,1.27143882256866,18.7301030475773,0,0,925.47
"CHN",2012,"Both",0.00158079818356782,0.0451695322990417,0,0.0386055186390877,0.0020669661462307,4.55082445114385e-05,0.13731948658824,0.0597579218447208,0.0125075513496995,0.120570436120033,0.175235211849213,0.279684603214264,0,0.126489807851612,0.000966706837061793,5,9,19612,1.21234311275811,19612,1.21234311275811,17.2707525453057,0,0,892.346
"CHN",2013,"Both",0.000868718430865556,0.0429913438856602,0,0.0412088986486196,0.00201701396144927,6.31016664556228e-05,0.143297389149666,0.0589151680469513,0.0115915676578879,0.129905164241791,0.176592394709587,0.256393909454346,0,0.135294637875632,0.000860670523252338,5,9,19074,1.15856370613987,19074,1.15856370613987,16.637526652452,0,0,867.867
"CHN",2014,"Both",0.000655473966617137,0.0412663482129574,0,0.0445118211209774,0.00162373529747128,9.0272405941505e-05,0.145915614441037,0.0594031736254692,0.0107817891985178,0.14394910633564,0.176694631576538,0.232562273740768,0,0.139279665891081,0.00326612940989435,5,9,18674,1.1108990676477,18674,1.1108990676477,14.3631742634518,0,0,849.667
