"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","OCDresid"
"AFG",2000,"Male",0.0682568636885424,0.0330748461934997,0.0237673557717046,0.0107321450371016,0.0291974229089422,0.0472381709529936,0.353254529928597,0.0617879313701,0.0663282848613951,0.0425899567249833,0,15,19,2007,9.71625933225831,2007,9.71625933225831,0.222065558452336,0,2789.92962555004,4.86348824245726e-05,0,0,0.0416582992273812,0,55.9953,739.800679648093
"AFG",2001,"Male",0.0681944707505481,0.0331076700927795,0.023800789508976,0.0107613303283132,0.0292371891207006,0.0473172987940725,0.337109032146424,0.0618635784735547,0.0664177725826288,0.0426577300624518,0,15,19,1849,9.08036954131556,1849,9.08036954131556,0.229393476370122,0,2661.37007106408,5.86074573597928e-05,0,0,0.0499934364898666,8.76178222021593e-05,51.5871,656.17661724531
"AFG",2002,"Male",0.0692246619934593,0.0336705210614714,0.0242147366773127,0.0109645689886506,0.0297444436836979,0.0481520961545024,0.339116769560903,0.062928835208101,0.0675693724456253,0.0434072752331542,0,15,19,1776,8.44160334320732,1776,8.44160334320732,0.228678752995839,0,2507.28178154488,7.02136336160753e-05,0,0,0.0126734741089122,0.0295842782547546,49.5504,628.844957217397
"AFG",2003,"Male",0.0723553534491234,0.0352555004101947,0.0253629648495392,0.0114999916455108,0.0311536496353872,0.0504450501260113,0.345182655589036,0.0659032831846943,0.0707703490590048,0.045472849442501,0,15,19,1852,7.91183058485493,1852,7.91183058485493,0.243115314853517,0,2675.43542705786,8.5266920559708e-05,0,0,0,0.00339777083491993,51.6708,641.45780477178
"AFG",2004,"Male",0.0724480886998824,0.0353598932099431,0.0254446712536983,0.0115418084803282,0.0312526477946815,0.0506130945673009,0.36205484070696,0.0661081855520444,0.0709960275518653,0.0456264272772523,0,15,19,1860,7.4504237568574,1860,7.4504237568574,0.224164744022016,0,2454.82049271664,9.77893882776785e-05,0,0,0.00385618223621213,0.000435599259537085,51.894,676.324641295577
"AFG",2005,"Male",0.0711764283044466,0.0347938137150906,0.0250417001052876,0.0113499424632909,0.0307561530005848,0.0498119308207244,0.363997352816188,0.0650562501551549,0.069870292868336,0.0449107057226734,0,15,19,1841,7.09071488123447,1841,7.09071488123447,0.211849741064891,0,2319.11620566212,0.000109559225572886,0,0,0.00866723887978789,0.012608890857971,51.3639,684.686607628205
"AFG",2006,"Male",0.0694646234097933,0.0340066894213831,0.0244771353671319,0.0110703197314646,0.0300610766315851,0.0486840059007616,0.378651698729177,0.0635877263683451,0.0682947420806085,0.0439048076074755,0,15,19,1916,6.97030045032793,1916,6.97030045032793,0.186026421067106,0,2147.21172255036,0.000122256747888677,0,0,0.0340508306467419,0.00759766629053675,53.4564,757.025634588714
"AFG",2007,"Male",0.0706579801041271,0.0346387970774247,0.0249321186472004,0.0112361239923971,0.0306179742834918,0.0495792875242642,0.412429544410792,0.0647699924382434,0.0695647299710974,0.0447277755981835,0,15,19,2038,7.06177546360241,2038,7.06177546360241,0.166745349379372,0,1988.05159250225,0.000143612050851967,0,0,0.0142323191437168,0.0057243953788379,56.8602,857.647232489036
"AFG",2008,"Male",0.0701266515357475,0.0344238647987395,0.0247763872829283,0.0111220758290276,0.0304249166487846,0.0492579091298779,0.411937730236386,0.0643669049248795,0.0691312157828883,0.0444548603736298,0,15,19,2143,7.29206318117468,2143,7.29206318117468,0.169026612383184,0,2127.09052215102,0.000164918518015857,0,0,0.0202600845220357,0.000525868033875906,59.7897,901.521539852073
"AFG",2009,"Male",0.0652673400844052,0.0320849805508112,0.0230925307334,0.0103270569898461,0.0283556107351499,0.0459000622152274,0.385664826225143,0.0599932301738236,0.0644337623854542,0.0414397825375537,0,15,19,2378,7.60394907548009,2378,7.60394907548009,0.160613942929214,0,2411.50547900724,0.000179064442508973,0,0,0.0806494138613029,0.00199839613616107,66.3462,999.737033124491
"AFG",2010,"Male",0.0644865503438909,0.0317555067757426,0.0228572626630254,0.010194377320543,0.0280652304355424,0.0454260289865053,0.40010211331085,0.0593792407110362,0.0637772991879872,0.0410241318052467,0,15,19,2610,7.93407120831394,2610,7.93407120831394,0.144084428470625,0,2383.23944244656,0.000199730044826934,0,0,0.0817825367798345,0.0068655631643431,72.819,1145.8433517035
"AFG",2011,"Male",0.0648134049490648,0.032181635095726,0.0231676130786535,0.0103250368354155,0.0284452565402466,0.0460415326535265,0.406072451588082,0.0601873996573309,0.0646410776329379,0.0415896666760218,0,15,19,2855,8.28299825510471,2855,8.28299825510471,0.140919791319508,0,2535.29897655296,0.000220089211565282,0,0,0.0797164486693889,0.00167859609253374,79.6545,1262.06248145429
"AFG",2012,"Male",0.0647820285938293,0.032599651154033,0.0234745440028841,0.0104739097875883,0.0288212117053525,0.0466551652220884,0.409513051694504,0.0609891684415435,0.0654931854825486,0.0421515015726962,0,15,19,3125,8.55272973992114,3125,8.55272973992114,0.134129055012921,0,2640.86586410514,0.000240770285372656,0,0,0.0750382065527056,0.00563855049193284,87.1875,1392.03299421797
