"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid","LRIresid"
"AFG",2000,"Both",40.3939065017961,551.806626566256,215.292190893401,134.106486754661,195.603254067871,13.2665264015403,112.577918007314,1052.69803697324,372.126447768117,390.054480981623,125.105935882489,5,9,3835,5.83738022925215,3835.48235154069,5.83811443247176,457.394475953388,0,2679.089365567,0.0532872755183661,0,2679.089365567,0.192927917204514,1.68034526586266,0.482351540693921,0,0,173.182791605937,0,174.4925,103.1615,389.725878156709,204.854157556179
"AFG",2001,"Both",41.2815027829576,517.062194561417,200.286773411052,136.636515184406,192.910911091912,12.0964141864912,114.478103528727,1019.89064722873,353.576127360018,369.497303253814,124.394804596516,5,9,3711,5.67277383242026,3711,5.67277383242026,436.044356025363,0,2555.63731426393,0.0528714428172385,0,2555.63731426393,0.192154440614528,0,0,0,0,192.208646137445,0.443546210538092,168.8505,99.8259,372.936696531057,203.474025366424
"AFG",2002,"Both",44.6796505763558,502.33508193565,194.011290774219,148.093117415098,207.003788414382,16.1268704773984,121.395867442345,1035.49380268153,360.539527391547,372.645449549409,128.284026243373,5,9,3736,5.52268775896966,3736,5.52268775896966,414.492638080394,0,2407.67075122638,0.0498762686717926,0,2407.67075122638,0.191844856917674,0,0,0,0,46.483422441903,144.223621719482,169.988,100.4984,379.933531900807,218.138857112641
"AFG",2003,"Both",55.549922752987,554.073464265799,214.187778383704,184.405765127181,246.033018164773,17.7983366365681,145.561605365603,1195.21719696251,411.664811288137,433.418522413807,149.23859549907,5,9,4085,5.45353902301265,4085,5.45353902301265,463.802843727511,0,2569.14387203542,0.04859818800579,0,2569.14387203542,0.437078791130302,0,0,0,0,0,13.6110606212248,185.8675,109.8865,413.041047944841,246.85553116339
"AFG",2004,"Both",63.9456408881261,561.850317782437,218.15241463494,212.636524925993,290.904905903678,7.40508118889588,159.596887018702,1268.22047224441,463.800695188936,469.137014888055,158.503864488344,5,9,4321,5.46418822158313,4321,5.46418822158313,429.649347811389,0,2357.29368088146,0.042583817018981,0,2357.29368088146,0.460152161548584,0,0,0,0,14.9410943904284,1.79558648411553,196.6055,116.2349,465.604136021722,292.036059416827
"AFG",2005,"Both",70.335064069799,554.18788563029,215.599004524953,232.585070804909,319.163894175767,3.91200805615187,166.738339234819,1284.2617413453,490.407153263294,485.751381154044,161.253216699615,5,9,4493,5.54480716752129,4500.02257346211,5.5534737189718,400.967598021353,0,2226.98074790275,0.0389731777944293,0,2226.98074790275,0.469519915811619,10.4628695730038,7.0225734621103,0,0,33.156603855582,70.7712231374184,204.4315,120.8617,502.01939106014,326.721302363381
"AFG",2006,"Both",78.2839955798779,568.91426927849,220.646969110468,254.717154523082,365.429092210321,4.18510795544571,176.482384380476,1317.27935149768,550.052033390405,508.228453519098,167.569334545817,5,9,4767,5.68465580692303,4776.93941967626,5.6965085822073,368.452229704687,0,2061.90580537361,0.0342831601257615,0,2061.90580537361,0.493026207323002,14.1032327733481,9.93941967626179,0,0,136.282847195152,45.8199378045867,216.8985,128.2323,571.898980547138,379.943191936201
"AFG",2007,"Both",89.4841526968344,611.526300612425,235.739272805603,284.520302465392,429.660190196729,5.68055229544214,192.028533567854,1388.66081175203,639.245229025563,546.737014844705,179.752180044887,5,9,5049,5.83500018221287,5049.40886385426,5.83547269571339,350.860269774519,0,1909.06889940683,0.0301778276086203,0,1909.06889940683,0.806579995508286,5.63672615570677,0.408863854259505,0,0,60.5377108879655,28.5330367330985,229.7295,135.8181,650.724838424265,437.376057181218
"AFG",2008,"Both",97.8115112960957,642.57437865304,245.070917614163,301.145900938804,463.005372937936,4.15422863212798,200.718509402514,1400.63231795618,689.332333147088,559.694327719061,186.12690385311,5,9,5265,5.94365306949225,5264.41031982436,5.94298738015019,374.279668542091,0,2042.58399398502,0.030873220857638,0,2042.58399398502,0.849417804691862,5.8364048279607,-0.589680175639615,0,0,90.7299497763947,2.44817672309289,239.5575,141.6285,701.751688822751,471.347109034959
"AFG",2009,"Both",97.7892005598671,624.132715339874,235.837915225912,291.351694820986,446.86449851846,3.30037831898761,193.605423755599,1301.86258101338,668.832117778029,526.869932732825,177.516411313564,5,9,5386,5.91563371238412,5402.84889734299,5.93413945043438,395.899645147788,0,2315.69951609126,0.0339682626364744,0,2315.69951609126,0.827306750314232,24.2726454559338,16.848897342993,0,0,402.084772711557,11.8016578999143,245.063,144.8834,724.506738649473,484.062191145086
"AFG",2010,"Both",98.8884095296678,613.29217606752,229.721200996479,284.524381631677,450.906440180136,3.61405583723063,190.215745485179,1223.26114974553,675.522735797341,498.172610057977,171.70570363357,5,9,5320,5.70951520506108,5335.23608394528,5.72586683155566,386.364307046274,0,2288.55645224369,0.0340832116678658,0,2288.55645224369,0.818965953302801,24.2221562364371,15.2360839452757,0,0,443.419222768329,40.5868229786301,242.06,143.108,743.131812909167,496.035000136564
"AFG",2011,"Both",97.6845964874697,595.358662995756,221.651003432442,272.988043014157,430.905076800788,4.71928136631323,184.639477938092,1131.4295132278,650.035259555807,464.924877708451,164.877354421499,5,9,5118,5.37355409765124,5148.3608921103,5.4054309824124,409.024225545227,0,2434.57485967118,0.0376036265057552,0,2434.57485967118,1.07166899566275,41.3786018405138,30.3608921102966,0,0,468.130599703837,9.54264907648831,232.869,137.6742,716.949610829057,475.262260892893
"AFG",2012,"Both",92.6369764572594,559.371341396719,207.961330398072,253.520490474627,395.256394442112,2.14170332749318,173.630893904021,1015.86432649914,601.625884576968,423.782286044491,153.79883732406,5,9,4826,4.94146231501895,4871.80085512671,4.98835895811971,419.781742782354,0,2535.9477126661,0.041514328772874,0,2535.9477126661,1.02360993521168,59.1532070299738,45.8008551267094,0,0,475.310394479327,36.9414360548806,219.583,129.8194,673.068154399937,442.192563089248
"AFG",2013,"Both",84.5166198409672,508.41725802297,189.762169032098,230.21087604299,346.005618069054,3.11228491208303,158.019310717592,886.583877828619,533.062038882801,382.247905425245,140.415490741115,5,9,4402,4.43382085609901,4386.70143271692,4.41841169965009,419.137380445095,0,2550.47383589943,0.0458632705355241,0,2550.47383589943,0.953229178379988,0.964713152060199,-15.2985672830822,0,0,486.505077194451,16.7875832313985,200.291,118.4138,601.876183765668,390.672240329366
"AFG",2014,"Both",68.7853756818191,412.636313803636,155.37432999405,189.917134411451,259.004218333511,2.74399315356065,128.781231793156,697.339518647305,406.104101029868,316.915278927893,116.2491391341,5,9,3926,3.91008863747296,3948.84111194214,3.93283717855095,392.369531338185,0,2621.77568822535,0.0528835942005262,0,2621.77568822535,0.798843488978635,41.0397164102182,22.8411119421391,0,0,706.999898228613,53.7824875657966,178.633,105.6094,503.714086983371,321.25770961646
"AFG",2015,"Both",56.7408143162449,334.277423515823,126.639322106705,159.121728920865,203.094792728628,2.70906764111377,105.817479399259,552.35329217492,319.199606651438,264.358662442659,97.2095933957068,5,9,3519,3.4528650470905,3522.84926984973,3.45664197500211,336.737185371757,0,2458.60750279361,0.0556922768636661,0,2458.60750279361,0.841249631269267,24.1886709511792,3.84926984973338,0,0,900.580356960967,38.9800236411988,160.1145,94.6611,435.468001405915,277.072031551909
"AFG",2016,"Both",51.2579248665275,292.758709878274,111.738759105795,147.670450549188,180.194148704241,5.5320087399183,95.3082017421423,481.437414094187,279.458382812441,244.645588586385,89.4190600565751,5,9,3187,3.09299063668006,3176.84730778514,3.08313742615051,290.8599504992,0,2141.61312330833,0.0540520721879699,0,2141.61312330833,0.774240958155033,14.4169081217778,-10.1526922148631,0,0,884.90343141631,6.47212765401456,145.0085,85.7303,387.970196755077,250.162326938742
"AFG",2017,"Both",66.3455981371774,365.333528586693,140.533420764028,199.384090490749,229.058530880636,7.72541156980132,123.441496334135,618.512860287249,341.547450311413,329.948047423709,119.231867177844,5,9,2972,2.84667596450408,2968.26029155671,2.84309395301694,362.256626902664,0,1932.01132605558,0.0524597799224475,0,1932.01132605558,1.02673487665024,37.8223358988298,-3.73970844329062,0,0,0,26.0922919151359,135.226,79.9468,344.572580987412,231.087332406558
"AFG",2018,"Both",63.8025350024879,339.753811844414,131.665476386585,201.665958082279,207.660267711209,5.77429131533322,119.136261622773,608.513966801733,290.000466704243,334.989659967775,118.968467040981,5,9,2842,2.65964760964575,2856.67595397176,2.67338190447343,365.125453781531,0,1931.7878125574,0.0548551781329863,0,1931.7878125574,1.02143079278727,66.1755108662522,14.6759539717584,0,0,0,2.4223960513765,129.311,76.4498,290.247861240835,207.837419204386
"AFG",2019,"Both",54.3255632114192,284.482426887824,111.800636187847,184.537041562384,181.014079185675,3.12268041800994,103.862702080235,560.809173533269,226.625740388314,314.882912697355,107.781853594041,5,9,2751,2.50334329425171,2696.43922771766,2.45369431445448,303.849672966659,0,1775.63981629279,0.0519434861184177,0,1775.63981629279,0.925766570528525,2.9153459507917,-54.5607722823367,0,0,253.215729530891,2.28790295242357,125.1705,74.0019,249.829019959126,199.547367939201
