"ISO3","Year","Sex","Diarrhoeal","LRI","Malaria","OtherCMPN","TB","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD","OCDresid"
"CHN",2000,"Both",164.405403790297,1029.30022726022,0,1880.36407177959,384.091053607873,7236.01576957854,510.651882826353,6467.35643599928,6102.7591391355,13087.6877372563,0,7427.3447734285,179.336423792876,10,14,44473,1.77640548875146,44473,1.77640548875146,3.68570954998757,0,0,1476.5036,1880.36407177959
"CHN",2001,"Both",158.468429030618,992.130345197396,0,1811.48978527829,370.220835001208,6974.71022855492,492.211325098762,6233.80856569112,5882.37753282489,12615.0677991808,0,7159.12999803386,172.860263052397,10,14,42867,1.70806666067114,42867,1.70806666067114,4.52357060629316,0,0,1423.1844,1811.48978527829
"CHN",2002,"Both",146.742349368287,918.716356465594,0,1676.35879140144,342.82585777808,6458.60737916084,455.789501243273,5772.52970851959,5447.1032767743,11681.5992788971,0,6629.38076543621,160.069240718149,10,14,39695,1.64213982276529,39695,1.64213982276529,5.27626964408043,0,0,1317.874,1676.35879140144
"CHN",2003,"Both",134.284313913668,840.719779534267,0,1532.84606561295,313.720853603445,5910.28877813371,417.094183969313,5282.45727829636,4984.65868569912,10689.8625470698,0,6066.5639577899,146.479787607677,10,14,36325,1.58019183376445,36325,1.58019183376445,6.02264814139338,0,0,1205.99,1532.84606561295
"CHN",2004,"Both",122.014812526759,763.903566230089,0,1389.52319214613,285.056310916319,5370.26817373933,378.984463484959,4799.80137446523,4529.21251425148,9713.13429397346,0,5512.26455583795,133.095990909264,10,14,33006,1.52140724327399,33006,1.52140724327399,8.73973328197968,0,0,1095.7992,1389.52319214612
"CHN",2005,"Both",112.444131061435,706.773887157441,0,1259.37361689031,268.985049605369,4975.52946734429,374.162424087524,4244.84543895721,3985.6481256485,8644.11930084229,0,4813.87692642211,107.385375857353,10,14,29504,1.4667382629614,29504,1.4667382629614,10.8553257470237,0,0,979.5328,1259.37361689031
"CHN",2006,"Both",75.1371455988846,604.722014836966,0,1097.64763237222,244.88209451735,4641.50797298923,344.550533961505,3905.00848019122,3628.33387845755,7797.74779361485,0,4250.26924617029,84.39378486434,10,14,26686,1.416795248804,26686,1.416795248804,11.7988704110449,0,0,885.9752,1097.64763237222
"CHN",2007,"Both",51.0413750722073,563.624082719908,0,916.061022071386,233.701833595522,4482.62772661448,288.633475701324,3735.06707510351,3461.40376865863,7030.55358585715,0,3822.75848157518,187.494220030494,10,14,24787,1.36950968169514,24787,1.36950968169514,14.0335261353899,0,0,822.9284,916.061022071386
"CHN",2008,"Both",21.5096515634256,459.653165154911,0,710.17927990028,185.233397448126,3854.38417565824,222.168598123155,3238.0127808277,2957.75356033464,5710.72184016095,0,3077.40795600645,6957.33589251734,10,14,23208,1.32603142760446,27410,1.56597419028393,15.6397023047897,0,0,770.5056,601.307600035699
"CHN",2009,"Both",16.9764749088208,521.709298005328,0,751.123745912449,210.210439780727,4159.7556549944,263.86780417338,3450.99981057645,3275.50561331213,5913.77758336068,0,3215.55734961852,28.7138124669435,10,14,21827,1.28500524741759,21827,1.28500524741759,18.8024395706631,0,0,724.6564,751.123745912449
"CHN",2010,"Both",10.5972578306682,465.802300330252,0,659.274744594487,190.352262686938,3911.21683933771,293.340766290202,3197.76685118675,3183.27158212662,5513.97247970105,0,3166.10982144252,79.0360260708258,10,14,20690,1.24387314465291,20690,1.24387314465291,19.2588323559432,0,0,686.908,659.274744594488
"CHN",2011,"Both",11.1779738266487,436.049937762319,0,562.824420403217,164.753884956241,3740.87269388884,273.321187693626,2936.74180459976,3107.63272500037,5208.89374816418,18.2052278423216,3201.17909258605,69.2471444616093,10,14,19748,1.20513107273101,19748,1.20513107273101,17.1005281227533,0,0,655.6336,562.824420403218
"CHN",2012,"Both",13.8818029116374,414.097181512044,0,520.116161606994,121.899690346327,3668.02490563598,224.103698008693,2842.52064555883,2944.05244000255,4961.79997697472,0,3124.08068099991,54.4009008316788,10,14,18905,1.16953181987312,18905,1.16953181987312,16.0224896150321,0,0,627.646,520.116161606995
"CHN",2013,"Both",13.2270264539402,415.295138217508,0,535.406881583692,110.523229686543,3703.93141358345,178.881215494126,2762.88529032469,2879.35434347391,4584.6602025032,0,2970.70409277453,31.5294494032859,10,14,18204,1.13600080600995,18204,1.13600080600995,17.6010609984676,0,0,604.3728,535.406881583692
"CHN",2014,"Both",10.514808690059,418.03506698832,0,514.04620387113,99.4726465791464,3705.47589883395,160.65563650243,2801.68192133308,2797.90529415011,4276.01501986384,0,2828.63544156589,45.0202798470856,10,14,17674,1.10626039240302,17674,1.10626039240302,16.5427443106001,0,0,586.7768,514.04620387113
"CHN",2015,"Both",7.53223197616172,400.364228524268,0,474.002582913471,71.4333225851879,3741.47777187825,156.537165267393,2818.53630682825,2739.3494849503,3959.97348421812,0,2765.89458945953,6.37531367316843,10,14,17154,1.07666222119174,17154,1.07666222119174,12.5238475722223,0,0,569.5128,474.002582913472
"CHN",2016,"Both",9.27220695186406,386.199873073027,0,423.081979666544,43.9498485627118,3808.51976614632,148.011305421591,2872.37116605044,2569.244673118,3656.19625811278,0,2762.85099075689,50.9719310475048,10,14,16741,1.04936565400671,16741,1.04936565400671,10.330870914748,0,0,555.8012,423.081979666543
