"ISO3","Year","Sex","OtherCMPN","TB","Maternal","Cardiovascular","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","InterpVio","SelfHarm","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD","OCDresid"
"CHN",2000,"Female",0.0567323737986533,0.023825841024518,0.0145995216444135,0.05239138007164,0.172903889790177,0.0129673667252064,0.176710546016693,0.165889278054237,0.0619080364704132,0,0.0219662394374609,0.135493397712708,0.0995126292109489,0.00368605391122401,15,19,22262,2.14753347761238,22262,2.14753347761238,0.00141345317483329,0,0,1055.2188,1262.97610550562
"CHN",2001,"Female",0.0566209264639467,0.023825841024518,0.0145995216444135,0.05239138007164,0.172903889790177,0.0129673667252064,0.176710546016693,0.165889278054237,0.0619080364704132,0,0.0219662394374609,0.135493397712708,0.0995126292109489,0.00368605391122401,15,19,21438,2.01998230001299,21438,2.01998230001299,0.00152490050953992,0,0,1016.1612,1213.83942153409
"CHN",2002,"Female",0.0564878271242139,0.023825841024518,0.0145995216444135,0.05239138007164,0.172903889790177,0.0129673667252064,0.176710546016693,0.165889278054237,0.0619080364704132,0,0.0219662394374609,0.135493397712708,0.0995126292109489,0.00368605391122401,15,19,20667,1.8990498663355,20667,1.8990498663355,0.00165799984927274,0,0,979.6158,1167.43392317613
"CHN",2003,"Female",0.0563797727894412,0.023825841024518,0.0145995216444135,0.05239138007164,0.172903889790177,0.0129673667252064,0.176710546016693,0.165889278054237,0.0619080364704132,0,0.0219662394374609,0.135493397712708,0.0995126292109489,0.00368605391122401,15,19,19979,1.78378567060629,19979,1.78378567060629,0.00176605418404539,0,0,947.0046,1126.41148056025
"CHN",2004,"Female",0.0563244687606479,0.023825841024518,0.0145995216444135,0.05239138007164,0.172903889790177,0.0129673667252064,0.176710546016693,0.165889278054237,0.0619080364704132,0,0.0219662394374609,0.135493397712708,0.0995126292109489,0.00368605391122401,15,19,19426,1.67975889800805,19426,1.67975889800805,0.00182135821283872,0,0,920.7924,1094.15913014435
"CHN",2005,"Female",0.0482336768399992,0.0215756241232157,0.013892263174057,0.057640690356493,0.177017962560057,0.01356007065624,0.172822341322899,0.174347802996635,0.0645672753453255,0,0.0215595755726099,0.129513457417488,0.10221915692091,0.00111959304194897,15,19,18729,1.57376791912982,18729,1.57376791912982,0.00193050193050193,0,0,887.7546,903.368533536344
"CHN",2006,"Female",0.0414856877808055,0.0189697854220867,0.01353760343045,0.0658315494656563,0.176885432563722,0.0144836101680994,0.170831501483917,0.183086156845093,0.0624622516334057,0,0.0203009732067585,0.126724764704704,0.098830558359623,0.00487882690504193,15,19,17418,1.46421454920975,17418,1.46421454920975,0.00169128900844927,0,0,825.6132,722.597709766071
"CHN",2007,"Female",0.0374251028999663,0.0166173633188009,0.012921922840178,0.0698403045535088,0.178485902026296,0.014927483163774,0.171089231967926,0.192224681377411,0.0587657615542412,0,0.0195185765624046,0.125647082924843,0.0979771539568901,0.00295767839998007,15,19,15698,1.37414358612654,15698,1.37414358612654,0.00160173093788563,0,0,744.0852,587.49926532367
"CHN",2008,"Female",0.0309019962007519,0.0131550943478942,0.00935166329145432,0.0624089203774929,0.144108382984996,0.0119913825765252,0.138383269309998,0.166657507419586,0.042586799710989,0,0.0152559420093894,0.103634893894196,0.0783185511827469,0.181927740573883,15,19,14066,1.29871488431645,14066,1.29871488431645,0.0013179019295271,0,0,666.7284,434.667478559776
"CHN",2009,"Female",0.0362474158068144,0.0176296569406986,0.00904745794832706,0.0793319270014763,0.172250567935407,0.0126213189214468,0.172153741121292,0.216516271233559,0.0523833148181438,0,0.0172613300383091,0.118922881782055,0.0940292179584503,0,15,19,12525,1.22934239389187,12525,1.22934239389187,0.00160485501289795,0,0,593.685,453.998882980351
"CHN",2010,"Female",0.0322380523500343,0.0191486794501543,0.00821075402200222,0.0846084952354431,0.170049537904561,0.012061552144587,0.167992994189262,0.225477814674377,0.0561989471316338,0,0.015084533020854,0.11056075245142,0.0904217958450317,0.00649028597399592,15,19,10925,1.16023872528177,10925,1.16023872528177,0.0014557527540873,0,0,517.845,352.200721924125
"CHN",2011,"Female",0.0290287534984628,0.0216698963195086,0.00878020096570253,0.0849395170807838,0.170174043625594,0.0139578832313418,0.171491861343384,0.223092645406723,0.062923826277256,0,0.0155923087149858,0.104379668831825,0.0925794914364815,0,15,19,9645,1.09730752778344,9645,1.09730752778344,0.00138987078807698,0,0,457.173,279.982327492674
"CHN",2012,"Female",0.0313922611969392,0.0214627403765917,0.008216324262321,0.0857979729771614,0.170452074147761,0.0168661139905453,0.171263828873634,0.209944516420364,0.0631361827254295,0,0.0170763861387968,0.104233756661415,0.0985958054661751,0,15,19,8826,1.04782339530015,8826,1.04782339530015,0.00156199054598257,0,0,418.3524,277.068097324186
"CHN",2013,"Female",0.0351640792866875,0.0204936172813177,0.00682426663115621,0.0837965607643127,0.169733534567058,0.0172194484621286,0.177508488297462,0.198502421379089,0.0646466091275215,0,0.0170278064906597,0.100305795669556,0.106515243649483,0.000538577209226787,15,19,8118,0.999040425028971,8118,0.999040425028971,0.00172355118434084,0,0,384.7932,285.461995649329
"CHN",2014,"Female",0.0398626259586989,0.0161612331867218,0.00503965839743614,0.0851011723279953,0.171402292326092,0.0159449744969606,0.181391939520836,0.193265914916992,0.0651933997869492,0,0.0145320696756244,0.100232444703579,0.109727181494236,0.000261031091213226,15,19,7581,0.963325532463881,7581,0.963325532463881,0.00188406467780169,0,0,359.3394,302.198567392896
"CHN",2015,"Female",0.0393867822608296,0.0127479452639818,0.00364879192784429,0.0871932581067085,0.17564726062119,0.0142109571024776,0.184631913900375,0.190962255001068,0.0656297504901886,0,0.0123468590900302,0.100998125970364,0.109725497663021,0.00103828473947942,15,19,7170,0.932313141881964,7170,0.932313141881964,0.00183229277493986,0,0,339.858,282.403228810149
"CHN",2016,"Female",0.0394960282656913,0.0094199925661087,0.00295308418571949,0.0916693732142448,0.184230165556073,0.0132546657696366,0.185678392648697,0.18133607506752,0.0643722489476204,0,0.0121493516489863,0.103825263679028,0.10700961202383,0.00274827494286001,15,19,6829,0.903076597080006,6829,0.903076597080006,0.00185747503465138,0,0,323.6946,269.718377026406
"CHN",2017,"Female",0.0373588184764015,0.00889733340591192,0.00297030573710799,0.0934731587767601,0.193663926795125,0.0132455257698894,0.18550717830658,0.168921679258347,0.0632356703281403,0,0.0133404014632106,0.106566846370697,0.10249375551939,0.00876469723880291,15,19,6523,0.875703281123591,6523,0.875703281123591,0.00156071431158464,0,0,309.1902,243.691572921567
"CHN",2018,"Female",0.0381841422289347,0.00927428994327784,0.00346642499789596,0.0955451801419258,0.203600673004984,0.0135129252448678,0.188617289066315,0.155710443854332,0.0623909160494804,0,0.0133504392579198,0.109138414263725,0.104556396603584,0.00106927170418203,15,19,6246,0.846960172418561,6246,0.846960172418561,0.00158322294613179,0,0,296.0604,238.498152361926
"CHN",2019,"Female",0.0365584756941635,0.0102545563131571,0.00368198705837131,0.0936728194355965,0.205989234149456,0.0141234071925282,0.192481383681297,0.144975394010544,0.063462607562542,0,0.013684350065887,0.113694429397583,0.104640819132328,0.0012149540707469,15,19,6073,0.826836858934983,6073,0.826836858934983,0.00156560886580425,0,0,287.8602,222.019622890655
"CHN",2020,"Female",0.036586080662235,0.0102545563131571,0.00368198705837131,0.0936728194355965,0.205989234149456,0.0141234071925282,0.192481383681297,0.144975394010544,0.063462607562542,0,0.013684350065887,0.113694429397583,0.104640819132328,0.0012149540707469,15,19,5867,0.801717161933095,5867,0.801717161933095,0.00153800389773274,0,0,278.0958,214.650535245332
