"ISO3","Year","Sex","OtherCMPN","TB","Maternal","Cardiovascular","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","InterpVio","SelfHarm","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD","OCDresid"
"CHN",2000,"Female",1262.97610550562,530.41087288782,325.014550847933,1166.33690315485,3849.18639450892,288.679518036545,3933.93017542362,3693.02710804342,1378.19670790434,0,489.012422356755,3016.35401988031,2215.35015149414,82.0589321716689,15,19,22262,2.14753347761238,22262,2.14753347761238,31.4662945781387,0,0,1055.2188,1262.97610550562
"CHN",2001,"Female",1213.83942153409,510.778379883617,312.984545012937,1123.16640597582,3706.71358932181,277.994407854975,3788.32068550586,3556.33434292673,1327.18448585272,0,470.912241060287,2904.70746016503,2133.35174502432,79.0216237488203,15,19,21438,2.01998230001299,21438,2.01998230001299,32.6908171235168,0,0,1016.1612,1213.83942153409
"CHN",2002,"Female",1167.43392317613,492.408656453713,301.728313825094,1082.77265194058,3573.40469029359,267.996568109841,3652.07685452699,3428.43370954692,1279.45338973403,0,453.976270454004,2800.24205052854,2056.62750790268,76.1796761832666,15,19,20667,1.8990498663355,20667,1.8990498663355,34.2658828849197,0,0,979.6158,1167.43392317613
"CHN",2003,"Female",1126.41148056025,476.016477828845,291.683842933737,1046.7273824513,3454.44681411795,259.075019802899,3530.49999886751,3314.3018862456,1236.86066064239,0,438.863497721031,2707.02259290219,1988.16281900555,73.6436710923445,15,19,19979,1.78378567060629,19979,1.78378567060629,35.2839965430428,0,0,947.0046,1126.41148056025
"CHN",2004,"Female",1094.15913014435,462.840787742287,283.610307464377,1017.75494927168,3358.83096306398,251.90406600386,3432.77906692028,3222.56511548161,1202.62551647425,0,426.716167312115,2632.09474396707,1933.13233505189,71.6052832794376,15,19,19426,1.67975889800805,19426,1.67975889800805,35.381704642605,0,0,920.7924,1094.15913014435
"CHN",2005,"Female",903.368533536345,404.089864203707,260.188196986914,1079.55248968676,3315.36942078731,253.966563320719,3236.78963063658,3265.36000232398,1209.2804999426,0,403.789290899411,2425.65754397213,1914.46258997172,20.9688580826623,15,19,18729,1.57376791912982,18729,1.57376791912982,36.1563706563706,0,0,887.7546,903.368533536344
"CHN",2006,"Female",722.59770976607,330.415722481906,235.797976551578,1146.6539285928,3080.99046439491,252.275521907955,2975.54309284687,3188.99467992783,1087.96749895066,0,353.60235131532,2207.29195162653,1721.43066550791,84.9794070320203,15,19,17418,1.46421454920975,17418,1.46421454920975,29.4588719491694,0,0,825.6132,722.597709766071
"CHN",2007,"Female",587.499265323671,260.859369378536,202.848344745114,1096.35310088098,2801.87169000879,234.331630704924,2685.7587634325,3017.5430482626,922.504924878478,0,306.402614876627,1972.40790775419,1538.04536281526,46.4296355228871,15,19,15698,1.37414358612654,15698,1.37414358612654,25.1439722629286,0,0,744.0852,587.49926532367
"CHN",2008,"Female",434.667478559776,185.03955709748,131.540495857596,877.843874029815,2027.02851506695,168.670787321403,1946.49906611443,2344.2044993639,599.025924734771,0,214.590080304071,1457.72841751576,1101.62874093652,2558.99559891224,15,19,14066,1.29871488431645,14066,1.29871488431645,18.5376085407282,0,0,666.7284,434.667478559776
"CHN",2009,"Female",453.99888298035,220.81145318225,113.319410802796,993.632385693491,2157.43836339097,158.082019491121,2156.22560754418,2711.86629720033,656.101018097251,0,216.198158729822,1489.50909432024,1177.71595492959,0,15,19,12525,1.22934239389187,12525,1.22934239389187,20.1008090365468,0,0,593.685,453.998882980351
"CHN",2010,"Female",352.200721924125,209.199322992936,89.7024876903743,924.347810447216,1857.79120160733,131.772457179613,1835.32346151769,2463.34512531757,613.973497413099,0,164.79852325283,1207.87622053176,987.858119606971,70.9063742659054,15,19,10925,1.16023872528177,10925,1.16023872528177,15.9040988384038,0,0,517.845,352.200721924125
"CHN",2011,"Female",279.982327492674,209.00615000166,84.6850383142009,819.24164224416,1641.32865076885,134.623783766292,1654.03900265694,2151.72856494784,606.900304444134,0,150.387817556038,1006.74190588295,892.929194904864,0,15,19,9645,1.09730752778344,9645,1.09730752778344,13.4053037510025,0,0,457.173,279.982327492674
"CHN",2012,"Female",277.068097324185,189.430146563798,72.5172779392451,757.252909496426,1504.41000642814,148.860322080553,1511.57455363869,1852.97030192613,557.239948734641,0,150.716184061021,919.967136293649,870.206579044461,0,15,19,8826,1.04782339530015,8826,1.04782339530015,13.7861285588422,0,0,418.3524,277.068097324186
"CHN",2013,"Female",285.461995649329,166.367185089737,55.3993965117261,680.260480284691,1377.89683361538,139.78748261556,1441.0139079988,1611.44265675544,524.80117289722,0,138.231733091175,814.282449245456,864.690747946503,4.37216978450306,15,19,8118,0.999040425028971,8118,0.999040425028971,13.9917885144789,0,0,384.7932,285.461995649329
"CHN",2014,"Female",302.198567392896,122.518308788538,38.2056503109634,645.151987418532,1299.4007781241,120.878851661458,1375.13229350746,1465.14890098572,494.231163784862,0,110.167620210909,759.862163297832,831.841762907803,1.97887670248747,15,19,7581,0.963325532463881,7581,0.963325532463881,14.2830943224146,0,0,359.3394,302.198567392896
"CHN",2015,"Female",282.403228810148,91.4027675427495,26.1618381226436,625.1756606251,1259.39085865393,101.892562424764,1323.81082266569,1369.19936835766,470.565311014652,0,88.5269796755165,724.15656320751,786.731818243861,7.44450158206744,15,19,7170,0.932313141881964,7170,0.932313141881964,13.1375391963188,0,0,339.858,282.403228810149
