"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Maternal","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","OCDresid"
"AFG",2000,"Female",0.0549941712183009,0.109159267203206,0.0158973543758779,0.0214384528588641,0.0506530747728773,0.0461969376215715,0.0847815713082747,0.0272555156732644,0.248011174480486,0.0128935236016169,0.10508797334735,15,19,1717,8.65560857386439,1717,8.65560857386439,0.205658263684133,0,3378.70276107424,3.69975982561038e-05,0,0,0.0179357222559214,0,81.3858,47.6524006335868
"AFG",2001,"Female",0.0539201130129347,0.109009280856961,0.0160249770647947,0.0218195724015324,0.0498890907782175,0.0467088540009961,0.0850898310345533,0.0254839970659336,0.249975992874521,0.0130521606483729,0.106071538411933,15,19,1572,8.03000178829438,1572,8.03000178829438,0.201650959810786,0,3223.0126254786,4.18500845068964e-05,0,0,0.0212062948365656,5.54871173906348e-05,74.5128,40.9311117610439
"AFG",2002,"Female",0.0530617416108373,0.108926361047297,0.0161711731233186,0.0222429120056379,0.0493492873061962,0.047273355996649,0.085393606936927,0.0255018772728651,0.251939312934806,0.0132277781689939,0.107189218559631,15,19,1530,7.57062770539349,1530,7.57062770539349,0.19690408047047,0,3036.40629516836,4.95418856395029e-05,0,0,0.00494888982891646,0.0178208628518157,72.522,39.9270001460937
"AFG",2003,"Female",0.053557240276628,0.110902789117967,0.016633481611031,0.0231333796864011,0.0500306023539061,0.0487741885931901,0.0872533850434833,0.0254852810234108,0.258747718787029,0.0136683780358244,0.110423393371989,15,19,1620,7.20371503965228,1620,7.20371503965228,0.19799750712028,0,3240.04626557348,5.76346711017975e-05,0,0,0.00218188329138975,0.00115313701636705,76.788,41.4243061602044
"AFG",2004,"Female",0.0532524880183917,0.110552615640191,0.0167564950310111,0.0235781250389368,0.0499179548417422,0.0492824171362224,0.0872069640062974,0.0277134931746898,0.260177344005565,0.0138290768387147,0.111427559129401,15,19,1668,6.95834979297841,1668,6.95834979297841,0.193819402174195,0,2972.87383191542,7.18307511727736e-05,0,0,0.00224289224773174,0.000171341965737913,79.0632,46.3379773456734
"AFG",2005,"Female",0.0526802288990153,0.108885822460532,0.016684074740743,0.0237608130880891,0.0494943716599472,0.0491971949047719,0.0860098925714572,0.0293155481212528,0.258345480376679,0.0138206012154601,0.111151389327591,15,19,1715,6.88823668040005,1715,6.88823668040005,0.189762024052329,0,2808.53117425062,8.64046962520465e-05,0,0,0.00466123787444465,0.00614491601143606,81.291,50.8253920355954
"AFG",2006,"Female",0.0524126475809324,0.107071747242303,0.0165897445173949,0.0239179614718502,0.0492769395614961,0.0490307311799993,0.0845865854709194,0.0327521159497613,0.256075188218892,0.0137820600057515,0.110743988745577,15,19,1828,6.92750466367176,1828,6.92750466367176,0.185636060253641,0,2600.34880778098,0.000109799881046117,0,0,0.0144813164590349,0.00353311346140147,86.6472,60.9691932146342
"AFG",2007,"Female",0.0528863615812222,0.106221103757047,0.016645777267281,0.0242971208566773,0.0496910276791012,0.0493029166350693,0.0838565352626694,0.0374518531865653,0.256145081665823,0.0138596632905742,0.111350748468777,15,19,1971,7.11251243046286,1971,7.11251243046286,0.183549499368388,0,2407.60030046318,0.000143980824959019,0,0,0.0128152952983759,0.00178303485747132,93.4254,74.9111807801126
"AFG",2008,"Female",0.0534772390400172,0.105174327993119,0.0166712697643014,0.0246480227482383,0.0501342196061592,0.0495071558538045,0.0829752412899551,0.0382689721172807,0.256097596203624,0.0139153980002662,0.111760721038719,15,19,2125,7.57339301190208,2125,7.57339301190208,0.185584350235539,0,2575.9813274249,0.000169280943930883,0,0,0.0113153608539509,0.000300844311095087,100.725,82.2773159315114
"AFG",2009,"Female",0.0533135203031152,0.102588416260947,0.016452741649807,0.0246599963615274,0.0497655460652654,0.0490599217059035,0.0810235572820666,0.0394057928196965,0.253271904569959,0.013785849669591,0.110533596185357,15,19,2500,8.35522130034046,2500,8.35522130034046,0.182823878128573,0,2920.41782905584,0.000202533093363829,0,0,0.0220848814090767,0.0010278644957515,118.5,100.845293698185
"AFG",2010,"Female",0.0536011343999155,0.101094401567907,0.0164156593708449,0.0249696728402966,0.0497352524037663,0.0492151894721626,0.0801224331517408,0.0456250046511309,0.253986027185965,0.0138304318241016,0.110531667603918,15,19,2983,9.4728347635419,2983,9.4728347635419,0.175822716082536,0,2886.1866660553,0.000264474619973364,0,0,0.0208840053695182,0.00390192945622079,141.3942,139.558476169028
"AFG",2011,"Female",0.0542123690657173,0.100249505495037,0.0164997667653691,0.0255028362866756,0.049884358866541,0.049808410010074,0.079940116252888,0.0625778355696207,0.257408946842205,0.0140005000795713,0.111364369352303,15,19,3579,10.8489523228171,3579,10.8489523228171,0.158380869037364,0,3070.33610230918,0.000298337165632583,0,0,0.0191249310707732,0.000746848140227474,169.6446,228.506912415378
"AFG",2012,"Female",0.0545768109523291,0.0988802269318693,0.0165215225115393,0.025982209122369,0.0496797635938502,0.0502779383726922,0.0795328879957477,0.0842391674620452,0.260491146125032,0.0141372729178067,0.111804970447643,15,19,4392,12.5312704030121,4392,12.5312704030121,0.134460325400561,0,3198.18131072738,0.000304245808822055,0,0,0.0166483122913234,0.00246320006636928,208.1808,377.187038235706
