"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Maternal","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD"
"AND",2000,"Female",0.0512305175203465,0.0147591001701462,0.0112011390683647,0.0351762393862609,0.00557308792444409,0.13715635831883,0.0624234471992066,0.0443498849897146,0.219047072913163,0.271936341083507,0.147146811426016,15,19,0,1.2247715412657,0,1.2247715412657,0,0,0.0996784516187266,0,0,0,0,0,0
"AND",2001,"Female",0.0507600563402448,0.0145920523702995,0.0110057782195985,0.0344405757784111,0.00554671630637744,0.138220372041513,0.0618274480401855,0.0437248366037763,0.219626051624344,0.271185195505353,0.149070917169897,15,19,0,1.16247118183093,0,1.16247118183093,0,0,0.0830653766594568,0,0,0,0,0,0
"AND",2002,"Female",0.0503053455849067,0.0144299888325909,0.0107762901505113,0.0338400847116695,0.00553475944529862,0.139343432925038,0.0609868293201729,0.0430987039878399,0.220675778687318,0.268652429526945,0.15235635682771,15,19,0,1.10484668352818,0,1.10484668352818,0,0,0.0415326883737344,0,0,0,0,0,0
"AND",2003,"Female",0.0497595604600694,0.0142208659570323,0.0105350580584984,0.0331808259634635,0.0054958368679797,0.140328698903076,0.0601357904603501,0.0423662155796157,0.221694025131624,0.266272086092209,0.156011036526082,15,19,0,1.04982698325932,0,1.04982698325932,0,0,0.0913719143927338,0,0,0,0,0,0
"AND",2004,"Female",0.0493068684030342,0.0140489851515193,0.0103211138986823,0.0325778728084741,0.00548116101307287,0.141041758228302,0.0592483422690665,0.0418075150845302,0.222806363682449,0.263282246405648,0.160077773055222,15,19,0,0.999981201909538,0,0.999981201909538,0,0,0.0581457639088286,0,0,0,0,0,0
"AND",2005,"Female",0.0489734451642724,0.0139193526588999,0.010126444334461,0.0319656855200128,0.00548284754265057,0.141684977653046,0.0582969718890518,0.0413949291260007,0.224064633351383,0.259407008300478,0.164683704459744,15,19,0,0.946592381191479,0,0.946592381191479,0,0,0.0830653769490324,0,0,0,0,0,0
"AND",2006,"Female",0.0487139735224536,0.0138092058253583,0.00995967601682709,0.0312937682564323,0.00547940935428925,0.142255465722168,0.0573927350817567,0.041066413897828,0.225285947592018,0.255684285061587,0.169059119669283,15,19,0,0.894134501330776,0,0.894134501330776,0,0,0.0996784521848736,0,0,0,0,0,0
"AND",2007,"Female",0.0485468986907384,0.0137372727707273,0.0097937657837654,0.0306948206472481,0.00549528049197089,0.142773411412995,0.0563988174040208,0.0408252823926063,0.226732606359651,0.250812099304906,0.174189744741371,15,19,0,0.844808587435073,0,0.844808587435073,0,0,0.0415326884464972,0,0,0,0,0,0
"AND",2008,"Female",0.0484236493595943,0.013686195295709,0.00962155911326965,0.0301015380428876,0.00551029163759376,0.14325480068546,0.0553661197637435,0.040601409343816,0.228415792436282,0.245287909774902,0.179730734546742,15,19,0,0.827822308471556,0,0.827822308471556,0,0,0.0332261506371952,0,0,0,0,0,0
"AND",2009,"Female",0.0482582335215635,0.0136065322810569,0.00943960838478075,0.0294237160292613,0.00548289135097867,0.14361489344053,0.0543557252506209,0.040267532062911,0.230216305410754,0.240024331164642,0.185310231102901,15,19,0,0.808331077873198,0,0.808331077873198,0,0,0.0664523017133868,0,0,0,0,0,0
"AND",2010,"Female",0.0480564559645025,0.0135045833498886,0.00924357630520025,0.0286948684739121,0.00542534597842729,0.143858408368337,0.0533163971639427,0.0398437924905428,0.232152730385,0.234653963163469,0.191249878356778,15,19,0,0.787480668048315,0,0.787480668048315,0,0,0.0581457639921208,0,0,0,0,0,0
"AND",2011,"Female",0.0478022097465509,0.0133673569778053,0.00904361073258399,0.0279024479198432,0.00532832831383289,0.144077868831975,0.0522864465953895,0.03931709827284,0.234103274875148,0.229819318425829,0.196952039308201,15,19,0,0.76606256543041,0,0.76606256543041,0,0,0.0249196127902138,0,0,0,0,0,0
"AND",2012,"Female",0.0474848825517007,0.0131944582415794,0.0088648315835253,0.0271249309535156,0.00519922881389896,0.144020122921759,0.051436125165541,0.0387228222222293,0.2357019321761,0.226517617258151,0.201733048111999,15,19,0,0.747709026802436,0,0.747709026802436,0,0,0.0747588393714158,0,0,0,0,0,0
