"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid"
"AFG",2000,"Both",0.0110311094746074,0.150692018515107,0.0587938115534226,0.0366229331292796,0.106704265754658,0.00362293518396525,0.0307437295748268,0.287479679367969,0.101623436285974,0.106519375158184,0.0341649866071157,5,9,3835,5.83738022925215,3835,5.83738022925215,0.0716218747540433,0,2679.089365567,204.356701612934,0,2679.089365567,5.26863866285463e-05,0.000327158254219395,0.482351540693921,0,0,181.373336791992,0,174.4925,103.1615,389.725878156709
"AFG",2001,"Both",0.0117332069027329,0.146961648713883,0.0569263712289758,0.0388354201046403,0.107701414621718,0.00343809505137122,0.0325374607023644,0.289877721870071,0.100494933045286,0.105020118377779,0.0353560282829263,5,9,3711,5.67277383242026,3711,5.67277383242026,0.0710629661337515,0,2555.63731426393,196.205924294772,0,2555.63731426393,5.4614964500273e-05,0,0,0,0,202.733306884766,0.46783322095871,168.8505,99.8259,372.936696531057
"AFG",2002,"Both",0.0126025271064763,0.141690711654272,0.0547236274098898,0.0417717574428394,0.108264613723356,0.00454881181281216,0.034241420653947,0.292075666406131,0.101695270851394,0.105109917344267,0.0361843232255621,5,9,3736,5.52268775896966,3736,5.52268775896966,0.0670372398149406,0,2407.67075122638,186.337739757817,0,2407.67075122638,5.41125541125541e-05,0,0,0,0,48.9838409423828,151.981643676758,169.988,100.4984,379.933531900807
"AFG",2003,"Both",0.0136439734891707,0.136089544014515,0.052608036611797,0.0452930849577143,0.109027938596583,0.00437156383277984,0.0357523212674967,0.293564976168766,0.10111163964378,0.106454708421922,0.0366554504423843,5,9,4085,5.45353902301265,4085,5.45353902301265,0.0653194088225488,0,2569.14387203542,198.523598003652,0,2569.14387203542,0.000107353730542136,0,0,0,0,0,13.6565637588501,185.8675,109.8865,413.041047944841
"AFG",2004,"Both",0.0148563496577897,0.130533444663091,0.0506828691603526,0.0494013746745394,0.110169111954604,0.00172040617403502,0.0370787926262674,0.294642864113177,0.107753792182764,0.108993567564397,0.0368248531134356,5,9,4321,5.46418822158313,4321,5.46418822158313,0.0572356679791361,0,2357.29368088146,184.004673339017,0,2357.29368088146,0.00010690613641223,0,0,0,0,14.9991912841797,1.80256843566895,196.6055,116.2349,465.604136021722
"AFG",2005,"Both",0.016025041579941,0.12626538452445,0.0491217724445037,0.0529918537761394,0.111691028309315,0.000891306385939812,0.037989427528731,0.29260437986041,0.11173367261521,0.110672908078714,0.0367397049634613,5,9,4493,5.54480716752129,4493,5.54480716752129,0.0523827129761355,0,2226.98074790275,175.106487830371,0,2226.98074790275,0.000106974753958066,0.000783832203090997,7.0225734621103,0,0,33.9417114257812,72.4469985961914,204.4315,120.8617,502.01939106014
"AFG",2006,"Both",0.0170743185526076,0.12408441075128,0.0481247362293279,0.0555556957067068,0.113985948448858,0.000912803004995058,0.03849211358612,0.287308371317023,0.119970417568101,0.110848385402478,0.0365481114816677,5,9,4767,5.68465580692303,4767,5.68465580692303,0.0460789968489322,0,2061.90580537361,163.427824319505,0,2061.90580537361,0.0001075326630464,0.00090815843885523,9.93941967626179,0,0,141.695724487305,47.6398124694824,216.8985,128.2323,571.898980547138
"AFG",2007,"Both",0.0180414171540683,0.123293351476559,0.04752875712744,0.0573637824226883,0.116804101560139,0.00114528897619206,0.0387159823853841,0.279975931327243,0.128881924821601,0.11023080915569,0.0362408758065797,5,9,5049,5.83500018221287,5049,5.83500018221287,0.0405611390018885,0,1909.06889940683,152.367851595924,0,1909.06889940683,0.000162619254119688,0.00105401953040758,0.408863854259505,0,0,61.6248512268066,29.0454349517822,229.7295,135.8181,650.724838424265
"AFG",2008,"Both",0.0189123898093367,0.124245264893108,0.0473858001316446,0.0582282043551852,0.120397837958295,0.000803242790207742,0.0388100198173799,0.270819906836461,0.133286170716572,0.108219954478099,0.0359886532068691,5,9,5265,5.94365306949225,5265,5.94365306949225,0.041495796810939,0,2042.58399398502,162.547507815464,0,2042.58399398502,0.000164239570787255,0.00124251862511476,-0.589680175639615,0,0,92.3645858764648,2.49228429794312,239.5575,141.6285,701.751688822751
"AFG",2009,"Both",0.0196675315628185,0.125526641061143,0.0474321255809358,0.0585971520471155,0.123842416209643,0.000663777742187311,0.0389382545377797,0.261832832827566,0.134516661464811,0.105964983578929,0.0357024047894778,5,9,5386,5.91563371238412,5386,5.91563371238412,0.0456557523066268,0,2315.69951609126,182.953062560051,0,2315.69951609126,0.000166389351081531,0.0014930769398845,16.848897342993,0,0,435.554931640625,12.7840461730957,245.063,144.8834,724.506738649473
"AFG",2010,"Both",0.0204484146310191,0.126818226380981,0.0475023755549674,0.0588347264953568,0.127322873347671,0.000747324308387984,0.0393333298768691,0.252949271921593,0.139686430997964,0.103013489009815,0.0355057730133353,5,9,5320,5.70951520506108,5320,5.70951520506108,0.0458102519512282,0,2288.55645224369,181.322686073046,0,2288.55645224369,0.000169348010160881,0.00185816450065215,15.2360839452757,0,0,487.798431396484,44.6489181518555,242.06,143.108,743.131812909167
