"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Maternal","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","OCDresid"
"AFG",2000,"Female",0.055998545578533,0.111152874284317,0.0161876923294635,0.0218299894871554,0.051578166440626,0.0470406455753502,0.0863299615204702,0.027753290992188,0.252540673865256,0.0131290017301463,0.107007225218241,15,19,1717,8.65560857386439,1717,8.65560857386439,0.209414259682223,0,3378.70276107424,3.7673296030166e-05,0,0,31.3580646514893,0,81.3858,47.6524006335868
"AFG",2001,"Female",0.0550914555278949,0.111377362043333,0.0163730983109937,0.0222935735002696,0.0509728647133206,0.0477235415351878,0.0869382940868774,0.0260376029014274,0.255406387801606,0.0133357014242585,0.108375801063225,15,19,1572,8.03000178829438,1572,8.03000178829438,0.206031557869849,0,3223.0126254786,4.27592217564019e-05,0,0,34.0604820251465,0.0891206115484238,74.5128,40.9311117610439
"AFG",2002,"Female",0.0542980958237795,0.111464377352321,0.0165479662215525,0.0227611784087266,0.0504991402400518,0.0483748391193672,0.0873833031378002,0.0260960785268586,0.257809573154253,0.013535989297589,0.109686758932884,15,19,1530,7.57062770539349,1530,7.57062770539349,0.201492003558646,0,3036.40629516836,5.06962261712692e-05,0,0,7.74822664260864,27.9012241363525,72.522,39.9270001460937
"AFG",2003,"Female",0.0537364524367714,0.111273889800174,0.0166891402326258,0.0232107881361944,0.0501980137491686,0.0489373958019985,0.0875453505654688,0.0255705593581509,0.259613535199087,0.013714114887477,0.110792889909793,15,19,1620,7.20371503965228,1620,7.20371503965228,0.198660042396011,0,3240.04626557348,5.78275270789532e-05,0,0,3.54647850990295,1.87433290481567,76.788,41.4243061602044
"AFG",2004,"Female",0.0533813631316257,0.110820161465543,0.0167970470366522,0.0236351859134107,0.0500387601284439,0.0494016843728383,0.0874180115606807,0.0277805619578378,0.260806993171592,0.0138625442673707,0.111697222385233,15,19,1668,6.95834979297841,1668,6.95834979297841,0.194288460021662,0,2972.87383191542,7.20045871105025e-05,0,0,3.75019812583923,0.286490052938461,79.0632,46.3379773456734
"AFG",2005,"Female",0.0532557183872106,0.110075313234379,0.0168663349517221,0.0240203810218082,0.0500350581985295,0.0497346350243026,0.0869494820548394,0.0296357971053034,0.261167698719059,0.013971580261798,0.112365629612669,15,19,1715,6.88823668040005,1715,6.88823668040005,0.191835022829728,0,2808.53117425062,8.73485986507829e-05,0,0,8.0813512802124,10.6536560058594,81.291,50.8253920355954
"AFG",2006,"Female",0.0533741525109027,0.109035968047502,0.0168940817695017,0.024356734152328,0.050180920232365,0.0499301951820195,0.0861383181670031,0.0333529503362332,0.26077286267877,0.0140348905581523,0.112775576464534,15,19,1828,6.92750466367176,1828,6.92750466367176,0.189041535751488,0,2600.34880778098,0.000111814149201012,0,0,26.9574699401855,6.57701253890991,86.6472,60.9691932146342
"AFG",2007,"Female",0.0536698517971727,0.107794726767458,0.0168923777751601,0.0246570729482527,0.0504271803060372,0.0500333195526925,0.085098836168942,0.0380066873567289,0.259939768222976,0.0140649886383551,0.11300036510633,15,19,1971,7.11251243046286,1971,7.11251243046286,0.186268711516815,0,2407.60030046318,0.00014611384308065,0,0,25.6331481933594,3.56642556190491,93.4254,74.9111807801126
"AFG",2008,"Female",0.0541057424448639,0.106410413184366,0.0168672026508541,0.0249377042370005,0.0507234334153879,0.0500889999537796,0.0839504266698452,0.0387187369089465,0.259107441402748,0.0140789418776234,0.113074214311032,15,19,2125,7.57339301190208,2125,7.57339301190208,0.187765472486858,0,2575.9813274249,0.000171270456694558,0,0,24.3277378082275,0.646807610988617,100.725,82.2773159315114
"AFG",2009,"Female",0.0545748960073147,0.105015615497991,0.0168420066705099,0.0252434416132989,0.0509429781754703,0.0502206590374081,0.0829405409297857,0.0403381174792741,0.259264212434165,0.0141120171358566,0.113148775073063,15,19,2500,8.35522130034046,2500,8.35522130034046,0.187149415003793,0,2920.41782905584,0.000207324942069617,0,0,56.5185012817383,2.63045835494995,118.5,100.845293698185
"AFG",2010,"Female",0.0549634550136821,0.103663805904853,0.0168328779875745,0.0256042993348694,0.0509993181803414,0.0504660373857183,0.0821588162158261,0.0467846048169723,0.260441308483979,0.0141819445781171,0.113340928470066,15,19,2983,9.4728347635419,2983,9.4728347635419,0.180291407149792,0,2886.1866660553,0.000271196478207177,0,0,63.8803215026855,11.9352827072144,141.3942,139.558476169028
"AFG",2011,"Female",0.0553115071230951,0.102282031441087,0.0168342941417265,0.0260198979539084,0.050895747932229,0.0508182592375296,0.0815608759724687,0.0638465807251686,0.262627829076273,0.0142843556410415,0.113622245528912,15,19,3579,10.8489523228171,3579,10.8489523228171,0.16159198937244,0,3070.33610230918,0.00030438585412062,0,0,69.8358917236328,2.72716307640076,169.6446,228.506912415378
"AFG",2012,"Female",0.0556401789193301,0.1008067972839,0.0168434258528723,0.0264884433344922,0.0506477180838996,0.0512575476276021,0.0810824971418671,0.0858804731866361,0.265566524030837,0.0144127218291525,0.113983364935173,15,19,4392,12.5312704030121,4392,12.5312704030121,0.137080134076967,0,3198.18131072738,0.000310173697270471,0,0,74.5440368652344,11.0291585922241,208.1808,377.187038235706
