"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid","LRIresid"
"AFG",2000,"Both",0.20336709485117,0.0209842339572739,0.0276279060296494,0.0779321603082813,0.00350131448578693,0.0473056625593267,0.17893312065645,0.272683139613858,0.0471574657005141,0.0287967210680099,10,14,2067,4.05786775303374,2067,4.05786775303374,0.0581080658158111,0,1248.12762909104,0.0312098292178793,0,1248.12762909104,3.3456099191803e-05,0,0,0.0335696588546765,0,68.6244,40.7199,583.214356571087,166.681206600275
"AFG",2001,"Both",0.189866059490277,0.0198598819326584,0.0276147427488559,0.077078024741889,0.00330536812794966,0.0499031859790092,0.191366161213036,0.271308298571831,0.0451258369635996,0.0288259460087442,10,14,2009,3.95015999415782,2009,3.95015999415782,0.0571020357143415,0,1190.6140880798,0.0308301163776535,0,1190.6140880798,3.96725904931796e-05,0,0,0.0383936176841765,0.000211168233138029,66.6988,39.5773,566.945168695141,161.06773722002
"AFG",2002,"Both",0.168683664567074,0.0182490468109383,0.0272333037002017,0.0758030308548579,0.00421656124562965,0.0507963791633358,0.196890619206843,0.262929481956626,0.0426610554535928,0.0279572139754908,10,14,2040,3.85844260192136,2040,3.85844260192136,0.0514930426366708,0,1121.67978604328,0.0288345806857041,0,1121.67978604328,4.54237753783697e-05,0,0,0.00876964534658653,0.0642715313067751,67.728,40.188,578.64074399229,166.823141491456
"AFG",2003,"Both",0.166910444680939,0.0188394206542255,0.0304063081055953,0.0830344333290453,0.00435998610162259,0.0568994063226738,0.221866552246135,0.285545954870398,0.045842993790174,0.0302134648623219,10,14,2256,3.82050408558365,2256,3.82050408558365,0.0533751094693139,0,1196.90649032108,0.0277789628367922,0,1196.90649032108,5.75069237661672e-05,0,0,0,0.0026484186437892,74.8992,44.4432,645.902293864757,187.82311583203
"AFG",2004,"Both",0.154272702802788,0.0182141284496454,0.031980687460212,0.0881010045307027,0.0017156587014562,0.0583897931566162,0.228575969734627,0.292772049189178,0.0466764276063179,0.0303219256958161,10,14,2418,3.83482579500638,2418,3.83482579500638,0.0461519353311624,0,1098.21023919715,0.0240223528191728,0,1098.21023919715,6.82105165964598e-05,0,0,0.00240490110533319,0.000354605719548022,80.2776,47.6346,709.881738441522,213.617708479704
"AFG",2005,"Both",0.144018800569604,0.0173972242618707,0.0327629979618157,0.0905025253771108,0.000874370891931494,0.0573981853509015,0.224849678893068,0.29599785557658,0.0466317194611662,0.0296942497644356,10,14,2561,3.90911809191408,2561,3.90911809191408,0.0407923558866258,0,1037.50036733956,0.021584184430689,0,1037.50036733956,7.9281297560115e-05,0,0,0.00504929008038115,0.0139514646269481,85.0252,50.4517,772.733018673695,236.266203672392
"AFG",2006,"Both",0.14073623864823,0.0168504211188771,0.0332745144778743,0.0942598461876134,0.00088843867819955,0.0553580539875532,0.216014964067451,0.305316876890916,0.0465100708206378,0.0290905004954917,10,14,2770,4.02830456774095,2770,4.02830456774095,0.034923204090697,0,960.595655130513,0.0186246969294248,0,960.595655130513,8.51017077180431e-05,0,0,0.0192377173796305,0.00745405144911036,91.964,54.569,868.920781621364,268.260110803221
"AFG",2007,"Both",0.144073709154911,0.0167764667801019,0.0342437670145292,0.0999258201173306,0.00113155963899911,0.0537022176799579,0.207915168425199,0.323145243983026,0.0473352966750888,0.0289951093310193,10,14,2984,4.15396800994439,2984,4.15396800994439,0.0306813418027853,0,889.392369591152,0.0161189782618467,0,889.392369591152,8.66373498730992e-05,0,0,0.00791927679736704,0.00406838524981081,99.0688,58.7848,975.964945987745,301.796481456847
"AFG",2008,"Both",0.148905675656824,0.0164932248288812,0.0341771566394692,0.101439857806132,0.000793750607337211,0.0505812628624466,0.193684848758339,0.335869578099593,0.0469174787564808,0.0283193537340637,10,14,3160,4.24841809110044,3160,4.24841809110044,0.0309134818246073,0,951.594056696305,0.0162381375928696,0,951.594056696305,8.70032288081514e-05,0,0,0.0113581302353345,0.000459196961684224,104.912,62.252,1074.04015067801,324.383294192093
"AFG",2009,"Both",0.147846633827619,0.0155773624467325,0.032552688292971,0.0972064083026856,0.000629009899959759,0.045906327013947,0.173566184994845,0.330962702778077,0.0446883825825212,0.0264602478819554,10,14,3289,4.24883248881436,3289,4.24883248881436,0.0320573826680932,0,1078.83245100133,0.0175597688499386,0,1078.83245100133,0.00016792863004066,0,0,0.0502440975256814,0.00213464315487164,109.1948,64.7933,1148.70399828181,337.383605278275
"AFG",2010,"Both",0.149651080521856,0.0151012149350609,0.0318070724184854,0.0968720137665333,0.000698544825458499,0.0435083545571466,0.162149014570609,0.334444209794592,0.0436814419014509,0.0254506168376329,10,14,3304,4.12220336348357,3304,4.12220336348357,0.031197136428726,0,1066.18710651908,0.0173242758284854,0,1066.18710651908,0.000167124588797845,0,0,0.0563041835026891,0.00896799135096268,109.6928,65.0888,1182.16623003421,342.41532655189
"AFG",2011,"Both",0.153123275423912,0.0148733505111605,0.0314726016722831,0.0959027167505124,0.00095142026088604,0.0427445596354785,0.15566267894836,0.338604883876722,0.0431745946379768,0.024850944198545,10,14,3223,3.89584184278691,3223,3.89584184278691,0.0339728709692628,0,1134.21380656443,0.018850058002685,0,1134.21380656443,0.000168893805865854,0,0,0.0621712158887237,0.00232599342031231,107.0036,63.4931,1166.56363999579,330.4046328484
"AFG",2012,"Both",0.153347197475702,0.0145624482067387,0.0309283935638887,0.0936585420946873,0.000458908305085172,0.0426268059845533,0.149767855656331,0.335672394889094,0.0425230942815972,0.0240264200650932,10,14,3079,3.59940927609637,3079,3.59940927609637,0.0365775404145386,0,1181.44114443861,0.0205408605151197,0,1181.44114443861,0.000168363928026473,0,0,0.0671073120654722,0.0085747230691916,102.2228,60.6563,1118.15992239651,311.986418171106
"AFG",2013,"Both",0.153137159700679,0.0143995519488173,0.0308922714924044,0.0920370326887752,0.00073531291126989,0.0439779522791065,0.147121605575124,0.333257704050206,0.042250550503904,0.0234663136637328,10,14,2857,3.24409473215281,2857,3.24409473215281,0.0395854653764759,0,1188.20853935426,0.0223073408651274,0,1188.20853935426,0.000253285299401438,0,0,0.0752592173102742,0.0036265771998288,94.8524,56.2829,1033.65820958657,285.469272783585
"AFG",2014,"Both",0.142204450291696,0.0134102365787626,0.0293633505019216,0.0841009896251358,0.000749382623946598,0.0437550744882516,0.13809680831658,0.309318059271417,0.0395035818804645,0.0216660593184755,10,14,2598,2.87403522266783,2598,2.87403522266783,0.0420120368362832,0,1221.42647267039,0.0252275512412365,0,1221.42647267039,0.000238701785213037,0,0,0.125251053834685,0.0103302146471682,86.2536,51.1806,929.651670754281,252.764502988464
"AFG",2015,"Both",0.128226937266043,0.0122359084530272,0.027636731302317,0.0773230893242129,0.000841701556271731,0.0434677095525038,0.129492466370967,0.285634205088538,0.0360882896104343,0.0198337500494285,10,14,2363,2.54905685153994,2363,2.54905685153994,0.0404232867163919,0,1145.41007581424,0.0261814384134419,0,1145.41007581424,0.000222330240113811,0,0,0.180848364112741,0.0177252303570102,78.4516,46.5511,842.19040197165,227.986573454896
"AFG",2016,"Both",0.122106477622487,0.011922798553781,0.0282149202410091,0.0778519006719593,0.00192854376745941,0.0471049045468069,0.133375462063808,0.284003490938545,0.0353142184372594,0.0196426123852802,10,14,2172,2.293503248185,2172,2.293503248185,0.0386010864431356,0,997.729506294158,0.0250367282249273,0,997.729506294158,0.000223753076071091,0,0,0.198094960515595,0.00161487073680332,72.1104,42.7884,770.789903971775,211.291272669408
"AFG",2017,"Both",0.143113351740138,0.0143056894543994,0.0355548962965885,0.0964992348671603,0.00259341398076499,0.0632107065306717,0.17227388840769,0.34858682102676,0.0425088486019415,0.0241770462140829,10,14,2050,2.11498639925334,2050,2.11498639925334,0.0457412704655767,0,900.080731445271,0.0240084649321884,0,900.080731445271,0.000373501527377264,0,0,0,0.0110613308868482,68.06,40.385,722.595854953969,200.036096935192
"AFG",2018,"Both",0.138178638300939,0.0140379403388508,0.0363377987248243,0.0954862184479795,0.00203159361814118,0.0683858935979844,0.181600727740363,0.348055589890014,0.0418408824063355,0.024343782563872,10,14,1958,1.98783984155126,1958,1.98783984155126,0.0483769365385188,0,899.976601521071,0.0251346012794531,0,899.976601521071,0.000384735048509227,0,0,0,0.000939262783667664,65.0056,38.5726,682.133547659455,187.137787280154
"AFG",2019,"Both",0.124931635405904,0.0128487461810852,0.0342402859342319,0.0891236510606573,0.00117086232523826,0.0683537103867369,0.179997444951786,0.319950449002111,0.0386413573798206,0.0227930720149471,10,14,1879,1.88482907883614,1879,1.88482907883614,0.0432760479770698,0,827.230753297448,0.0240069997568678,0,827.230753297448,0.000369731104899531,0,0,0.0633587783754951,0.000944227900016512,62.3828,37.0163,642.50168345842,178.971762724594
