"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid"
"AFG",2000,"Both",0.210431198393625,0.0217131365437113,0.0285875813841972,0.111849019638912,0.00362293518396525,0.0489488590592721,0.185148492383212,0.282154986246292,0.048795514475081,0.0297969960606604,10,14,2067,4.05786775303374,2067,4.05786775303374,0.0289166624100085,0,1248.12762909104,64.5107169933565,0,1248.12762909104,3.46182210630452e-05,0,0,71.7987442016602,0,68.6244,40.7199,583.214356571087
"AFG",2001,"Both",0.197490123425919,0.0206573546880069,0.0287236116264678,0.111003206083985,0.00343809505137122,0.0519070463925955,0.199050461672651,0.282202672322121,0.0469378631207941,0.0299834507042439,10,14,2009,3.95015999415782,2009,3.95015999415782,0.0285648492700852,0,1190.6140880798,61.9377038027058,0,1190.6140880798,4.12656417590275e-05,0,0,80.2300415039062,0.4412721991539,66.6988,39.5773,566.945168695141
"AFG",2002,"Both",0.181975358903288,0.0196870091219942,0.0293791946462953,0.110610630436418,0.00454881181281216,0.0547989596559893,0.21240492484445,0.283647423525633,0.0460226003346856,0.0301601465689228,10,14,2040,3.85844260192136,2040,3.85844260192136,0.0267159371363965,0,1121.67978604328,58.8225445988363,0,1121.67978604328,4.90030131159163e-05,0,0,19.2997531890869,141.445251464844,67.728,40.188,578.64074399229
"AFG",2003,"Both",0.167353667253399,0.0188894478200029,0.0304870505787422,0.111033890067302,0.00437156383277984,0.0570504999303268,0.22245570809086,0.286304208273385,0.0459647276317907,0.0302936952496102,10,14,2256,3.82050408558365,2256,3.82050408558365,0.025737881641194,0,1196.90649032108,62.6693401598031,0,1196.90649032108,5.76596306068604e-05,0,0,0,5.99069833755493,74.8992,44.4432,645.902293864757
"AFG",2004,"Both",0.154699597397613,0.0182645295435741,0.0320691825884331,0.112367145407967,0.00172040617403502,0.0585513660508396,0.229208472077646,0.293582191249595,0.0468055879456966,0.0304058307934067,10,14,2418,3.83482579500638,2418,3.83482579500638,0.022257291506359,0,1098.21023919715,58.0860491167598,0,1098.21023919715,6.83992648345877e-05,0,0,5.83114194869995,0.859809279441833,80.2776,47.6346,709.881738441522
"AFG",2005,"Both",0.146808268467768,0.0177341872028458,0.0333975771327339,0.113839632955637,0.000891306385939812,0.0585099179498118,0.229204741973055,0.301730971758569,0.0475349187931884,0.0302693910387022,10,14,2561,3.90911809191408,2561,3.90911809191408,0.0199982694624899,0,1037.50036733956,55.2770963269946,0,1037.50036733956,8.08168792591296e-05,0,0,13.1816940307617,36.4217414855957,85.0252,50.4517,772.733018673695
"AFG",2006,"Both",0.144595755117442,0.0173125229801043,0.0341870266912594,0.115469502273548,0.000912803004995058,0.0568761798314769,0.221938906041617,0.313689812859698,0.0477855517205156,0.0298882713243725,10,14,2770,4.02830456774095,2770,4.02830456774095,0.017256232638664,0,960.595655130513,51.5904104945068,0,960.595655130513,8.74355163067238e-05,0,0,54.7498474121094,21.213960647583,91.964,54.569,868.920781621364
"AFG",2007,"Both",0.145821771267993,0.0169800174913433,0.0346592503950739,0.117257209313069,0.00114528897619206,0.0543537925763455,0.210437825964808,0.327066000666134,0.0479096210206932,0.0293469101722936,10,14,2984,4.15396800994439,2984,4.15396800994439,0.0149346236257143,0,889.392369591152,48.0990311333506,0,889.392369591152,8.76885303402316e-05,0,0,23.9178409576416,12.2873582839966,99.0688,58.7848,975.964945987745
"AFG",2008,"Both",0.150686385984135,0.016690461473179,0.0345858691718664,0.118891078792899,0.000803242790207742,0.0511861463012428,0.196001057384412,0.339886123632282,0.0474785482965405,0.0286580148726306,10,14,3160,4.24841809110044,3160,4.24841809110044,0.0150450276309459,0,951.594056696305,51.3125147934679,0,951.594056696305,8.80436696601516e-05,0,0,36.3209075927734,1.46841514110565,104.912,62.252,1074.04015067801
"AFG",2009,"Both",0.156018696682468,0.0164383843160291,0.0343520029472,0.120139156286325,0.000663777742187311,0.0484437496124934,0.183159868236277,0.349256308386079,0.0471584846192825,0.0279228094787134,10,14,3289,4.24883248881436,3289,4.24883248881436,0.0162695509894198,0,1078.83245100133,57.7540797474482,0,1078.83245100133,0.000177210703526493,0,0,174.387008666992,7.40891075134277,109.1948,64.7933,1148.70399828181
"AFG",2010,"Both",0.16010123641973,0.0161557348875289,0.0340281647371581,0.120960875874457,0.000747324308387984,0.0465465490452631,0.173471902952308,0.357798495773065,0.0467317231030453,0.0272278369734507,10,14,3304,4.12220336348357,3304,4.12220336348357,0.0160513610033822,0,1066.18710651908,57.2394073373157,0,1066.18710651908,0.000178794922224209,0,0,199.019454956055,31.6993274688721,109.6928,65.0888,1182.16623003421
"AFG",2011,"Both",0.163680190960002,0.0158987772769497,0.0336424455228374,0.121364681908487,0.00101701488264222,0.0456915362100708,0.166394670862913,0.361949624572074,0.046151219502069,0.0265642651693108,10,14,3223,3.89584184278691,3223,3.89584184278691,0.0174650351293947,0,1134.21380656443,60.7537369426538,0,1134.21380656443,0.000180538003249684,0,0,214.192657470703,8.01352691650391,107.0036,63.4931,1166.56363999579
