"ISO3","Year","Sex","OtherCMPN","TB","Maternal","Cardiovascular","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","InterpVio","SelfHarm","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD"
"CHN",2000,"Male",0.0362774147652089,0.00864371657371521,0,0.0473512075841427,0.096827560570091,0.0147760407999158,0.1258195489645,0.294154644012451,0.12114179879427,0.00151760166045278,0.032432921230793,0.0697172358632088,0.146837934851646,0.00450236210599542,15,19,46674,4.20638066535511,46674,4.20638066535511,15.6846839860411,0,0,1302.2046
"CHN",2001,"Male",0.0362774147652089,0.00864371657371521,0,0.0473512075841427,0.096827560570091,0.0147760407999158,0.1258195489645,0.294154644012451,0.12114179879427,0.00151760166045278,0.032432921230793,0.0697172358632088,0.146837934851646,0.00450236210599542,15,19,45723,4.01152076997102,45723,4.01152076997102,17.1771051360489,0,0,1275.6717
"CHN",2002,"Male",0.0362774147652089,0.00864371657371521,0,0.0473512075841427,0.096827560570091,0.0147760407999158,0.1258195489645,0.294154644012451,0.12114179879427,0.00151760166045278,0.032432921230793,0.0697172358632088,0.146837934851646,0.00450236210599542,15,19,44893,3.8250838794571,44893,3.8250838794571,18.4643542637784,0,0,1252.5147
"CHN",2003,"Male",0.0362774147652089,0.00864371657371521,0,0.0473512075841427,0.096827560570091,0.0147760407999158,0.1258195489645,0.294154644012451,0.12114179879427,0.00151760166045278,0.032432921230793,0.0697172358632088,0.146837934851646,0.00450236210599542,15,19,44168,3.6395262207666,44168,3.6395262207666,19.2873362445415,0,0,1232.2872
"CHN",2004,"Male",0.0362774147652089,0.00864371657371521,0,0.0473512075841427,0.096827560570091,0.0147760407999158,0.1258195489645,0.294154644012451,0.12114179879427,0.00151760166045278,0.032432921230793,0.0697172358632088,0.146837934851646,0.00450236210599542,15,19,43546,3.45783106290133,43546,3.45783106290133,19.7545498212094,0,0,1214.9334
"CHN",2005,"Male",0.0360461290692911,0.00914499815553427,0,0.0510655492544174,0.101537055335939,0.0132116014137864,0.121762149035931,0.299249082803726,0.117135480046272,0.00371615425683558,0.0324645042419434,0.0641049519181252,0.146161824464798,0.00382219394668937,15,19,42877,3.2907665400922,42877,3.2907665400922,20.2600409513309,0,0,1196.2683
"CHN",2006,"Male",0.0356172193423844,0.00917594414204359,0,0.0543545745313168,0.106845051050186,0.011248997412622,0.116909086704254,0.306554436683655,0.113551393151283,0.00109741080086678,0.0322185084223747,0.0603359341621399,0.147224426269531,0.00486699258908629,15,19,41096,3.13821762767495,41096,3.13821762767495,19.4752389226759,0,0,1146.5784
"CHN",2007,"Male",0.0325006102502813,0.0091324532404542,0,0.0573315918445587,0.109525072854012,0.00935226306319237,0.113896362483501,0.316845178604126,0.109426990151405,0,0.0322854556143284,0.0558174885809422,0.147957295179367,0.00592924747616053,15,19,37723,2.98295092437392,37723,2.98295092437392,18.4344355758267,0,0,1052.4717
"CHN",2008,"Male",0.0271071725219371,0.00755796488374472,0,0.0524563267827034,0.0973907988518476,0.00779971526935697,0.101612821221352,0.280358850955963,0.0958571135997772,0.000733248714823276,0.0275786425918341,0.0465309955179691,0.131824344396591,0.123192012310028,15,19,34056,2.82404968518691,34056,2.82404968518691,16.7066428117966,0,0,950.1624
"CHN",2009,"Male",0.0275877241110721,0.0083432188257575,0,0.0611596554517746,0.11049048602581,0.00898679625242949,0.11718774586916,0.327896326780319,0.108397305011749,0.00050456915050745,0.030754741281271,0.0501802079379559,0.144589304924011,0.00392191484570503,15,19,30471,2.66992221051001,30471,2.66992221051001,15.3583669354839,0,0,850.1409
"CHN",2010,"Male",0.0264134341850877,0.00784365087747574,0,0.0628476962447166,0.109595867805183,0.00998270884156227,0.116830602288246,0.332170933485031,0.108566530048847,0,0.0297466330230236,0.0489130057394505,0.143184155225754,0.0039047566242516,15,19,26845,2.52910182370926,26845,2.52910182370926,14.9648108145774,0,0,748.9755
"CHN",2011,"Male",0.0249261708231643,0.00762923806905746,0,0.065101832151413,0.109980805777013,0.0100097460672259,0.113665118813515,0.335970193147659,0.111098051071167,0,0.0289918910712004,0.0501909106969833,0.14116957783699,0.00126644514966756,15,19,24007,2.40765345345992,24007,2.40765345345992,14.7582126253506,0,0,669.7953
"CHN",2012,"Male",0.024463402965921,0.00726632913574576,0,0.0714876428246498,0.112069153226912,0.00951264705508947,0.111409805715084,0.324583888053894,0.113462492823601,0.000850356940645725,0.0262946058064699,0.0520624630153179,0.143748134374619,0.00278907036408782,15,19,22154,2.30545201083186,22154,2.30545201083186,14.80820487112,0,0,618.0966
