"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid","LRIresid"
"AFG",2000,"Both",0.0105329612781737,0.143886995193287,0.0561387720712909,0.0349690969373301,0.0510047598612442,0.00345932891826343,0.0293553893109033,0.274497532457167,0.0970342758195873,0.101709121507594,0.0326221475573635,5,9,3835,5.83738022925215,3835,5.83738022925215,0.119268442230349,0,2679.089365567,0.0532872755183661,0,2679.089365567,5.03071492058706e-05,0.000312384282964469,0.482351540693921,0,0,0.0451584854252769,0,174.4925,103.1615,389.725878156709,204.854157556179
"AFG",2001,"Both",0.0111240912915542,0.139332307885049,0.0539711057426709,0.0368193250294816,0.0519835384241208,0.00325961039786882,0.030848316768722,0.2748290615006,0.0952778570088974,0.0995681226768564,0.0335205617344426,5,9,3711,5.67277383242026,3711,5.67277383242026,0.117500500141569,0,2555.63731426393,0.0528714428172385,0,2555.63731426393,5.17796929707702e-05,0,0,0,0,0.0517942996867274,0.000119522018468901,168.8505,99.8259,372.936696531057,203.474025366424
"AFG",2002,"Both",0.0119592212463479,0.13445799837678,0.051930217016654,0.0396394853894801,0.0554078662779396,0.00431661415347924,0.0324935405359596,0.277166435407261,0.0965041561540544,0.0997444993440602,0.0343372661250998,5,9,3736,5.52268775896966,3736,5.52268775896966,0.110945566938007,0,2407.67075122638,0.0498762686717926,0,2407.67075122638,5.13503364340669e-05,0,0,0,0,0.0124420295615372,0.0386037531369063,169.988,100.4984,379.933531900807,218.138857112641
"AFG",2003,"Both",0.0135985123018328,0.135636098963476,0.0524327486863412,0.0451421701657726,0.0602284010195282,0.00435699795264826,0.0356331959279321,0.292586829121789,0.100774739605419,0.106100005486856,0.0365333159116451,5,9,4085,5.45353902301265,4085,5.45353902301265,0.113538027840272,0,2569.14387203542,0.04859818800579,0,2569.14387203542,0.000106996032100441,0,0,0,0,0,0.00333196098438796,185.8675,109.8865,413.041047944841,246.85553116339
"AFG",2004,"Both",0.0147988060375205,0.13002784489295,0.0504865574253507,0.0492100265970824,0.0673235144419527,0.00171374246445172,0.0369351740381167,0.293501613571954,0.107336425639652,0.10857139895581,0.0366822181181078,5,9,4321,5.46418822158313,4321,5.46418822158313,0.0994328506853481,0,2357.29368088146,0.042583817018981,0,2357.29368088146,0.000106492053123949,0,0,0,0,0.00345778625096699,0.000415548827612944,196.6055,116.2349,465.604136021722,292.036059416827
"AFG",2005,"Both",0.0156543654729132,0.123344733058155,0.0479855340585251,0.0517660963287134,0.0710358099656727,0.000870689529524119,0.0371106920175427,0.285836132059937,0.109149154966235,0.108112927031837,0.0358898768527966,5,9,4493,5.54480716752129,4493,5.54480716752129,0.0892427327000563,0,2226.98074790275,0.0389731777944293,0,2226.98074790275,0.000104500315114983,0.000765701337835181,7.0225734621103,0,0,0.00737961358904563,0.0157514407160958,204.4315,120.8617,502.01939106014,326.721302363381
"AFG",2006,"Both",0.0164220674595926,0.119344298149463,0.0462863371324665,0.0534334286811584,0.0766580852129894,0.000877933282031825,0.0370216875142596,0.276332987517869,0.115387462427188,0.106613898367757,0.0351519476706141,5,9,4767,5.68465580692303,4767,5.68465580692303,0.0772922655138844,0,2061.90580537361,0.0342831601257615,0,2061.90580537361,0.000103424838960143,0.000873466141616599,9.93941967626179,0,0,0.0285888078865433,0.00961190220360534,216.8985,128.2323,571.898980547138,379.943191936201
"AFG",2007,"Both",0.017723143730805,0.121118300774891,0.0466902897218466,0.0563518127283407,0.0850980768858643,0.0011250846297172,0.0380329834755108,0.275036801693806,0.126608284615877,0.108286198226323,0.0356015409080782,5,9,5049,5.83500018221287,5049,5.83500018221287,0.0694910417457951,0,1909.06889940683,0.0301778276086203,0,1909.06889940683,0.000159750444743174,0.0010354252924237,0.408863854259505,0,0,0.0119900397876739,0.00565122533830431,229.7295,135.8181,650.724838424265,437.376057181218
"AFG",2008,"Both",0.0185776849565234,0.122046415698583,0.0465471828326995,0.0571977019826789,0.0879402417735871,0.000789027280556122,0.0381231736756911,0.266027030950841,0.130927318736389,0.106304715616156,0.0353517386235726,5,9,5265,5.94365306949225,5265,5.94365306949225,0.0710882561333507,0,2042.58399398502,0.030873220857638,0,2042.58399398502,0.000161332916370724,0.00122052896554612,-0.589680175639615,0,0,0.0172326590268556,0.000464990830596941,239.5575,141.6285,701.751688822751,471.347109034959
"AFG",2009,"Both",0.0181561827998268,0.115880563561061,0.0437872104021373,0.0540942619422551,0.0829677865797364,0.000612769832712144,0.0359460497132564,0.241712324733268,0.124179747080956,0.0978221189626486,0.0329588583946462,5,9,5386,5.91563371238412,5386,5.91563371238412,0.0735053184455604,0,2315.69951609126,0.0339682626364744,0,2315.69951609126,0.000153603184239553,0.00137834164740825,16.848897342993,0,0,0.0746536896976526,0.00219117302263541,245.063,144.8834,724.506738649473,484.062191145086
"AFG",2010,"Both",0.0185880469040729,0.115280484223218,0.0431806768790375,0.0534820266224956,0.0847568496579204,0.000679333803990719,0.0357548393769134,0.229936306343145,0.126977957856643,0.0936414680560108,0.0322755082017989,5,9,5320,5.70951520506108,5320,5.70951520506108,0.0726248697455402,0,2288.55645224369,0.0340832116678658,0,2288.55645224369,0.00015394096866594,0.00168911133292508,15.2360839452757,0,0,0.0833494779639717,0.00762910206365227,242.06,143.108,743.131812909167,496.035000136564
