"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","Maternal","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","OCDresid"
"MYS",2003,"Male",88.8078132073445,33.5813107074633,108.319767999112,308.818514768977,100.09625770556,85.2203670259232,122.43923936118,206.773896577323,154.176018241792,212.307594483204,0,15,19,1466,5.73415512673259,1466,5.73415512673259,43.5917039985535,24.6720443349968,62.5113636621104,1.86751592356688,0,0,0,0,40.9014,122.43923936118
"MYS",2004,"Male",83.5863363514994,31.5530945892668,103.933926966943,314.888665063383,97.2294668975207,80.5425335226589,112.014927747779,200.25203223317,148.682878332468,211.276619109776,0,15,19,1428,5.4062608640411,1428,5.4062608640411,42.2342094510209,24.5875182541405,59.8809006479012,1.80530973451327,0,0,0,0,39.8412,112.014927747779
"MYS",2005,"Male",78.1396214169291,29.4990140182686,98.9719607090664,317.086211683292,93.9162046571157,75.6209182345281,101.472448674012,192.528499014616,142.238128812559,207.992904105603,0,15,19,1380,5.07497251644933,1380,5.07497251644933,40.7772458987077,23.0298706720307,58.5246211253845,1.75684277530236,0,0,0,0,38.502,101.472448674012
"MYS",2006,"Male",74.1212202520266,28.0536077341003,95.4223792539667,324.339566757735,91.8200638258557,72.0263747111888,92.733424862702,187.313533658161,138.035489710061,205.985480195323,0,15,19,1352,4.85021386101069,1352,4.85021386101069,40.4032166889763,21.9320805974251,58.8743527805275,1.74564234990316,0,0,0,0,37.7208,92.733424862702
"MYS",2007,"Male",71.6608576410012,27.2495181603471,93.4307023189717,340.35736198487,90.9968317487531,69.8616147543427,86.7973232915406,185.001066950674,136.74000486702,205.864143383851,0,15,19,1350,4.74531046964781,1350,4.74531046964781,40.2700830953493,20.8575231213249,59.6826430693738,1.77049180327869,0,0,0,0,37.665,86.7973232915406
"MYS",2008,"Male",71.5211261407988,27.3655411303625,93.896412203105,371.994240619778,92.4210708526048,69.7785129738132,85.9447482648047,187.805786444747,140.364047205483,210.653875235663,0,15,19,1393,4.81364952682227,1393,4.81364952682227,40.3308988757879,21.6125446193215,59.0492531322544,0.923740053050398,0,0,0,0,38.8647,85.9447482648047
"MYS",2009,"Male",73.0367240355266,28.0797603803534,95.8498347396198,414.351545046127,95.621962583726,71.0850446910323,87.8585174242135,194.591621686105,147.857082852932,220.153082188173,0,15,19,1469,5.01143452656144,1469,5.01143452656144,39.5315579732613,20.9471473445589,58.1159686019634,0.98326639892905,0,0,0,0,40.9851,87.8585174242136
"MYS",2010,"Male",74.5375747997386,28.6353862352977,96.9299653179637,451.983411746536,99.0522225041965,72.1117803586999,89.8407241401872,201.980135109438,155.956670154962,231.826512920745,0,15,19,1542,5.21955754371584,1542,5.21955754371584,38.1016085876576,19.3838165542114,56.8194006211038,1.04400812457684,0,0,0,0,43.0218,89.8407241401872
"MYS",2011,"Male",73.3534767696427,27.9471620361686,93.6280667748897,460.734866574741,99.4571635309611,70.2789323214258,85.9716692050017,203.105607326337,158.711846677022,238.565486888162,0,15,19,1550,5.26099439967711,1550,5.26099439967711,37.1818921084162,16.8016635852416,57.562120631591,1.06382978723404,0,0,0,0,43.245,85.9716692050018
"MYS",2012,"Male",71.6755439403741,26.883564869732,89.187901091078,457.718154942804,99.3283501698827,67.9370408857386,81.0915902019268,203.31290588643,160.202896648644,245.631891503511,0,15,19,1540,5.25118279570155,1540,5.25118279570155,35.9584827547981,15.2058462919365,56.7111192176599,1.07167710508003,0,0,0,0,42.966,81.0915902019268
