"ISO3","Year","Sex","Diarrhoeal","LRI","Malaria","OtherCMPN","TB","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD","OCDresid"
"CHN",2000,"Both",0.00369674642570317,0.0231443848460913,0,0.0422810260558,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,44473,1.77640548875146,44473,1.77640548875146,8.28752175474461e-05,0,0,1476.5036,1880.36407177959
"CHN",2001,"Both",0.00369674642570317,0.0231443848460913,0,0.0422583755634472,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,42867,1.70806666067114,42867,1.70806666067114,0.00010552570990023,0,0,1423.1844,1811.48978527829
"CHN",2002,"Both",0.00369674642570317,0.0231443848460913,0,0.0422309810152776,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,39695,1.64213982276529,39695,1.64213982276529,0.000132920258069793,0,0,1317.874,1676.35879140144
"CHN",2003,"Both",0.00369674642570317,0.0231443848460913,0,0.0421981022880372,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,36325,1.58019183376445,36325,1.58019183376445,0.00016579898531021,0,0,1205.99,1532.84606561295
"CHN",2004,"Both",0.00369674642570317,0.0231443848460913,0,0.0420991090149102,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,33006,1.52140724327399,33006,1.52140724327399,0.000264792258437244,0,0,1095.7992,1389.52319214612
"CHN",2005,"Both",0.00381114869378507,0.0239551886916161,0,0.042684843305664,0.00911690108478069,0.168639149516821,0.0126817524433136,0.143873557448387,0.13508839905262,0.292981266975403,0,0.163160145282745,0.00363968871533871,10,14,29504,1.4667382629614,29504,1.4667382629614,0.000367927255525478,0,0,979.5328,1259.37361689031
"CHN",2006,"Both",0.00281560164876282,0.0226606465876102,0,0.0411319655389424,0.00917642563581467,0.173930449411273,0.0129112843424082,0.14633172750473,0.135963946580887,0.292203694581985,0,0.159269626252353,0.00316247413866222,10,14,26686,1.416795248804,26686,1.416795248804,0.000442137091023192,0,0,885.9752,1097.64763237222
"CHN",2007,"Both",0.00205919938161969,0.0227386970072985,0,0.0369573172256177,0.00942840334028006,0.18084591627121,0.0116445505991578,0.150686532258987,0.139645934104919,0.283638745546341,0,0.154224330559373,0.00756421592086554,10,14,24787,1.36950968169514,24787,1.36950968169514,0.000566164769249603,0,0,822.9284,916.061022071386
"CHN",2008,"Both",0.000784737407229841,0.0167695432901382,0,0.0259094967268054,0.00675787683576345,0.140619639307261,0.0081053851172328,0.118132539093494,0.107907831668854,0.208344474434853,0,0.112273187376559,0.25382474064827,10,14,23208,1.32603142760446,27410,1.56597419028393,0.000570583833044325,0,0,770.5056,601.307600035699
"CHN",2009,"Both",0.000777774082962424,0.023902015760541,0,0.0344125965965295,0.00963075272738934,0.190578442066908,0.012089055031538,0.158106923103333,0.150066688656807,0.270938634872437,0,0.147320169955492,0.00131551804952323,10,14,21827,1.28500524741759,21827,1.28500524741759,0.000861430318901503,0,0,724.6564,751.123745912449
"CHN",2010,"Both",0.000512192258611321,0.0225134026259184,0,0.0318644149151516,0.0092002060264349,0.189038996584713,0.0141779007390141,0.154556155204773,0.153855562210083,0.266504228115082,0,0.153026090934873,0.00382001092657447,10,14,20690,1.24387314465291,20690,1.24387314465291,0.000930828050069755,0,0,686.908,659.274744594488
"CHN",2011,"Both",0.000566030677873641,0.0220807138830423,0,0.0285003251166304,0.00834281370043755,0.189430458471179,0.0138404490426183,0.14871084690094,0.157364428043365,0.263768166303635,0.000921877042856067,0.162101432681084,0.00350653962232172,10,14,19748,1.20513107273101,19748,1.20513107273101,0.00086593721504726,0,0,655.6336,562.824420403218
"CHN",2012,"Both",0.000734292669221759,0.0219041090458632,0,0.0275120952979103,0.00644801324233413,0.194024062715471,0.0118542024865746,0.150358140468597,0.1557287722826,0.26245966553688,0,0.165251556783915,0.00287759327329695,10,14,18905,1.16953181987312,18905,1.16953181987312,0.000847526559906485,0,0,627.646,520.116161606995
