"ISO3","Year","Sex","Diarrhoeal","LRI","Malaria","OtherCMPN","TB","OtherNCD","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD"
"CHN",2000,"Both",0.00369674642570317,0.0231443848460913,0,0.0423639012733474,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,44473,1.77640548875146,44473,1.77640548875146,3.68570954998757,0,0,1476.5036
"CHN",2001,"Both",0.00369674642570317,0.0231443848460913,0,0.0423639012733474,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,42867,1.70806666067114,42867,1.70806666067114,4.52357060629317,0,0,1423.1844
"CHN",2002,"Both",0.00369674642570317,0.0231443848460913,0,0.0423639012733474,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,39695,1.64213982276529,39695,1.64213982276529,5.27626964408045,0,0,1317.874
"CHN",2003,"Both",0.00369674642570317,0.0231443848460913,0,0.0423639012733474,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,36325,1.58019183376445,36325,1.58019183376445,6.02264814139337,0,0,1205.99
"CHN",2004,"Both",0.00369674642570317,0.0231443848460913,0,0.0423639012733474,0.00863649975508451,0.162705816328526,0.0114822899922729,0.145422086119652,0.137223914265633,0.294283896684647,0,0.167007954791188,0.00403247866779566,10,14,33006,1.52140724327399,33006,1.52140724327399,8.73973328197968,0,0,1095.7992
"CHN",2005,"Both",0.00381114869378507,0.0239551886916161,0,0.0430527705611895,0.00911690108478069,0.168639149516821,0.0126817524433136,0.143873557448387,0.13508839905262,0.292981266975403,0,0.163160145282745,0.00363968871533871,10,14,29504,1.4667382629614,29504,1.4667382629614,10.8553257470237,0,0,979.5328
"CHN",2006,"Both",0.00281560164876282,0.0226606465876102,0,0.0415741026299656,0.00917642563581467,0.173930449411273,0.0129112843424082,0.14633172750473,0.135963946580887,0.292203694581985,0,0.159269626252353,0.00316247413866222,10,14,26686,1.416795248804,26686,1.416795248804,11.7988704110449,0,0,885.9752
"CHN",2007,"Both",0.00205919938161969,0.0227386970072985,0,0.0375234819948673,0.00942840334028006,0.18084591627121,0.0116445505991578,0.150686532258987,0.139645934104919,0.283638745546341,0,0.154224330559373,0.00756421592086554,10,14,24787,1.36950968169514,24787,1.36950968169514,14.0335261353899,0,0,822.9284
"CHN",2008,"Both",0.000784737407229841,0.0167695432901382,0,0.0264800805598497,0.00675787683576345,0.140619639307261,0.0081053851172328,0.118132539093494,0.107907831668854,0.208344474434853,0,0.112273187376559,0.25382474064827,10,14,23208,1.32603142760446,27410,1.56597419028393,16.9682199259115,0,0,770.5056
"CHN",2009,"Both",0.000777774082962424,0.023902015760541,0,0.035274026915431,0.00963075272738934,0.190578442066908,0.012089055031538,0.158106923103333,0.150066688656807,0.270938634872437,0,0.147320169955492,0.00131551804952323,10,14,21827,1.28500524741759,21827,1.28500524741759,18.8024395706631,0,0,724.6564
"CHN",2010,"Both",0.000512192258611321,0.0225134026259184,0,0.0327952429652214,0.0092002060264349,0.189038996584713,0.0141779007390141,0.154556155204773,0.153855562210083,0.266504228115082,0,0.153026090934873,0.00382001092657447,10,14,20690,1.24387314465291,20690,1.24387314465291,20.0660591421461,0,0,686.908
"CHN",2011,"Both",0.000566030677873641,0.0220807138830423,0,0.0293662623316777,0.00834281370043755,0.189430458471179,0.0138404490426183,0.14871084690094,0.157364428043365,0.263768166303635,0.000921877042856067,0.162101432681084,0.00350653962232172,10,14,19748,1.20513107273101,19748,1.20513107273101,19.9203879728419,0,0,655.6336
"CHN",2012,"Both",0.000734292669221759,0.0219041090458632,0,0.0283596218578168,0.00644801324233413,0.194024062715471,0.0118542024865746,0.150358140468597,0.1557287722826,0.26245966553688,0,0.165251556783915,0.00287759327329695,10,14,18905,1.16953181987312,18905,1.16953181987312,19.335010636557,0,0,627.646
"CHN",2013,"Both",0.000726600002963096,0.0228134002536535,0,0.0303783752242452,0.00607137056067586,0.203467996791005,0.00982647854834795,0.151773527264595,0.158171519637108,0.251849055290222,0,0.163189633749425,0.00173200666904449,10,14,18204,1.13600080600995,18204,1.13600080600995,19.8682588597843,0,0,604.3728
"CHN",2014,"Both",0.0005949308979325,0.0236525442451239,0,0.0300208751941683,0.00562819093465805,0.209656891413033,0.0090899420902133,0.158519968390465,0.158306285738945,0.241938158869743,0,0.16004500631243,0.0025472603738308,10,14,17674,1.10626039240302,17674,1.10626039240302,18.8833192360771,0,0,586.7768
"CHN",2015,"Both",0.000439094786997885,0.0233394093811512,0,0.0283622729675699,0.0041642370633781,0.218111097812653,0.00912540312856436,0.164307817816734,0.159691587090492,0.230848401784897,0,0.161239045672119,0.000371651723980904,10,14,17154,1.07666222119174,17154,1.07666222119174,15.0473684210526,0,0,569.5128
"CHN",2016,"Both",0.000553862191736698,0.02306910417974,0,0.025889304735756,0.00262528215534985,0.227496551349759,0.00884124636650085,0.171577036380768,0.153470203280449,0.218397721648216,0,0.165035003330559,0.00304473633877933,10,14,16741,1.04936565400671,16741,1.04936565400671,13.5716261325703,0,0,555.8012
