"ISO3","Year","Sex","Congenital","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","Measles","epi_meas","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"SOM",2015,"Both",0.0223801494287155,0.191006245250862,0.0407620436318936,0.0119616604751834,0.161844919300593,0.0121429845958234,0.0170717316773217,0.0437594788826655,0.428888179587475,0.0505475512333026,0.0196350559361649,5,9,8211,19.0455567810676,8211,19.0455567810676,146.832798467699,0,1657.27688209616,109.043589907852,0,1657.27688209616,7.78950142299989,3.55233693122864,0,0,0,103.287292480469,0,373.6005,220.8759
"SOM",2016,"Both",0.0230088075634756,0.190571687979245,0.040864588264274,0.0127130236887797,0.161283000259004,0.0106585442910146,0.0185059854706895,0.0466686040743984,0.421077645047191,0.0534517913840059,0.0211963219779227,5,9,8193,18.4243906427552,8193,18.4243906427552,148.880368175997,0,1680.33148395514,110.564192619976,0,1680.33148395514,7.34992084432718,55.6268920898438,0,0,0,156.756774902344,0.800181150436401,372.7815,220.3917
"SOM",2017,"Both",0.0235461729740256,0.18917814144588,0.0408029867162759,0.0134462579201168,0.159853216395294,0.0133169048777147,0.0199960083553903,0.0495966574362467,0.411215845960342,0.0562313935401182,0.0228164143785957,5,9,8255,17.7961389907271,8255,17.7961389907271,139.672425268213,0,1565.54298948866,103.726025937825,0,1565.54298948866,6.5564439267182,1.32269740104675,0,0,0,256.946136474609,0,375.6025,222.0595
"SOM",2018,"Both",0.0240266198073274,0.187853260696484,0.0409215098049998,0.0142286821192731,0.158209782820075,0.0138760660585986,0.0214143974957679,0.0524484498160163,0.402810711412992,0.059759468993065,0.0244510509754012,5,9,8309,17.2629548239423,8309,17.2629548239423,141.838188201159,0,1590.28467351634,105.334403409083,0,1590.28467351634,5.748642895157,1.91072738170624,0,0,0,174.806427001953,5.19110107421875,378.0595,223.5121
"SOM",2019,"Both",0.0245537023833848,0.186546418203551,0.0411925013356596,0.0151594416683638,0.156420315717076,0.0125632669605094,0.0230922690567659,0.0558725618877626,0.394181394812059,0.064089444468582,0.0263286835062858,5,9,8335,16.6825353276287,8335,16.6825353276287,143.708039649302,0,1610.82298657626,106.723025819247,0,1610.82298657626,4.91872317596567,26.5978355407715,0,0,0,100.275047302246,0,379.2425,224.2115
"SOM",2020,"Both",0.0248999450243135,0.184541553250372,0.0413654011014186,0.016061716450652,0.153798391347403,0.0146460611576891,0.0246537393924237,0.0590236183017286,0.384453570951708,0.0684619655463517,0.0280940374759396,5,9,8373,16.1319312683719,8373,16.1319312683719,143.708039649302,0,1610.82298657626,106.723025819247,0,1610.82298657626,4.54165762638316,3.72893214225769,0,0,0,97.4297561645508,0,380.9715,225.2337
"SOM",2021,"Both",0.025166168307116,0.182753911171463,0.041551850787804,0.0168798846059986,0.151357551840209,0.0160553920458833,0.0260279591091589,0.0617601240446617,0.376223748920896,0.0725898320798629,0.0296335770869464,5,9,8414,15.6730402425101,8414,15.6730402425101,143.708039649302,0,1610.82298657626,106.723025819247,0,1610.82298657626,3.69460453372853,36.9520263671875,0,0,0,85.8842697143555,0,382.837,226.3366
"SSD",2000,"Both",0.00740933201016399,0.136834938398111,0.0122541855948164,0.00570095913796734,0.186187774773904,0.19938368488263,0.00198902083929118,0.00913135438208793,0.420602130406212,0.012232153358084,0.00827446621673312,5,9,5090,26.1447630270621,5090,26.1447630270621,74.5377079337381,0,1188.57290617935,165.097545023147,0,1188.57290617935,32.8470201189422,446.125222167969,-100.296850585938,0,0,122.012687683105,0,231.595,136.921
"SSD",2001,"Both",0.00804785210170722,0.136735116524698,0.0126794779457984,0.00651128223012834,0.189267019956565,0.197412715233505,0.00237602283165687,0.0106543218573687,0.413427472656322,0.013386809055305,0.00950190960694542,5,9,4986,24.7905194895473,4986,24.7905194895473,72.6599744244513,0,1154.16406950456,160.93845291817,0,1154.16406950456,36.5551763367463,385.059484863281,9.91706748962402,0,0,62.0589179992676,0,226.863,134.1234
"SSD",2002,"Both",0.00872956867982785,0.136469157810633,0.0132138564046684,0.00744097155990924,0.192146869265736,0.194458040399514,0.00282963725583578,0.0124959531505093,0.406633786447348,0.0146977570239329,0.0108844020020853,5,9,4864,23.4831250247536,4864,23.4831250247536,70.7822409151649,0,1119.75523282978,156.779360813194,0,1119.75523282978,40.2974955729825,332.352458496094,218.915643310547,0,0,62.911319732666,0,221.312,130.8416
"SSD",2003,"Both",0.00948222978156275,0.135845382369193,0.0138278008711142,0.00854432095371157,0.194923397952371,0.190794932294234,0.00337362596660847,0.0147578927551671,0.3996723153888,0.0163370020617507,0.0124410996054881,5,9,4732,22.2047292459121,4732,22.2047292459121,68.9045074058781,0,1085.34639615499,152.620268708219,0,1085.34639615499,43.1216301733958,286.859992675781,205.901832275391,0,0,3.72470235824585,0,215.306,127.2908
"SSD",2004,"Both",0.0102797323542074,0.134899507118791,0.0143966804632234,0.00975881703636996,0.197508852535993,0.187082022717169,0.00399522651954065,0.0172762434929114,0.392544028360806,0.0181535593058985,0.0141053300950901,5,9,4642,21.0000403480987,4642,21.0000403480987,67.0267738965913,0,1050.9375594802,148.461176603243,0,1050.9375594802,46.3906388361796,247.59453125,-190.111796875,0,0,13.0215530395508,0,211.211,124.8698
"SSD",2005,"Both",0.0111020961037001,0.133712608927648,0.0148778059581815,0.0110573704749729,0.199835514796775,0.183588391917915,0.00467413656473054,0.0199417843923548,0.385384331473213,0.019986358198288,0.0158396011922202,5,9,4593,19.8849612081892,4593,19.8849612081892,65.1490403873049,0,1016.52872280542,144.302084498268,0,1016.52872280542,49.5647482014388,213.703735351562,583.285258789062,0,0,4.26244211196899,0,208.9815,123.5517
"SSD",2006,"Both",0.0118870697408533,0.132643968668465,0.0152782805070497,0.0123484843628798,0.201752318503063,0.180350653322227,0.00539517301803076,0.0226526573237476,0.378346141358462,0.0217213220389925,0.017623931156229,5,9,4563,18.8612088373497,4563,18.8612088373497,63.2713068780181,0,982.119886130633,140.142992393292,0,982.119886130633,52.7879283244263,184.451912841797,-83.9343237304687,0,0,16.0464668273926,0,207.6165,122.7447
"SSD",2007,"Both",0.0126604148437986,0.131642029896244,0.0156439072084031,0.0136809644711538,0.203288020769696,0.177196086750201,0.006183973455742,0.025525276704266,0.371181406688704,0.0235060260110753,0.0194918932007168,5,9,4547,17.892287541075,4547,17.892287541075,61.3935733687317,0,947.711049455844,135.983900288315,0,947.711049455844,55.5450103364029,159.204093017578,-18.6557304382324,0,0,12.4152097702026,0,206.8885,122.3143
"SSD",2008,"Both",0.013423591436524,0.130830916168217,0.0159888221210531,0.0150454515690292,0.204375061785593,0.174180285027622,0.00705056313552882,0.028551454195741,0.363871342107617,0.0251977894911,0.0214847229619752,5,9,4519,16.9523759222934,4519,16.9523759222934,59.5158398594449,0,913.302212781055,131.824808183339,0,913.302212781055,57.6244530566321,137.412196044922,-90.0326837158203,0,0,8.86417198181152,1.87465333938599,205.6145,121.5611
"SSD",2009,"Both",0.014180296298653,0.130059464649715,0.0163504356665811,0.0163961013455436,0.205102303324359,0.170903504011666,0.00796474996091483,0.0316328432178517,0.357105591035435,0.026852297659034,0.0234524128302463,5,9,4454,16.1026617358679,4454,16.1026617358679,57.6381063501585,0,878.893376106265,127.665716078363,0,878.893376106265,58.7738586616635,118.603189697266,44.9831787109375,0,0,119.765174865723,0,202.657,119.8126
"SSD",2010,"Both",0.0149441860153222,0.129326262146825,0.0167525539485001,0.0178772132944647,0.205356003684223,0.167497378758637,0.00897939743613163,0.0351094477375011,0.349827825656632,0.0288398639081539,0.0254898674136099,5,9,4336,15.2825562569079,4336,15.2825562569079,55.7603728408717,0,844.484539431476,123.506623973388,0,844.484539431476,59.0802461383901,102.368756713867,168.108748779297,0,0,12.6085147857666,0,197.288,116.6384
"SSD",2011,"Both",0.0154563169300694,0.129462987879228,0.0172533366231835,0.0190954311197845,0.204757193620354,0.163922598597601,0.00992957864684953,0.0385188201146249,0.343405032262652,0.030784192869655,0.0274145113359982,5,9,4234,14.5978319353691,4234,14.5978319353691,50.7786641343581,0,738.802710084193,112.472371643076,0,738.802710084193,58.9022385228279,88.3564996337891,41.3333258056641,0,0,94.7482452392578,0,192.647,113.8946
"SSD",2012,"Both",0.0156200704657895,0.130488534769782,0.0179348263888626,0.0199590718980648,0.203315553974956,0.159733396036228,0.0107553357364587,0.0420097425502193,0.337923433158562,0.0331718078854835,0.0290882271355933,5,9,4158,14.0849904940364,4158,14.0849904940364,37.5680889970345,0,658.44486717267,83.2115641407873,0,658.44486717267,58.3914209115282,76.2622399902344,38.2660754394531,0,0,23.5344657897949,4.16600561141968,189.189,111.8502
"SSD",2013,"Both",0.0153622255157341,0.132777136526861,0.0186902881760806,0.0200516159815598,0.20162514945806,0.155772870326539,0.0112750722175886,0.0448566044161946,0.334363579197751,0.0351385836194399,0.0300868745641907,5,9,4164,13.81965502979,4164,13.81965502979,57.1047709100425,0,818.617777270171,126.484402964805,0,818.617777270171,58.88647810926,65.8234454345703,-42.3954025268555,0,0,86.2420806884766,8.82722187042236,189.462,112.0116
"SSD",2014,"Both",0.0149605428394715,0.135563303584204,0.0192825343289002,0.0195961102916197,0.200494994204393,0.152675659038463,0.0115071199995997,0.0464368085667834,0.332915368689686,0.0360671626185362,0.030500395838342,5,9,4250,13.7466452530557,4250,13.7466452530557,53.9419343227616,0,766.812177111241,119.478867507068,0,766.812177111241,60.8099238645314,56.8135162353516,-25.0418753051758,0,0,130.529220581055,0,193.375,114.325
"SSD",2015,"Both",0.014655745331125,0.138040014868121,0.019562472365801,0.0189979470646685,0.200377038967018,0.150724531265051,0.0116249777254711,0.0470906311266252,0.332248657142869,0.036107009534686,0.0305709746085636,5,9,4344,13.7431887849999,4344,13.7431887849999,51.7704512972272,0,731.530520549144,114.669133930432,0,731.530520549144,61.4991948470209,49.0368707275391,-22.2578326416016,0,0,86.6418151855469,0,197.652,116.8536
"SSD",2016,"Both",0.0145882822091812,0.139631971578331,0.0193775100408614,0.0185362143689395,0.201577845161981,0.150490191997198,0.0116908892218184,0.0469702783277924,0.33149396103308,0.0352255486474066,0.0304173074134104,5,9,4493,13.7431887849999,4493,13.7431887849999,48.8264972996202,0,686.297932494408,108.148413195406,0,686.297932494408,63.0813489332416,42.3246920776367,-13.5769618225098,0,0,67.3143310546875,0,204.4315,120.8617
"SSD",2017,"Both",0.0147491783216758,0.139837612517064,0.0189123620070291,0.0185025871330531,0.203507188506907,0.150670206242578,0.0117242661482408,0.0464667983175129,0.330720937647491,0.0345034041873321,0.0304054589711164,5,9,4626,13.7431887849999,4626,13.7431887849999,51.0477229181461,0,719.890646147692,113.068324294447,0,719.890646147692,64.3407229596159,36.531279296875,5.37228168487549,0,0,95.9432373046875,0,210.483,124.4394
