"ISO3","Year","Sex","Diarrhoeal","LRI","Malaria","OtherCMPN","TB","Measles","OtherNCD","Congenital","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","HIV","epi_colvio","epi_natdis","minCD","OCDresid"
"CHN",2000,"Both",477.240871157497,2396.47062701732,0,2994.27137150692,285.574385981075,54.801988350111,4120.54298058059,2851.93054231256,893.49708034098,5472.49470251798,7999.44674290715,14058.3687578142,0,6603.82537266146,61.9723897152581,5,9,48281,2.38778782039856,48281,2.38778782039856,10.5622939292132,0,0,2196.7855,2994.27137150692
"CHN",2001,"Both",419.415658418089,2106.10064362735,0,2627.66865910567,250.972572472878,48.1618683888809,3621.27460510377,2506.37445042282,785.235902652143,4809.41618281602,7030.18837116657,12354.977004677,0,5803.6684076013,54.4634632258677,5,9,42431,2.24154731213671,42431,2.24154731213671,13.0823041743033,0,0,1930.6105,2627.66865910567
"CHN",2002,"Both",378.621700644493,1901.25330662727,0,2367.58774792505,226.562028139829,43.4774623923003,3269.05570158363,2262.59496474266,708.860880374908,4341.63412284851,6346.40558481215,11153.2850790024,0,5239.18160507083,49.1661402136088,5,9,38304,2.10627919791964,38304,2.10627919791964,16.3137603466474,0,0,1742.832,2367.58774792505
"CHN",2003,"Both",344.035304170102,1727.57731143385,0,2146.90948144602,205.866003273986,39.5058761112158,2970.43347153347,2055.9110732004,644.107741788029,3945.03382533788,5766.67309887706,10134.4529859722,0,4760.59199468698,44.6749036689289,5,9,34805,1.97954053102302,34805,1.97954053102302,19.2270054847492,0,0,1583.6275,2146.90948144602
"CHN",2004,"Both",314.154001928866,1577.5280020684,0,1957.50105350453,187.985442208126,36.0745799329597,2712.43547169306,1877.34422434866,588.16354689002,3602.38658344745,5265.80676421522,9254.22165781258,0,4347.10917325504,40.7946498608217,5,9,31782,1.8627418231714,31782,1.8627418231714,20.4949191325602,0,0,1446.081,1957.50105350453
"CHN",2005,"Both",263.990290880203,1446.45386457443,0,1716.82630535043,198.546162962914,16.3580785766244,2636.50997972489,1597.80064630508,463.637010097504,3251.11224174499,4980.3608264923,8637.40243911743,0,4063.68171107767,18.8680801540613,5,9,29312,1.75454038491977,29312,1.75454038491977,20.4523134621255,0,0,1333.696,1716.82630535044
"CHN",2006,"Both",177.933327535633,1388.28472993895,0,1497.59270670615,183.258444528095,8.18188616991392,2684.14168905932,1426.98271713033,388.237902318128,2975.81515090167,4710.45136542617,8049.46733605861,0,3661.91276855487,91.8100417591632,5,9,27263,1.65684381011341,27263,1.65684381011341,18.930483779169,0,0,1240.4665,1497.59270670614
"CHN",2007,"Both",111.483949910384,1357.497037258,0,1341.12682983156,136.705908905249,4.01798493540264,2644.0805748161,1390.3145381175,308.643239631316,2687.28050340712,4534.38045801223,7449.87663805484,23.1541159971384,3275.46423216629,150.272986993659,5,9,25433,1.56723214768647,25433,1.56723214768647,18.7011788704666,0,0,1157.2015,1341.12682983156
"CHN",2008,"Both",62.3008131095813,1149.91890862532,0,1086.42211249704,70.8698399417714,6.66291002541874,2287.68088403018,1218.01710472816,228.491197029708,2224.20093234734,3692.76736852034,5929.68999459682,0,2495.13478469008,7513.65241378385,5,9,23907,1.48651108936399,27985,1.73984467634572,19.1907360744056,0,0,1087.7685,928.107659665593
"CHN",2009,"Both",67.4953752830624,1252.4934772253,0,1158.97310618214,47.3427950665356,6.62619865313173,2553.6102039218,1387.79485583305,249.481946706772,2516.82084512711,4078.44469118118,6558.38823032379,0,2693.89698086679,33.2321962714195,5,9,22624,1.41134124874687,22624,1.41134124874687,19.3995582694556,0,0,1029.392,1158.97310618214
"CHN",2010,"Both",65.3308060951532,1121.15185633302,0,990.451235024544,35.6310745002703,3.48522424756084,2588.33176158369,1251.61155462265,244.541271403431,2489.99417126178,3785.24224758149,6210.38257479668,0,2506.73974147066,87.662122771144,5,9,21400,1.33901545293108,21400,1.33901545293108,19.444367961673,0,0,973.7,990.451235024543
"CHN",2011,"Both",50.9099064208568,969.304468855261,0,827.664473064443,43.129908470437,0.477238135499647,2588.61417621373,1231.45759128034,257.920059151948,2343.26297834515,3553.66940438748,5926.0209542513,0,2466.21385842561,64.6045656781644,5,9,20340,1.27143882256866,20340,1.27143882256866,16.7506681678669,0,0,925.47,827.664473064444
"CHN",2012,"Both",31.0026139761321,885.864867448806,0,742.755894201802,40.5373400598765,0.892507691358332,2693.10977096856,1171.97236321866,245.298097070307,2364.62739318609,3436.71297478677,5485.17443823815,0,2480.71811158581,18.9590544884559,5,9,19612,1.21234311275811,19612,1.21234311275811,14.3755373479867,0,0,892.346,742.755894201801
"CHN",2013,"Both",16.5699353503296,820.016893275083,0,771.233527326206,38.4725243006834,1.20360118597455,2733.25440064073,1123.74791532755,221.097561506554,2477.81110274792,3368.32333669066,4890.4574289322,0,2580.6099228398,16.4164295605151,5,9,19074,1.15856370613987,19074,1.15856370613987,14.7850054975639,0,0,867.867,771.233527326206
"CHN",2014,"Both",12.2403208526084,770.607786528766,0,817.396096027849,30.3216329449787,1.68574690855166,2724.82818407193,1109.29486428201,201.339131493121,2688.10561171174,3299.59555006027,4342.8678998351,0,2600.90848085005,60.9917006003671,5,9,18674,1.1108990676477,18674,1.1108990676477,13.8176515852836,0,0,849.667,817.396096027848
