"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","InterpVio","Maternal","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","SelfHarm","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","OCDresid"
"AFG",2000,"Female",94.4249919818226,187.426461787905,27.2957574633824,36.8098235586697,86.9713293850303,79.3201418962383,145.569957936308,46.797720410995,425.835186582994,22.1381800239762,180.4360502374,15,19,1717,8.65560857386439,1717,8.65560857386439,353.115238745656,0,3378.70276107424,0.0635248762057302,0,0,30.795635113417,0,81.3858,47.6524006335868
"AFG",2001,"Female",84.7624176563334,171.362589507143,25.1912639458573,34.3003678152089,78.4256507033579,73.4263184895659,133.761214386318,40.0608433876476,392.962260798747,20.5179965392422,166.744458383559,15,19,1572,8.03000178829438,1572,8.03000178829438,316.995308822556,0,3223.0126254786,0.0657883328448411,0,0,33.3362954830811,0.0872257485380779,74.5128,40.9311117610439
"AFG",2002,"Female",81.1844646645811,166.657332402364,24.7418948786775,34.031655368626,75.5044095784802,72.328234674873,130.652218613498,39.0178722274836,385.467148790253,20.2385005985607,163.999504396235,15,19,1530,7.57062770539349,1530,7.57062770539349,301.263243119819,0,3036.40629516836,0.0757990850284394,0,0,7.57180143824218,27.265920163278,72.522,39.9270001460937
"AFG",2003,"Female",86.7627292481374,179.662518371107,26.9462402098702,37.4760750919698,81.0495758133279,79.014185520968,141.350483770443,41.2861552579255,419.171304434987,22.1427724180355,178.885897262622,15,19,1620,7.20371503965228,1620,7.20371503965228,320.755961534854,0,3240.04626557348,0.0933681671849119,0,0,3.53465093205139,1.86808196651462,76.788,41.4243061602044
"AFG",2004,"Female",88.8251500146773,184.401762887839,27.9498337117265,39.3283125649466,83.263148676026,82.203071783219,145.461215962504,46.2261066153826,433.975809801282,23.0669001669761,185.861168627841,15,19,1668,6.95834979297841,1668,6.95834979297841,323.290762826557,0,2972.87383191542,0.119813692956186,0,0,3.74114426921654,0.285798398850839,79.0632,46.3379773456734
"AFG",2005,"Female",90.3465925618112,186.739185519812,28.6131881803742,40.7497944460728,84.8828473968095,84.3731892616838,147.506965760049,50.2761650279486,443.062498846004,23.7023310845141,190.624632696819,15,19,1715,6.88823668040005,1715,6.88823668040005,325.441871249744,0,2808.53117425062,0.14818405407226,0,0,7.99402295467257,10.5385309596128,81.291,50.8253920355954
"AFG",2006,"Female",95.8103197779444,195.72715395893,30.3260529777979,43.7220335705422,90.0782455184149,89.6281765970387,154.624278240841,59.8708679561637,468.105444064135,25.1936056905137,202.440011426915,15,19,1828,6.92750466367176,1828,6.92750466367176,339.342718143656,0,2600.34880778098,0.200714182552302,0,0,26.4718464871158,6.45853140744189,86.6472,60.9691932146342
"AFG",2007,"Female",104.239018676589,209.36179550514,32.8088269938109,47.889625208511,97.9410155555085,97.1760486877216,165.281231002721,73.8176026307202,504.861955963337,27.3173963457217,219.472325231959,15,19,1971,7.11251243046286,1971,7.11251243046286,361.776063255093,0,2407.60030046318,0.283786205994226,0,0,25.2589470330989,3.51436170407597,93.4254,74.9111807801126
"AFG",2008,"Female",113.639132960037,223.495446985378,35.4264482491405,52.3770483400064,106.535216663088,105.202706189335,176.322387741155,81.3215657492215,544.207391932701,29.5702207505657,237.491532207278,15,19,2125,7.57339301190208,2125,7.57339301190208,394.36674425052,0,2575.9813274249,0.359722005853126,0,0,24.0451418146457,0.63929416107706,100.725,82.2773159315114
"AFG",2009,"Female",133.283800757788,256.471040652367,41.1318541245175,61.6499909038185,124.413865163163,122.649804264759,202.558893205166,98.5144820492413,633.179761424897,34.4646241739775,276.333990463393,15,19,2500,8.35522130034046,2500,8.35522130034046,457.059695321433,0,2920.41782905584,0.506332733409573,0,0,55.2122035226918,2.56966123937875,118.5,100.845293698185
"AFG",2010,"Female",159.892183914948,301.564599877067,48.9679119032303,74.4845340826048,148.360257920435,146.808910195461,239.005218091643,136.099388874323,757.640319095734,41.2561781312951,329.715964462487,15,19,2983,9.4728347635419,2983,9.4728347635419,524.479162074205,0,2886.1866660553,0.788927791380545,0,0,62.2969880172728,11.6394555679066,141.3942,139.558476169028
"AFG",2011,"Female",194.026068886202,358.792980166737,59.052665253256,91.274651070012,178.53612038335,178.264299426055,286.105676069086,223.966073503672,921.266620748252,50.1077897847857,398.573077911892,15,19,3579,10.8489523228171,3579,10.8489523228171,566.845130284726,0,3070.33610230918,1.06774871579901,0,0,68.4481283022973,2.67296949387413,169.6446,228.506912415378
"AFG",2012,"Female",239.701353702629,434.28195668477,72.5625268706806,114.113862465445,218.19352170419,220.820705332864,349.308444077324,369.978423493303,1144.07711378114,62.090902655007,491.047430206048,15,19,4392,12.5312704030121,4392,12.5312704030121,590.549749159264,0,3198.18131072738,1.33624759234647,0,0,73.1193875834924,10.8183746914939,208.1808,377.187038235706
"AFG",2013,"Female",285.106630949185,506.254367123075,85.9907117960786,137.687577509255,256.523101282748,263.854647453369,411.295979322259,526.397146007374,1369.92819560407,74.2320448318805,583.573028574377,15,19,5182,14.1539057149293,5182,14.1539057149293,597.022362032654,0,3216.50076408604,1.5618461374039,0,0,78.4725525184171,4.09980885785001,245.6268,534.92081933854
