"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI","OCDresid","LRIresid"
"AFG",2000,"Both",420.359785057368,43.3744115896852,57.1068817632853,161.085775357217,7.23721704212158,97.7808045101283,369.854760396882,563.636049581844,97.4744816029626,59.5228224475765,10,14,2067,4.05786775303374,2067,4.05786775303374,120.109372041282,0,1248.12762909104,0.0312098292178793,0,1248.12762909104,0.0691537570294568,0,0,69.3884848526163,0,68.6244,40.7199,583.214356571087,166.681206600275
"AFG",2001,"Both",381.440913515966,39.8985028027107,55.4780181824515,154.849751706455,6.64048456905087,100.255500631829,384.454617876989,545.058371830808,90.6578064598716,57.9113255315671,10,14,2009,3.95015999415782,2009,3.95015999415782,114.717989750112,0,1190.6140880798,0.0308301163776535,0,1190.6140880798,0.0797022343007978,0,0,77.1327779275106,0.4242369803743,66.6988,39.5773,566.945168695141,161.06773722002
"AFG",2002,"Both",344.114675716831,37.2280554943141,55.5559395484115,154.63818294391,8.60178494108449,103.624613493205,401.65686318196,536.376143191517,87.0285531253293,57.0327165100012,10,14,2040,3.85844260192136,2040,3.85844260192136,105.045806978808,0,1121.67978604328,0.0288345806857041,0,1121.67978604328,0.0926645017718742,0,0,17.8900765070365,131.113923865821,67.728,40.188,578.64074399229,166.823141491456
"AFG",2003,"Both",376.549963200198,42.5017329959327,68.596631086223,187.325681590326,9.83612864526056,128.365060663952,500.530941867281,644.191674187618,103.421793990633,68.1615767293982,10,14,2256,3.82050408558365,2256,3.82050408558365,120.414246962772,0,1196.90649032108,0.0277789628367922,0,1196.90649032108,0.129735620016473,0,0,0,5.97483246038844,74.8992,44.4432,645.902293864757,187.82311583203
"AFG",2004,"Both",373.031395377141,44.0417625912426,77.3293022787926,213.028228955239,4.14846274012109,141.186519852698,552.696694818328,707.922814939432,112.863601952077,73.3184163324833,10,14,2418,3.83482579500638,2418,3.83482579500638,111.595379630751,0,1098.21023919715,0.0240223528191728,0,1098.21023919715,0.16493302913024,0,0,5.81505087269565,0.857436629867117,80.2776,47.6346,709.881738441522,213.617708479704
"AFG",2005,"Both",368.832148258756,44.5542913346509,83.90603778021,231.776967490781,2.23926385423656,146.996752683659,575.840027645147,758.050508131621,119.423833540047,76.0469736467196,10,14,2561,3.90911809191408,2561,3.90911809191408,104.469223425649,0,1037.50036733956,0.021584184430689,0,1037.50036733956,0.203039403051455,0,0,12.9312318958561,35.7297009096141,85.0252,50.4517,772.733018673695,236.266203672392
"AFG",2006,"Both",389.839381055597,46.6756664992896,92.1704051037118,261.099773939689,2.46097513861275,153.341809545522,598.361450466839,845.727748987837,128.832896173167,80.580686372512,10,14,2770,4.02830456774095,2770,4.02830456774095,96.7372753312307,0,960.595655130513,0.0186246969294248,0,960.595655130513,0.235731730378979,0,0,53.2884771415765,20.6477225140357,91.964,54.569,868.920781621364,268.260110803221
"AFG",2007,"Both",429.915948118254,50.0609768718241,102.183400771355,298.178647230115,3.37657396277334,160.247417556994,620.418862580794,964.26540804535,141.248525278465,86.5214062437616,10,14,2984,4.15396800994439,2984,4.15396800994439,91.5531239395113,0,889.392369591152,0.0161189782618467,0,889.392369591152,0.258525852021328,0,0,23.6311219633432,12.1400615854355,99.0688,58.7848,975.964945987745,301.796481456847
"AFG",2008,"Both",470.541935075564,52.1185904592646,107.999814980723,320.549950667377,2.50825191918559,159.836790645331,612.044122076351,1061.34786679471,148.259232870479,89.4891577996413,10,14,3160,4.24841809110044,3160,4.24841809110044,97.6866025657591,0,951.594056696305,0.0162381375928696,0,951.594056696305,0.274930203033758,0,0,35.891691543657,1.45106239892215,104.912,62.252,1074.04015067801,324.383294192093
"AFG",2009,"Both",486.267578659039,51.2339450873032,107.065791795582,319.711876907533,2.06881356096765,150.985909548872,570.859182448045,1088.5363294371,146.980090313912,87.0277552837513,10,14,3289,4.24883248881436,3289,4.24883248881436,105.436731595359,0,1078.83245100133,0.0175597688499386,0,1078.83245100133,0.552317264203731,0,0,165.252836761966,7.02084133637282,109.1948,64.7933,1148.70399828181,337.383605278275
