"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"BGD",2012,"Both",0.0533423209301935,0.0172521904006262,0.0868276479897056,0.0792172123211701,0.000349397618431465,0.0804032960453991,0.376493954644685,0.183495279571057,0.0798165905370014,0.042802109941731,10,14,10476,3.11520241676966,10476,3.11520241676966,170.440228285831,0,3978.70642639555,417.236385318351,0,3978.70642639555,0.385090332248673,0,0,0,17.2565097808838,347.8032,206.3772
"BGD",2013,"Both",0.0524261113191616,0.0166378127180626,0.0849037222719417,0.078499683360667,0.000341018896018041,0.0827187267604984,0.381606031061056,0.182484501392514,0.0782212174022029,0.0421611748178785,10,14,9822,2.90011633442955,9822,2.90011633442955,160.00286533276,0,3721.02190074587,391.685800021725,0,3721.02190074587,0.429733986699335,0,0,12.3474216461182,4.31313371658325,326.0904,193.4934
"BGD",2014,"Both",0.0532069114078053,0.016322567393062,0.0841035058974171,0.0792413092159194,0.000790096093167624,0.0832601690989488,0.377266036214601,0.186157992332342,0.0778589046721891,0.041792507674548,10,14,9347,2.74747836940659,9347,2.74747836940659,157.775803776179,0,3665.39193660793,386.233970233096,0,3665.39193660793,0.421529719491296,0,0,5.85846900939941,4.055832862854,310.3204,184.1359
"BGD",2015,"Both",0.0549585676342284,0.0161785440315807,0.0839610704888144,0.0806093421198545,0.000545471022592531,0.0831374710902897,0.369095219681511,0.191803223893559,0.0781586964982259,0.041552393539344,10,14,9033,2.65643517989866,9033,2.65643517989866,147.378307632466,0,3415.953473927,360.780978583218,0,3415.953473927,0.424702618834924,0,0,7.98208856582642,11.9725437164307,299.8956,177.9501
"BGD",2016,"Both",0.0558355058800327,0.0159553776551773,0.0836839592352372,0.0812450468597055,0.000384612398392233,0.0839574540552663,0.364777355791852,0.19475889709126,0.0782183291794835,0.0411834618535931,10,14,8765,2.59357831100471,8765,2.59357831100471,137.316476886556,0,3181.1577307208,336.149693279686,0,3181.1577307208,0.864611590628853,0,0,4.66955327987671,11.670205116272,290.998,172.6705
"BGD",2017,"Both",0.0552863746252476,0.0155129411911075,0.0822451426252998,0.0804207251582113,0.000393286592836448,0.0863400215121324,0.368871594337839,0.193455180902059,0.0768144631926972,0.0406602698625689,10,14,8502,2.54075142331678,8502,2.54075142331678,122.699085508056,0,2854.10836700386,300.366430121184,0,2854.10836700386,0.880488815244408,0,0,2.16195750236511,20.1559524536133,282.2664,167.4894
"BGD",2018,"Both",0.0523171539350689,0.014726534981393,0.079085601906381,0.077465943889754,0.00012998715308059,0.091018566784445,0.3862181264155,0.185547624680027,0.0736269529863834,0.0398635072679671,10,14,8164,2.4730934487075,8164,2.4730934487075,104.362713492871,0,2474.57387798099,255.47913058861,0,2474.57387798099,0.883549783549784,0,0,3.47953963279724,3.90557909011841,271.0448,160.8308
"BGD",2019,"Both",0.0462374684980519,0.0135054948851164,0.0742345419246384,0.071665689724041,0.000270095219136648,0.0984056237989234,0.420057858833701,0.168321173415577,0.0688255004175823,0.0384765532832319,10,14,7685,2.36970422328686,7685,2.36970422328686,86.026018280445,0,2146.05483414969,210.591039871646,0,2146.05483414969,0.864503065414253,0,0,6.12529516220093,8.56534767150879,255.142,151.3945
"BGD",2020,"Both",0.03924699886854,0.0119920882226227,0.0679630055454332,0.0640415840938277,8.42707897987494e-05,0.105468822331232,0.465543917702931,0.146746458875228,0.0623056488584011,0.0366072047119858,10,14,7082,2.2278277584401,7082,2.2278277584401,86.026018280445,0,2146.05483414969,210.591039871646,0,2146.05483414969,0.826322851642261,0,0,4.85547304153442,7.89797639846802,235.1224,139.5154
"BGD",2021,"Both",0.0339978524254459,0.0107289973961091,0.0622472983098563,0.0576744693870412,8.88572951839346e-05,0.110522741975196,0.503660722694319,0.129896296851198,0.0563595766925762,0.034823186973074,10,14,6501,2.08796810855316,6501,2.08796810855316,86.026018280445,0,2146.05483414969,210.591039871646,0,2146.05483414969,0.392619881628216,0,0,5.89510154724121,0.95146507024765,215.8332,128.0697
