"ISO3","Year","Sex","Diarrhoeal","Digestive","Drowning","LRI","Malaria","Neoplasms","OtherInj","OtherCMPN","OtherNCD","RTI","AgeLow","AgeUp","Deaths1","Rate1","Deaths2","Rate2","TB","TBlo","TBup","TBre","TBreLo","TBreUp","HIV","epi_colvio","epi_natdis","CollectVio","NatDis","minCD","minLRI"
"AND",2010,"Both",0.00215383091143867,0.016389073066656,0.0416090596206203,0.0238692710122381,0,0.203083452329115,0.199541882546108,0.0312837541502822,0.328382685827984,0.153686990535557,10,14,0,0.6110872200078,0,0.6110872200078,0,0,0.0312113577234467,0,0,0.0312113577234467,0,0,0,0,0,0,0
"AND",2011,"Both",0.00219004366753599,0.0166378503587375,0.0412576568664106,0.024231211397205,0,0.204886079146407,0.199673674416499,0.0310417290521163,0.331642912204544,0.148438842890545,10,14,0,0.584808255299607,0,0.584808255299607,0,0,0.0133762959797129,0,0,0.0133762959797129,0,0,0,0,0,0,0
"AND",2012,"Both",0.00220314086906457,0.0168156633956106,0.0408435514813849,0.0245021132972632,0,0.206704949053436,0.199680662621931,0.030736536098199,0.334872021571999,0.143641361611111,10,14,0,0.563753643174181,0,0.563753643174181,0,0,0.0401288884763322,0,0,0.0401288884763322,0,0,0,0,0,0,0
"AND",2013,"Both",0.00218852729227137,0.0169151095158244,0.0403412112753627,0.0246558114745263,0,0.20856141580771,0.199634892683754,0.030355747902313,0.338108241065728,0.13923904298251,10,14,0,0.540824925073236,0,0.540824925073236,0,0,0.0222938268761534,0,0,0.0222938268761534,0,0,0,0,0,0,0
"AND",2014,"Both",0.00214560111175214,0.0169237482319005,0.0397300415810642,0.0246669005692956,0,0.210477680705,0.199313174044408,0.0298886454999927,0.341453772112781,0.135400436143806,10,14,0,0.519338593562124,0,0.519338593562124,0,0,0.0267525922929164,0,0,0.0267525922929164,0,0,0,0,0,0,0
"AND",2015,"Both",0.00208940445842606,0.016869632826939,0.0390641743655818,0.0245915639121528,0,0.212301305173318,0.198936695206603,0.0293722981584506,0.344715273383216,0.132059652515313,10,14,0,0.496992949292063,0,0.496992949292063,0,0,0.01783506143033,0,0,0.01783506143033,0,0,0,0,0,0,0
"AND",2016,"Both",0.00203359350110957,0.016817317335291,0.0383097303579494,0.0244449778452419,0,0.214095416151502,0.198352052377099,0.0288260641672612,0.348173513344751,0.128947334919796,10,14,0,0.477408129991197,0,0.477408129991197,0,0,0.0178350614290032,0,0,0.0178350614290032,0,0,0,0,0,0,0
"AND",2017,"Both",0.00198259492178699,0.01678283906008,0.0374650022297303,0.0242321164536438,0,0.215835177939737,0.197542600578118,0.0282532498664108,0.351857287373417,0.126049131577076,10,14,0,0.45975978363888,0,0.45975978363888,0,0,0.00445876500622682,0,0,0.00445876500622682,0,0,0,0,0,0,0
"AND",2018,"Both",0.00194597193305924,0.0167933373155869,0.0366015658250934,0.0240218468238349,0,0.217481102917286,0.196495033214517,0.0276990030888234,0.355698177173489,0.12326396170831,10,14,0,0.444155362420484,0,0.444155362420484,0,0,0.00891753049890244,0,0,0.00891753049890244,0,0,0,0,0,0,0
"AND",2019,"Both",0.00191680694233087,0.0168258931563665,0.0357276172574865,0.023801533475404,0,0.219087516063275,0.195101410239333,0.0271552700354092,0.359722649880979,0.120661302949417,10,14,0,0.431594233690324,0,0.431594233690324,0,0,0.02229382686574,0,0,0.02229382686574,0,0,0,0,0,0,0
