"ISO3","Year","Sex","Deaths","Rate","Diarrhoeal","HIV","LRI","Malaria","OtherCMPN","TB","Measles","OtherNCD","Congenital","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis"
"AFG",2000,"Both",3835,5.83811,0.14387,5e-05,0.051,0.00346,0.09702,0.11925,0.00044,0.1017,0.01053,0.05613,0.02935,0.03262,0.03496,0.04515,0.27446,0
"AFG",2001,"Both",3711,5.67277,0.13933,5e-05,0.05198,0.00326,0.09528,0.1175,0,0.09957,0.01112,0.05397,0.03085,0.03352,0.03682,0.05179,0.27483,0.00012
"AFG",2002,"Both",3736,5.52269,0.13446,5e-05,0.05541,0.00432,0.0965,0.11095,0,0.09974,0.01196,0.05193,0.03249,0.03434,0.03964,0.01244,0.27717,0.0386
"AFG",2003,"Both",4085,5.45354,0.13564,0.00011,0.06023,0.00436,0.10077,0.11354,0,0.1061,0.0136,0.05243,0.03563,0.03653,0.04514,0,0.29259,0.00333
"AFG",2004,"Both",4321,5.46419,0.13003,0.00011,0.06732,0.00171,0.10734,0.09943,0,0.10857,0.0148,0.05049,0.03694,0.03668,0.04921,0.00346,0.2935,0.00042
"AFG",2005,"Both",4500,5.55347,0.12315,1e-04,0.07092,0.00087,0.10898,0.0891,0.00233,0.10794,0.01563,0.04791,0.03705,0.03583,0.05169,0.00737,0.28539,0.01573
"AFG",2006,"Both",4777,5.69651,0.1191,1e-04,0.0765,0.00088,0.11515,0.07713,0.00295,0.10639,0.01639,0.04619,0.03694,0.03508,0.05332,0.02853,0.27576,0.00959
"AFG",2007,"Both",5049,5.83547,0.12111,0.00016,0.08509,0.00112,0.1266,0.06949,0.00112,0.10828,0.01772,0.04669,0.03803,0.0356,0.05635,0.01199,0.27501,0.00565
"AFG",2008,"Both",5264,5.94299,0.12206,0.00016,0.08795,0.00079,0.13094,0.0711,0.00111,0.10632,0.01858,0.04655,0.03813,0.03536,0.0572,0.01723,0.26606,0.00047
"AFG",2009,"Both",5403,5.93414,0.11552,0.00015,0.08271,0.00061,0.12379,0.07328,0.00449,0.09752,0.0181,0.04365,0.03583,0.03286,0.05393,0.07442,0.24096,0.00218
"AFG",2010,"Both",5335,5.72587,0.11495,0.00015,0.08451,0.00068,0.12662,0.07242,0.00454,0.09337,0.01853,0.04306,0.03565,0.03218,0.05333,0.08311,0.22928,0.00761
"AFG",2011,"Both",5148,5.40543,0.11564,0.00021,0.0837,0.00092,0.12626,0.07945,0.00804,0.09031,0.01897,0.04305,0.03586,0.03203,0.05302,0.09093,0.21976,0.00185
"AFG",2012,"Both",4872,4.98836,0.11482,0.00021,0.08113,0.00044,0.12349,0.08617,0.01214,0.08699,0.01901,0.04269,0.03564,0.03157,0.05204,0.09756,0.20852,0.00758
"AFG",2013,"Both",4387,4.41841,0.1159,0.00022,0.07888,0.00071,0.12152,0.09555,0.00022,0.08714,0.01927,0.04326,0.03602,0.03201,0.05248,0.1109,0.20211,0.00383
"AFG",2014,"Both",3949,3.93284,0.1045,2e-04,0.06559,0.00069,0.10284,0.09936,0.01039,0.08026,0.01742,0.03935,0.03261,0.02944,0.04809,0.17904,0.17659,0.01362
"AFG",2015,"Both",3523,3.45664,0.09489,0.00024,0.05765,0.00077,0.09061,0.09559,0.00687,0.07504,0.01611,0.03595,0.03004,0.02759,0.04517,0.25564,0.15679,0.01106
"AFG",2016,"Both",3177,3.08314,0.09215,0.00024,0.05672,0.00174,0.08797,0.09156,0.00454,0.07701,0.01613,0.03517,0.03,0.02815,0.04648,0.27855,0.15155,0.00204
"AFG",2017,"Both",2968,2.84309,0.12308,0.00035,0.07717,0.0026,0.11507,0.12204,0.01274,0.11116,0.02235,0.04735,0.04159,0.04017,0.06717,0,0.20838,0.00879
"AFG",2018,"Both",2857,2.67338,0.11893,0.00036,0.07269,0.00202,0.10152,0.12781,0.02317,0.11727,0.02233,0.04609,0.0417,0.04165,0.07059,0,0.21301,0.00085
"AFG",2019,"Both",2696,2.45369,0.1055,0.00034,0.06713,0.00116,0.08405,0.11269,0.00108,0.11678,0.02015,0.04146,0.03852,0.03997,0.06844,0.09391,0.20798,0.00085
"AFG",2020,"Both",2683,2.37343,0.09152,0.00032,0.0573,0.00063,0.06087,0.10565,0.02627,0.1128,0.01753,0.03645,0.03458,0.03739,0.06423,0.15286,0.20082,0.00077
"AFG",2021,"Both",2721,2.33849,0.0854,0.00039,0.05257,0.00057,0.04507,0.10417,0.06717,0.11159,0.01627,0.0342,0.03308,0.03663,0.06242,0.1474,0.20233,0.00075
"AGO",2000,"Both",17156,34.28054,0.11595,0.00283,0.08779,0.13108,0.41847,0.01821,0.1537,0.01302,0.00815,0.0161,0.00234,0.00696,0.00389,0.01554,0.00558,0.00041
"AGO",2001,"Both",15502,30.15324,0.12889,0.00379,0.0971,0.14614,0.45855,0.01931,0.06346,0.01582,0.00999,0.01826,0.00304,0.00828,0.00482,0.01537,0.00676,0.00043
"AGO",2002,"Both",15618,29.55551,0.12977,0.00459,0.09777,0.14758,0.45089,0.01716,0.07602,0.01764,0.0112,0.01886,0.00363,0.00892,0.00546,0.00299,0.00748,5e-05
"AGO",2003,"Both",14976,27.54731,0.13595,0.00566,0.10029,0.15279,0.45624,0.01707,0.04785,0.02058,0.01305,0.02027,0.00457,0.01004,0.00647,0.00039,0.00868,9e-05
"AGO",2004,"Both",13993,24.98665,0.14561,0.00708,0.09922,0.16447,0.46359,0.02186,7e-05,0.02459,0.01518,0.02239,0.0059,0.0116,0.00769,0.00011,0.0104,0.00023
"AGO",2005,"Both",13675,23.66084,0.14936,0.0084,0.09395,0.1651,0.44739,0.02468,0.00082,0.02848,0.01666,0.02398,0.00736,0.01291,0.00871,6e-05,0.01215,0
"AGO",2006,"Both",13340,22.3147,0.15358,0.00999,0.09686,0.1568,0.43468,0.01938,0.00221,0.03362,0.01829,0.02616,0.00927,0.01458,0.00995,6e-05,0.01458,0
"AGO",2007,"Both",12927,20.85146,0.15639,0.01169,0.08458,0.14566,0.42121,0.03189,0.00043,0.0402,0.02016,0.0288,0.01178,0.01673,0.01152,6e-05,0.01797,0.00094
"AGO",2008,"Both",12535,19.45019,0.15905,0.01354,0.08856,0.12202,0.41421,0.02842,0.00083,0.04835,0.02224,0.03195,0.015,0.01962,0.01344,5e-05,0.02265,6e-05
"AGO",2009,"Both",12265,18.27483,0.15672,0.01528,0.07825,0.103,0.39943,0.03966,0.00938,0.05556,0.02379,0.03416,0.01833,0.02279,0.01522,3e-05,0.02782,0.00059
"AGO",2010,"Both",11797,16.85691,0.15405,0.01748,0.08414,0.09591,0.38942,0.03474,0.00049,0.06247,0.02535,0.03585,0.02202,0.0268,0.01718,8e-05,0.03377,0.00025
"AGO",2011,"Both",11522,15.78269,0.14867,0.01933,0.07954,0.08986,0.37383,0.04026,0.00466,0.06616,0.02635,0.03605,0.02539,0.03076,0.01867,3e-05,0.03912,0.00133
"AGO",2012,"Both",11148,14.6439,0.14461,0.02135,0.08638,0.08778,0.3637,0.03554,0.00076,0.0675,0.0277,0.03555,0.02912,0.03522,0.02016,4e-05,0.0446,0
"AGO",2013,"Both",10864,13.69527,0.13935,0.0229,0.09013,0.09031,0.35088,0.03356,0.00171,0.06616,0.02884,0.034,0.03247,0.03926,0.02127,4e-05,0.04902,1e-04
"AGO",2014,"Both",10682,12.93333,0.13431,0.0241,0.08688,0.09668,0.33854,0.03971,0.00374,0.06245,0.02982,0.03184,0.03523,0.04268,0.02189,0,0.05211,0
"AGO",2015,"Both",10491,12.22057,0.12977,0.02532,0.09128,0.10565,0.32921,0.0381,1e-04,0.05865,0.03089,0.02948,0.03758,0.04624,0.0226,1e-05,0.05426,0.00087
"AGO",2016,"Both",10387,11.6604,0.12493,0.02634,0.08908,0.11657,0.31775,0.04108,0,0.05679,0.03125,0.02717,0.03897,0.05033,0.02349,0.00018,0.05497,0.00109
"AGO",2017,"Both",10310,11.17081,0.12284,0.0271,0.0836,0.11568,0.31026,0.04804,0.00045,0.05754,0.03151,0.02568,0.04043,0.05595,0.02486,1e-04,0.05588,1e-04
"AGO",2018,"Both",10246,10.73041,0.12102,0.0276,0.08318,0.11337,0.30262,0.04665,0.0014,0.06077,0.03117,0.02473,0.0416,0.06247,0.02644,0.00027,0.05662,1e-04
"AGO",2019,"Both",10148,10.29381,0.12061,0.02718,0.08249,0.10989,0.29554,0.04314,0.00019,0.06707,0.03011,0.02465,0.04281,0.06992,0.028,8e-05,0.05797,0.00037
"AGO",2020,"Both",10029,9.87132,0.12029,0.0265,0.07803,0.10607,0.28743,0.04365,0.00073,0.07293,0.02904,0.02489,0.04436,0.07633,0.02907,0.00019,0.06011,0.00036
"AGO",2021,"Both",9930,9.50152,0.12001,0.02598,0.07366,0.10223,0.27957,0.04409,0.00205,0.07863,0.02804,0.02535,0.04595,0.08174,0.02982,0.00019,0.06245,0.00022
"ALB",2000,"Both",138,2.15198,0.0221,2e-05,0.07309,0,0.04484,0.0154,0.03046,0.16903,0.07145,0.02347,0.1673,0.16618,0.06982,0,0.14683,0
"ALB",2001,"Both",128,2.07499,0.02202,2e-05,0.07331,0,0.04242,0.01416,0.03221,0.17213,0.07258,0.02375,0.17022,0.16283,0.06885,0,0.14549,0
"ALB",2002,"Both",119,1.99984,0.02061,3e-05,0.07183,0,0.04382,0.01519,0.02843,0.17661,0.07412,0.02387,0.17479,0.15807,0.0678,0,0.14481,0
"ALB",2003,"Both",110,1.92641,0.01866,5e-05,0.06954,0,0.0554,0.01615,0.01472,0.18182,0.07586,0.02388,0.18026,0.15259,0.06665,0,0.14441,0
"ALB",2004,"Both",101,1.85324,0.01682,0.00013,0.06635,0,0.04965,0.0244,0.01176,0.18711,0.0776,0.02386,0.18584,0.14705,0.06544,0,0.14397,0
"ALB",2005,"Both",91,1.77939,0.01555,0.00017,0.06577,0,0.0621,0.01238,0.00875,0.19184,0.07916,0.0239,0.1908,0.1421,0.06421,0,0.14327,0
"ALB",2006,"Both",83,1.707,0.01487,0.00018,0.06474,0,0.03594,0.0098,0.03596,0.19588,0.0805,0.02404,0.19491,0.13791,0.06298,0,0.14228,0
"ALB",2007,"Both",75,1.63606,0.01457,0.00031,0.06338,0,0.04667,0.01974,0.01435,0.19951,0.08171,0.02426,0.19844,0.13423,0.06178,0,0.14105,0
"ALB",2008,"Both",68,1.56641,0.01444,4e-04,0.06283,0,0.05741,0.02189,0,0.20287,0.08284,0.02451,0.20167,0.13088,0.06059,0,0.13967,0
"ALB",2009,"Both",61,1.49882,0.0143,5e-04,0.06393,0,0.06861,0.00759,0,0.20627,0.08398,0.02475,0.20493,0.12767,0.05943,0,0.13803,0
"ALB",2010,"Both",55,1.43375,0.01401,0.00064,0.06276,0,0.06059,0.01477,0,0.2098,0.08515,0.02496,0.20835,0.12435,0.05828,0,0.13634,0
"ALB",2011,"Both",50,1.37021,0.01355,0.00071,0.062,0,0.05787,0.01614,0,0.21346,0.08635,0.02511,0.21195,0.12098,0.05715,0,0.13474,0
"ALB",2012,"Both",46,1.30834,0.01295,0.00075,0.06094,0,0.05509,0.01746,0,0.2174,0.08762,0.0252,0.21578,0.11762,0.05605,0,0.13314,0
"ALB",2013,"Both",42,1.2491,0.01224,0.00077,0.05947,0,0.05182,0.01905,0,0.22161,0.08898,0.02521,0.21985,0.11427,0.055,0,0.13172,0
"ALB",2014,"Both",39,1.19081,0.01146,0.00077,0.05759,0,0.04839,0.02047,0,0.22621,0.09049,0.02515,0.2243,0.11103,0.05402,0,0.13011,0
"ALB",2015,"Both",37,1.13549,0.01077,0.00074,0.05572,0,0.04534,0.02146,0,0.23092,0.09204,0.02507,0.2288,0.10788,0.05309,0,0.12816,0
"ALB",2016,"Both",34,1.08161,0.01026,0.00066,0.05416,0,0.04298,0.02223,0,0.23531,0.09349,0.02505,0.23294,0.10481,0.05219,0,0.12593,0
"ALB",2017,"Both",33,1.03064,0.00997,0.00051,0.05338,0,0.04176,0.0223,0,0.23909,0.09471,0.02512,0.23641,0.10183,0.05132,0,0.1236,0
"ALB",2018,"Both",32,0.98132,0.00991,0.00052,0.05329,0,0.04074,0.02249,0,0.24219,0.09566,0.02531,0.23903,0.09895,0.05047,0,0.12145,0
"ALB",2019,"Both",30,0.93412,0.00997,0.00053,0.05347,0,0.0394,0.02327,0,0.24485,0.09646,0.02554,0.24115,0.09619,0.04965,0,0.11954,0
"ALB",2020,"Both",29,0.889,0.01006,0.00051,0.05379,0,0.03845,0.02356,0,0.24735,0.0972,0.02578,0.24302,0.0935,0.04892,0,0.11787,0
"ALB",2021,"Both",27,0.84613,0.01016,5e-04,0.054,0,0.03695,0.02443,0,0.24986,0.09794,0.026,0.24484,0.0909,0.04823,0,0.1162,0
"AND",2000,"Both",1,0.83931,0.00746,0,0.03442,0,0.04991,0.00899,0,0.20337,0.084,0.02047,0.21453,0.17128,0.05324,0,0.15234,0
"AND",2001,"Both",1,0.80134,0.00729,0,0.03451,0,0.05027,0.00749,0,0.20683,0.08525,0.02055,0.2178,0.16671,0.0529,0,0.15038,0
"AND",2002,"Both",1,0.76733,0.00709,0,0.03473,0,0.05258,0.00375,0,0.21038,0.08655,0.02061,0.22122,0.16212,0.05255,0,0.14843,0
"AND",2003,"Both",1,0.7343,0.00681,0,0.03385,0,0.04734,0.00824,0,0.21415,0.08794,0.02061,0.22498,0.15739,0.05219,0,0.1465,0
"AND",2004,"Both",1,0.70682,0.00653,0,0.03369,0,0.04874,0.00524,0,0.21794,0.08936,0.02058,0.22882,0.1527,0.05183,0,0.14456,0
"AND",2005,"Both",1,0.67682,0.00623,0,0.03292,0,0.04539,0.00747,0,0.22175,0.0908,0.02052,0.23275,0.14809,0.05148,0,0.14259,0
"AND",2006,"Both",1,0.64521,0.00596,0,0.03224,0,0.04309,0.00856,0,0.2255,0.09224,0.02046,0.23661,0.14362,0.05113,0,0.14058,0
"AND",2007,"Both",1,0.61488,0.00573,0,0.03241,0,0.04608,0.00375,0,0.22907,0.0936,0.02043,0.24024,0.1394,0.05079,0,0.13851,0
"AND",2008,"Both",0,0.58704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2009,"Both",0,0.56094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2010,"Both",0,0.5356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2011,"Both",0,0.50993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2012,"Both",0,0.48947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2013,"Both",0,0.46729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2014,"Both",0,0.4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2015,"Both",0,0.42521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2016,"Both",0,0.40655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2017,"Both",0,0.38981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2018,"Both",0,0.37508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2019,"Both",0,0.36327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2020,"Both",0,0.35213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND",2021,"Both",0,0.34207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",2000,"Both",58,1.27654,0.00708,0.00299,0.03524,0,0.09545,0,0,0.21345,0.08333,0.01551,0.18548,0.12774,0.09509,0,0.13863,0
"ARE",2001,"Both",59,1.25119,0.00706,0.00246,0.03521,0,0.0937,0,0,0.21704,0.08458,0.01568,0.18852,0.12517,0.09335,0,0.13724,0
"ARE",2002,"Both",60,1.22647,0.00703,0.00284,0.03512,0,0.09105,0,0,0.22079,0.08582,0.01585,0.19151,0.12263,0.09159,0,0.13577,0
"ARE",2003,"Both",61,1.20235,0.00701,0.0034,0.03497,0,0.08835,0,0,0.22472,0.08707,0.01599,0.19441,0.11997,0.08995,0,0.13416,0
"ARE",2004,"Both",62,1.17933,0.00696,0.00402,0.03495,0,0.08591,0,0,0.22825,0.08828,0.01612,0.19718,0.1173,0.0886,0,0.13243,0
"ARE",2005,"Both",62,1.15731,0.00693,0.0051,0.03498,0,0.08342,0,0,0.2318,0.0894,0.01625,0.19955,0.11454,0.08748,0,0.13056,0
"ARE",2006,"Both",63,1.1375,0.00693,0.00628,0.03502,0,0.08113,0,0,0.23544,0.09044,0.01636,0.20159,0.1117,0.08654,0,0.12857,0
"ARE",2007,"Both",66,1.11797,0.00695,0.00716,0.03514,0,0.07936,0,0,0.239,0.09136,0.0165,0.20333,0.10896,0.08568,0,0.12657,0
"ARE",2008,"Both",69,1.09682,0.007,0.00887,0.03519,0,0.07676,0,0,0.2429,0.09222,0.01664,0.20485,0.10629,0.08472,0,0.12457,0
"ARE",2009,"Both",72,1.07316,0.00704,0.01016,0.03529,0,0.07451,0,0,0.24678,0.09302,0.01681,0.20631,0.1038,0.08369,0,0.12258,0
"ARE",2010,"Both",73,1.04869,0.00702,0.0109,0.03541,0,0.07262,0,0,0.25032,0.0939,0.01697,0.2081,0.10145,0.08271,0,0.12062,0
"ARE",2011,"Both",71,1.02499,0.00691,0.01138,0.03542,0,0.07072,0,0,0.25385,0.09494,0.01706,0.21028,0.09909,0.08178,0,0.11858,0
"ARE",2012,"Both",70,1.00316,0.00675,0.01074,0.03532,0,0.06975,0,0,0.25743,0.09609,0.01712,0.21275,0.09672,0.08091,0,0.11643,0
"ARE",2013,"Both",71,0.98336,0.00657,0.01019,0.03532,0,0.06882,0,0,0.26063,0.09725,0.01716,0.21535,0.09436,0.0801,0,0.11424,0
"ARE",2014,"Both",75,0.96572,0.0064,0.01136,0.03522,0,0.06609,0,0,0.26401,0.09846,0.01719,0.21796,0.09197,0.07923,0,0.11211,0
"ARE",2015,"Both",80,0.94832,0.00631,0.01033,0.03512,0,0.06566,0,0,0.26755,0.09959,0.01724,0.22033,0.08958,0.07821,0,0.11008,0
"ARE",2016,"Both",85,0.92986,0.00626,0.00891,0.0351,0,0.06572,0,0,0.27081,0.10065,0.01732,0.22259,0.08726,0.0771,0,0.10828,0
"ARE",2017,"Both",87,0.90975,0.0062,0.00821,0.03478,0,0.06466,0,0,0.27451,0.10175,0.01738,0.2249,0.08495,0.07587,0,0.1068,0
"ARE",2018,"Both",88,0.88901,0.00619,0.00726,0.0346,0,0.06408,0,0,0.27794,0.10276,0.01747,0.22702,0.08272,0.07455,0,0.10542,0
"ARE",2019,"Both",87,0.86793,0.00617,0.00671,0.03453,0,0.0632,0,0,0.28092,0.10372,0.01759,0.22917,0.0806,0.07322,0,0.10418,0
"ARE",2020,"Both",85,0.84719,0.00618,0.00678,0.03457,0,0.06188,0,0,0.28386,0.10454,0.01773,0.23098,0.07853,0.07199,0,0.10295,0
"ARE",2021,"Both",83,0.82634,0.00625,0.00652,0.03489,0,0.06131,0,0,0.2865,0.10522,0.01794,0.23245,0.07653,0.07082,0,0.10155,0
"ARG",2000,"Both",927,1.30485,0.00574,0.01379,0.02986,0,0.061,0.00688,0,0.24762,0.06834,0.02298,0.18506,0.12118,0.03629,0,0.20009,0.00115
