"ISO3","Year","Sex","Deaths","Rate","Diarrhoeal","HIV","LRI","Malaria","OtherCMPN","TB","Measles","OtherNCD","Congenital","Digestive","Neoplasms","RTI","Drowning","CollectVio","OtherInj","NatDis"
"AFG",2000,"Both",3835.48235154069,5.83811443247176,0.143868899916747,5.03008225619956e-05,0.0509983454856202,0.00345889387190407,0.0970220727566732,0.119253442991246,0.000438105331181533,0.101696330534526,0.0105316366494478,0.056131712040578,0.0293516975673456,0.0326180449851985,0.0349646992120277,0.0451528062790774,0.274463011555868,0
"AFG",2001,"Both",3711,5.67277383242026,0.139332307885049,5.17796929707701e-05,0.0519835384241207,0.00325961039786882,0.0952778570088973,0.117500500141569,0,0.0995681226768564,0.0111240912915542,0.053971105742671,0.0308483167687219,0.0335205617344425,0.0368193250294815,0.0517942996867273,0.274829061500601,0.000119522018468901
"AFG",2002,"Both",3736,5.52268775896966,0.13445799837678,5.13503364340669e-05,0.0554078662779395,0.00431661415347923,0.0965041561540543,0.110945566938007,0,0.0997444993440602,0.0119592212463479,0.0519302170166539,0.0324935405359596,0.0343372661250998,0.0396394853894802,0.0124420295615372,0.277166435407262,0.0386037531369063
"AFG",2003,"Both",4085,5.45353902301265,0.135636098963476,0.000106996032100441,0.0602284010195283,0.00435699795264825,0.100774739605419,0.113538027840272,0,0.106100005486856,0.0135985123018328,0.0524327486863412,0.0356331959279322,0.036533315911645,0.0451421701657726,0,0.292586829121789,0.00333196098438796
"AFG",2004,"Both",4321,5.46418822158313,0.13002784489295,0.000106492053123949,0.0673235144419528,0.00171374246445172,0.107336425639652,0.0994328506853481,0,0.10857139895581,0.0147988060375205,0.0504865574253506,0.0369351740381166,0.0366822181181078,0.0492100265970824,0.003457786250967,0.293501613571953,0.000415548827612944
"AFG",2005,"Both",4500.02257346211,5.5534737189718,0.12315224570172,0.000104337235679774,0.0709249540342232,0.000869330762743741,0.10897882071867,0.089103463699487,0.00232507046402528,0.107944209884336,0.0156299358328966,0.047910649559049,0.0370527784056288,0.0358338684011432,0.0516853120196614,0.00736809722935964,0.285390066467433,0.0157268595839443
"AFG",2006,"Both",4776.93941967626,5.6965085822073,0.119095977423353,0.000103209641992156,0.076498582063887,0.000876106558564927,0.115147374723811,0.0771314428202771,0.00295235746872919,0.106392065895937,0.0163878979200417,0.0461900287455229,0.0369446561648957,0.0350788067053137,0.0533222492782512,0.028529322903657,0.275758019051235,0.00959190263453079
"AFG",2007,"Both",5049.40886385426,5.83547269571339,0.121108493509009,0.000159737509331462,0.0850911862718056,0.00112499352866944,0.126598032811631,0.0694854148742283,0.00111631406916892,0.108277430009377,0.0177217086414607,0.0466865090868599,0.0380299038452745,0.0355986581581117,0.0563472497745439,0.0119890689227643,0.275014531243971,0.00565076774379466
"AFG",2008,"Both",5264.41031982436,5.94298738015019,0.122060086432335,0.000161350987686728,0.087950092186846,0.000789115661536539,0.130941984242992,0.0710962189122405,0.00110865310137061,0.106316623081488,0.018579765890923,0.0465523967026832,0.0381274439506856,0.03535569846298,0.0572041088447778,0.0172345893014323,0.266056829324601,0.000465042915418981
"AFG",2009,"Both",5402.84889734299,5.93413945043438,0.115519187598752,0.000153124169495298,0.0827090498011556,0.000610858897166395,0.123792489941177,0.0732760905718617,0.00449256418551157,0.0975170586376992,0.0180995623638406,0.0436506590702346,0.0358339512050411,0.032856075505066,0.0539255678544456,0.0744208806041742,0.240958539790667,0.00218433980371321
"AFG",2010,"Both",5335.23608394528,5.72586683155566,0.114951272336951,0.000153501352220799,0.0845148055466556,0.000677393798581097,0.126615340946226,0.0724174714983871,0.00454003456554174,0.0933740517232351,0.0185349641466179,0.0430573637945944,0.0356527326049495,0.0321833375190771,0.053329295490384,0.0831114529500691,0.229279666447479,0.00760731527903019
"AFG",2011,"Both",5148.3608921103,5.4054309824124,0.115640429152534,0.000208157318051469,0.0836975273938423,0.000916657061385378,0.126260624143883,0.0794474657307035,0.00803723800791145,0.0903054170932216,0.0189739217072308,0.0430527323311998,0.0358637402869418,0.0320252130487139,0.0530242632043341,0.090928085562384,0.219764996459685,0.00185353149797873
"AFG",2012,"Both",4871.80085512671,4.98835895811971,0.114818186956078,0.00021010914970683,0.0811314760590377,0.000439612248361797,0.123491477272488,0.0861656203251017,0.0121419591623343,0.0869867834598647,0.0190149349721008,0.0426867469714468,0.0356399818193113,0.0315691962577275,0.0520383525545469,0.097563592727553,0.208519263555308,0.00758270650903274
"AFG",2013,"Both",4386.70143271692,4.41841169965009,0.115899672184455,0.000217299762247462,0.0788760355305864,0.000709481819043113,0.121517738797338,0.0955472778062994,0.000219917668630277,0.0871378896622327,0.0192665539556955,0.0432585102821935,0.0360223537300833,0.0320093566646381,0.0524792670697919,0.11090453377246,0.202107184960502,0.00382692633380363
"AFG",2014,"Both",3948.84111194214,3.93283717855095,0.104495547454603,0.000202298210116067,0.065589931575172,0.000694885683108958,0.102841337374077,0.0993632106775772,0.0103928507749034,0.0802552622260423,0.0174191297476613,0.0393468173546322,0.0326124116272225,0.0294387988370912,0.0480943975783429,0.179039844396498,0.17659346093678,0.013619815546173
"AFG",2015,"Both",3522.84926984973,3.45664197500211,0.0948883695867243,0.000238798077019387,0.0576507188277434,0.000768999021416925,0.0906083633447802,0.0955866003844442,0.00686622364408199,0.0750411505553672,0.0161065120786917,0.035947981990188,0.0300374700402021,0.0275940257301594,0.0451684749281517,0.255639764286419,0.156791633664895,0.0110649138397175
