"ISO3","Year","AgeLow","AgeUp","Sex","Deaths1","Rate1","Deaths2","Rate2"
"AFG",2000,10,14,"B",2067,4.05786775303374,2067,4.05786775303374
"AFG",2001,10,14,"B",2009,3.95015999415782,2009,3.95015999415782
"AFG",2002,10,14,"B",2040,3.85844260192136,2040,3.85844260192136
"AFG",2003,10,14,"B",2256,3.82050408558365,2256,3.82050408558365
"AFG",2004,10,14,"B",2418,3.83482579500638,2418,3.83482579500638
"AFG",2005,10,14,"B",2561,3.90911809191408,2561,3.90911809191408
"AFG",2006,10,14,"B",2770,4.02830456774095,2770,4.02830456774095
"AFG",2007,10,14,"B",2984,4.15396800994439,2984,4.15396800994439
"AFG",2008,10,14,"B",3160,4.24841809110044,3160,4.24841809110044
"AFG",2009,10,14,"B",3289,4.24883248881436,3289,4.24883248881436
"AFG",2010,10,14,"B",3304,4.12220336348357,3304,4.12220336348357
"AFG",2011,10,14,"B",3223,3.89584184278691,3223,3.89584184278691
"AFG",2012,10,14,"B",3079,3.59940927609637,3079,3.59940927609637
"AFG",2013,10,14,"B",2857,3.24409473215281,2857,3.24409473215281
"AFG",2014,10,14,"B",2598,2.87403522266783,2598,2.87403522266783
"AFG",2015,10,14,"B",2363,2.54905685153994,2363,2.54905685153994
"AFG",2016,10,14,"B",2172,2.293503248185,2172,2.293503248185
"AFG",2017,10,14,"B",2050,2.11498639925334,2050,2.11498639925334
"AFG",2018,10,14,"B",1958,1.98783984155126,1958,1.98783984155126
"AFG",2019,10,14,"B",1879,1.88482907883614,1879,1.88482907883614
"AFG",2020,10,14,"B",1823,1.80404189040317,1823,1.80404189040317
"AFG",2021,10,14,"B",1777,1.73431505120414,1777,1.73431505120414
"AGO",2000,10,14,"B",6183,14.725837137282,6183,14.725837137282
"AGO",2001,10,14,"B",6234,14.3795209179609,6234,14.3795209179609
"AGO",2002,10,14,"B",6253,13.9892984094024,6253,13.9892984094024
"AGO",2003,10,14,"B",6235,13.5492908437433,6235,13.5492908437433
"AGO",2004,10,14,"B",6178,13.0500496904685,6178,13.0500496904685
"AGO",2005,10,14,"B",6093,12.5119744938019,6093,12.5119744938019
"AGO",2006,10,14,"B",5990,11.9570211185488,5990,11.9570211185488
"AGO",2007,10,14,"B",5868,11.3769674577416,5868,11.3769674577416
"AGO",2008,10,14,"B",5738,10.7941147407858,5738,10.7941147407858
"AGO",2009,10,14,"B",5612,10.233634751191,5612,10.233634751191
"AGO",2010,10,14,"B",5496,9.69544698206759,5496,9.69544698206759
"AGO",2011,10,14,"B",5402,9.19735760904561,5402,9.19735760904561
"AGO",2012,10,14,"B",5318,8.71800202885342,5318,8.71800202885342
"AGO",2013,10,14,"B",5260,8.28190278067531,5260,8.28190278067531
"AGO",2014,10,14,"B",5245,7.91845957143833,5245,7.91845957143833
"AGO",2015,10,14,"B",5260,7.60630478438507,5260,7.60630478438507
"AGO",2016,10,14,"B",5298,7.33767276836728,5298,7.33767276836728
"AGO",2017,10,14,"B",5352,7.10259343992037,5352,7.10259343992037
"AGO",2018,10,14,"B",5409,6.88345904205268,5409,6.88345904205268
"AGO",2019,10,14,"B",5464,6.67518014328949,5464,6.67518014328949
"AGO",2020,10,14,"B",5501,6.4625255709414,5501,6.4625255709414
"AGO",2021,10,14,"B",5540,6.27045257567738,5540,6.27045257567738
