"year","group","csnd3","csdf3","csnd4","csdf4","csnd7","csdf7","csnd9","csdf9","csnd10","csdf10","csnd11","csdf11","csnd12","csdf12","csnd14","csdf14","csnd15","csdf15","csnd16","csdf16","csnd17","csdf17","csnd18","csdf18","csnd19","csdf19","csnd21","csdf21","csnd22","csdf22","csnd23","csdf23","csnd24","csdf24","csnd25","csdf25","csnd26","csdf26","csnd27","csdf27","csnd28","csdf28","dtot_igme","pop_wpp"
2000,"Both 5-9",470.400692146271,0.00988465175032616,54.0165245871758,0.00113506324123591,1358.38375670649,0.028544070199132,2362.12258795649,0.0496358945965767,281.481316759251,0.00591483991593122,0,0,1603.38234806433,0.0336922891438007,2811.05450545996,0.0590694174170494,5394.0587477088,0.113346755504608,1035.29127654992,0.0217548441141844,413.906013839878,0.00869751442223787,880.690800860524,0.018506184220314,2612.28693534806,0.0548926629126072,7884.7925902158,0.165685191750526,13856.8735282123,0.291178077459335,61.0841543083079,0.00128357717767358,723.641827546991,0.015206073410809,0,0,0,0,615.802138550207,0.0129400100558996,5169.73036044091,0.108632884919643,47589,99803025
2000,"Both 10-14",175.100091199856,0.00369674642570317,12.7047552426811,0.000268225208856165,824.898129235953,0.0174154061824083,1096.25693261996,0.0231443848460913,409.076447399333,0.00863649975508451,0,0,1169.00566323474,0.0246802698820829,2851.52293450385,0.0602018944919109,6888.06253114343,0.145422086119652,1423.04525184631,0.0300436019897461,494.505599409342,0.0104400962591171,543.870147773996,0.0114822899922729,2937.64991045743,0.0620202235877514,6499.74792310596,0.137223914265633,13939.051050365,0.294283896684647,191.002384578809,0.00403247866779566,749.53579011187,0.0158243421465158,0,0,0,0,2245.78316624463,0.0474134013056755,4915.17983028293,0.103770211338997,47366,131415406
2000,"Male 15-19",59.0454981108196,0.001515191514045,0,0,304.910185814835,0.00782442931085825,529.558935890906,0.0135892359539866,336.836991161108,0.00864371657371521,0,0,520.179956168868,0.0133485579863191,1038.25021713972,0.0266429781913757,4903.06200359762,0.1258195489645,1845.22920834646,0.0473512075841427,245.282443766948,0.00629429658874869,575.807533931918,0.0147760407999158,2489.74054694921,0.0638902857899666,11462.9123225212,0.294154644012451,4720.77475721389,0.12114179879427,175.452548908535,0.00450236210599542,1263.87850744277,0.032432921230793,59.1394191061845,0.00151760166045278,0,0,2716.81096435338,0.0697172358632088,5722.12748323381,0.146837934851646,38969,52908190
2000,"Female 15-19_(4)",71.6464145060163,0.00256310286931694,17.0391737656319,0.000609565118793398,514.287414347753,0.0183982905000448,365.479582402855,0.0130747891962528,666.003734158352,0.023825841024518,408.10042852629,0.0145995216444135,656.897716367617,0.0235000792890787,1511.84908082336,0.0540853962302208,4939.58989280462,0.176710546016693,1464.49624714255,0.05239138007164,301.081367651001,0.0107709858566523,362.476802069694,0.0129673667252064,3020.25198283046,0.108047507703304,4637.1029894501,0.165889278054237,1730.51534345746,0.0619080364704132,103.036264980445,0.00368605391122401,614.022290995345,0.0219662394374609,0,0,0,0,3787.44694626331,0.135493397712708,2781.67652433366,0.0995126292109489,27953,49887010
2001,"Both 5-9",413.593598537147,0.00988465175032616,47.493316139793,0.00113506324123591,1194.34098527208,0.028544070199132,2076.86510170996,0.0496358945965767,247.488731762394,0.00591483991593122,0,0,1409.75276235491,0.0336922891438007,2471.58256356418,0.0590694174170494,4742.65494382381,0.113346755504608,910.266187425703,0.0217548441141844,363.921398455277,0.00869751442223787,774.335760146379,0.018506184220314,2296.81880158931,0.0548926629126072,6932.59979322553,0.165685191750526,12183.4731170535,0.291178077459335,53.7074362682179,0.00128357717767358,636.252523655072,0.015206073410809,0,0,0,0,541.435900758952,0.0129400100558996,4545.41717080772,0.108632884919643,41842,93411202
2001,"Both 10-14",165.104088864755,0.00369674642570317,11.9794742779341,0.000268225208856165,777.806870918721,0.0174154061824083,1033.67451599613,0.0231443848460913,385.723352061585,0.00863649975508451,0,0,1102.27021347359,0.0246802698820829,2688.73701179773,0.0602018944919109,6494.84121027589,0.145422086119652,1341.80735206604,0.0300436019897461,466.275579124689,0.0104400962591171,512.82203563489,0.0114822899922729,2769.94722587615,0.0620202235877514,6128.69445893168,0.137223914265633,13143.3073937297,0.294283896684647,180.09856226109,0.00403247866779566,706.746768947691,0.0158243421465158,0,0,0,0,2117.57732911408,0.0474134013056755,4634.58517882228,0.103770211338997,44662,128981559
2001,"Male 15-19",58.8712510867044,0.001515191514045,0,0,304.010376444086,0.00782442931085825,527.996173756197,0.0135892359539866,335.842963755131,0.00864371657371521,0,0,518.644872000441,0.0133485579863191,1035.18627464771,0.0266429781913757,4888.5927554667,0.1258195489645,1839.78381947428,0.0473512075841427,244.558599659242,0.00629429658874869,574.108289239928,0.0147760407999158,2482.39316408336,0.0638902857899666,11429.0845384598,0.294154644012451,4706.84345035255,0.12114179879427,174.934777266346,0.00450236210599542,1260.14872150123,0.032432921230793,58.9648949152324,0.00151760166045278,0,0,2708.79348222911,0.0697172358632088,5705.24112072587,0.146837934851646,38854,55634590
2001,"Female 15-19_(4)",71.5567059055902,0.00256310286931694,17.0178389864741,0.000609565118793398,513.643474180251,0.0183982905000448,365.021964780986,0.0130747891962528,665.169829722494,0.023825841024518,407.589445268735,0.0145995216444135,656.075213592499,0.0235000792890787,1509.9560919553,0.0540853962302208,4933.40502369404,0.176710546016693,1462.66254884005,0.05239138007164,300.704383146018,0.0107709858566523,362.022944234312,0.0129673667252064,3016.47032006085,0.108047507703304,4631.2968647182,0.165889278054237,1728.348562181,0.0619080364704132,102.907253093552,0.00368605391122401,613.253472615033,0.0219662394374609,0,0,0,0,3782.70467734337,0.135493397712708,2778.19358231127,0.0995126292109489,27918,52402660
2002,"Both 5-9",372.710678897798,0.00988465175032616,42.7986945740413,0.00113506324123591,1076.28271092847,0.028544070199132,1871.57104165852,0.0496358945965767,223.024953870103,0.00591483991593122,0,0,1270.40145445615,0.0336922891438007,2227.27145312726,0.0590694174170494,4273.85276305676,0.113346755504608,820.288152169436,0.0217548441141844,327.948478804901,0.00869751442223787,697.794182211161,0.018506184220314,2069.78274778277,0.0548926629126072,6247.32584014535,0.165685191750526,10979.1605886817,0.291178077459335,48.3985610613599,0.00128357717767358,573.360204027966,0.015206073410809,0,0,0,0,487.916019167751,0.0129400100558996,4096.11155878007,0.108632884919643,37706,89581925
2002,"Both 10-14",151.296740964754,0.00369674642570317,10.9776531228563,0.000268225208856165,712.760328827426,0.0174154061824083,947.230238595977,0.0231443848460913,353.466025476344,0.00863649975508451,0,0,1010.08940546401,0.0246802698820829,2463.88293587044,0.0602018944919109,5951.68971861899,0.145422086119652,1229.59449863434,0.0300436019897461,427.281819596887,0.0104400962591171,469.935682513751,0.0114822899922729,2538.3016907759,0.0620202235877514,5616.16313914955,0.137223914265633,12044.1570396125,0.294283896684647,165.037254436873,0.00403247866779566,647.642851030454,0.0158243421465158,0,0,0,0,1940.48827523738,0.0474134013056755,4247.00343947113,0.103770211338997,40927,123068141
