"ISO3","Year","AgeLow","AgeUp","Sex","Deaths1","Rate1","Deaths2","Rate2"
"AFG",2000,5,9,"B",3835,5.83738022925215,3835,5.83738022925215
"AFG",2001,5,9,"B",3711,5.67277383242026,3711,5.67277383242026
"AFG",2002,5,9,"B",3736,5.52268775896966,3736,5.52268775896966
"AFG",2003,5,9,"B",4085,5.45353902301265,4085,5.45353902301265
"AFG",2004,5,9,"B",4321,5.46418822158313,4321,5.46418822158313
"AFG",2005,5,9,"B",4493,5.54480716752129,4493,5.54480716752129
"AFG",2006,5,9,"B",4767,5.68465580692303,4767,5.68465580692303
"AFG",2007,5,9,"B",5049,5.83500018221287,5049,5.83500018221287
"AFG",2008,5,9,"B",5265,5.94365306949225,5265,5.94365306949225
"AFG",2009,5,9,"B",5386,5.91563371238412,5386,5.91563371238412
"AFG",2010,5,9,"B",5320,5.70951520506108,5320,5.70951520506108
"AFG",2011,5,9,"B",5118,5.37355409765124,5118,5.37355409765124
"AFG",2012,5,9,"B",4826,4.94146231501895,4826,4.94146231501895
"AFG",2013,5,9,"B",4402,4.43382085609901,4402,4.43382085609901
"AFG",2014,5,9,"B",3926,3.91008863747296,3926,3.91008863747296
"AFG",2015,5,9,"B",3519,3.4528650470905,3519,3.4528650470905
"AFG",2016,5,9,"B",3187,3.09299063668006,3187,3.09299063668006
"AFG",2017,5,9,"B",2972,2.84667596450408,2972,2.84667596450408
"AFG",2018,5,9,"B",2842,2.65964760964575,2842,2.65964760964575
"AFG",2019,5,9,"B",2751,2.50334329425171,2751,2.50334329425171
"AFG",2020,5,9,"B",2678,2.36938761705203,2678,2.36938761705203
"AFG",2021,5,9,"B",2619,2.25105022953458,2619,2.25105022953458
"AGO",2000,5,9,"B",14879,29.7313201810022,14879,29.7313201810022
"AGO",2001,5,9,"B",14795,28.7788968825067,14795,28.7788968825067
"AGO",2002,5,9,"B",14647,27.7172720601132,14647,27.7172720601132
"AGO",2003,5,9,"B",14426,26.5350444544272,14426,26.5350444544272
"AGO",2004,5,9,"B",14120,25.2129617764351,14120,25.2129617764351
"AGO",2005,5,9,"B",13762,23.811348299788,13762,23.811348299788
"AGO",2006,5,9,"B",13386,22.3915211695601,13386,22.3915211695601
"AGO",2007,5,9,"B",12979,20.9359351522773,12979,20.9359351522773
"AGO",2008,5,9,"B",12569,19.5031996694491,12569,19.5031996694491
"AGO",2009,5,9,"B",12184,18.1542898247161,12184,18.1542898247161
"AGO",2010,5,9,"B",11818,16.8862025992566,11818,16.8862025992566
"AGO",2011,5,9,"B",11489,15.7368264901775,11489,15.7368264901775
"AGO",2012,5,9,"B",11155,14.6531530513578,11155,14.6531530513578
"AGO",2013,5,9,"B",10857,13.686829183165,10857,13.686829183165
"AGO",2014,5,9,"B",10651,12.8960302751134,10651,12.8960302751134
"AGO",2015,5,9,"B",10497,12.2275729337133,10497,12.2275729337133
"AGO",2016,5,9,"B",10387,11.660400469399,10387,11.660400469399
"AGO",2017,5,9,"B",10310,11.1702981651805,10310,11.1702981651805
"AGO",2018,5,9,"B",10235,10.718748366365,10235,10.718748366365
"AGO",2019,5,9,"B",10149,10.2943803839311,10149,10.2943803839311
"AGO",2020,5,9,"B",10024,9.86600176868366,10024,9.86600176868366
"AGO",2021,5,9,"B",9911,9.48340003564138,9911,9.48340003564138
"AIA",2000,5,9,"B",0,0.899478026243844,0,0.899478026243844
"AIA",2001,5,9,"B",0,0.865240933312349,0,0.865240933312349
"AIA",2002,5,9,"B",0,0.83383144558477,0,0.83383144558477
"AIA",2003,5,9,"B",0,0.802812275968891,0,0.802812275968891
"AIA",2004,5,9,"B",0,0.773062220555728,0,0.773062220555728
"AIA",2005,5,9,"B",0,0.744531035500375,0,0.744531035500375
"AIA",2006,5,9,"B",0,0.718695674178902,0,0.718695674178902
