"ISO3","Year","AgeLow","AgeUp","Sex","Deaths1","Rate1","Deaths2","Rate2"
"AFG",2000,15,19,"M",2007,9.71625933225831,2007,9.71625933225831
"AFG",2001,15,19,"M",1849,9.08036954131556,1849,9.08036954131556
"AFG",2002,15,19,"M",1776,8.44160334320732,1776,8.44160334320732
"AFG",2003,15,19,"M",1852,7.91183058485493,1852,7.91183058485493
"AFG",2004,15,19,"M",1860,7.4504237568574,1860,7.4504237568574
"AFG",2005,15,19,"M",1841,7.09071488123447,1841,7.09071488123447
"AFG",2006,15,19,"M",1916,6.97030045032793,1916,6.97030045032793
"AFG",2007,15,19,"M",2038,7.06177546360241,2038,7.06177546360241
"AFG",2008,15,19,"M",2143,7.29206318117468,2143,7.29206318117468
"AFG",2009,15,19,"M",2378,7.60394907548009,2378,7.60394907548009
"AFG",2010,15,19,"M",2610,7.93407120831394,2610,7.93407120831394
"AFG",2011,15,19,"M",2855,8.28299825510471,2855,8.28299825510471
"AFG",2012,15,19,"M",3125,8.55272973992114,3125,8.55272973992114
"AFG",2013,15,19,"M",3450,9.04004740215697,3450,9.04004740215697
"AFG",2014,15,19,"M",3759,9.48025176160635,3759,9.48025176160635
"AFG",2015,15,19,"M",4015,9.72792474661756,4015,9.72792474661756
"AFG",2016,15,19,"M",4196,9.92306503571147,4196,9.92306503571147
"AFG",2017,15,19,"M",4360,10.0169838160233,4360,10.0169838160233
"AFG",2018,15,19,"M",4469,9.98113635348644,4469,9.98113635348644
"AFG",2019,15,19,"M",4572,9.9457065468622,4572,9.9457065468622
"AFG",2020,15,19,"M",4641,9.84925777047871,4641,9.84925777047871
"AFG",2021,15,19,"M",4699,9.7024741818213,4699,9.7024741818213
"AGO",2000,15,19,"M",4161,24.2633847840492,4161,24.2633847840492
"AGO",2001,15,19,"M",4304,24.0913965151121,4304,24.0913965151121
"AGO",2002,15,19,"M",4466,24.0123095040564,4466,24.0123095040564
"AGO",2003,15,19,"M",4622,23.8945992359323,4622,23.8945992359323
"AGO",2004,15,19,"M",4729,23.5545306163695,4729,23.5545306163695
"AGO",2005,15,19,"M",4828,23.2156258222626,4828,23.2156258222626
"AGO",2006,15,19,"M",4910,22.8446990080805,4910,22.8446990080805
"AGO",2007,15,19,"M",4933,22.2354961401985,4933,22.2354961401985
"AGO",2008,15,19,"M",4956,21.6738452602964,4956,21.6738452602964
"AGO",2009,15,19,"M",4966,21.0926070887487,4966,21.0926070887487
"AGO",2010,15,19,"M",4953,20.4295785142455,4953,20.4295785142455
"AGO",2011,15,19,"M",4958,19.8530672273719,4958,19.8530672273719
"AGO",2012,15,19,"M",4955,19.2442533651071,4955,19.2442533651071
"AGO",2013,15,19,"M",4952,18.6459143427093,4952,18.6459143427093
"AGO",2014,15,19,"M",4984,18.1766185042386,4984,18.1766185042386
"AGO",2015,15,19,"M",5016,17.6930028023633,5016,17.6930028023633
"AGO",2016,15,19,"M",5104,17.3722861473283,5104,17.3722861473283
"AGO",2017,15,19,"M",5197,17.0206219795993,5197,17.0206219795993
"AGO",2018,15,19,"M",5310,16.7003751214143,5310,16.7003751214143
"AGO",2019,15,19,"M",5444,16.4177476623148,5444,16.4177476623148
"AGO",2020,15,19,"M",5568,16.0857109800623,5568,16.0857109800623
"AGO",2021,15,19,"M",5709,15.8127622628462,5709,15.8127622628462
"AIA",2000,15,19,"M",0,4.24106857016035,0,4.24106857016035
"AIA",2001,15,19,"M",0,4.14910855615533,0,4.14910855615533
