"iso3","year","cardio","colvio","congen","dia","digest","drown","endo","hiv","intvio","lri","mal","maternal","mea","mening","natdis","neo","othercd","otherinj","otherncd","rta","selfharm","tb","sex","age_lb","post_source","post_source2","igmedeaths","total","check"
"ARG",2000,41.6082171191965,0,63.3551909007557,5.32254292195702,21.3052400951327,33.6425182582808,32.004292681114,12.7864445531807,14.0317821386789,27.6845083885426,0,0,0,13.8652484399954,1.06366703389479,171.551274781088,42.6784205100937,171.451555573952,155.93358531223,112.33392869521,0,6.38156311575624,3,5,"Observed","Observed",927,926.999938964844,1.00000011920929
"ARG",2000,55.7750538437451,0,58.6749770802004,4.39964561700251,15.3762924653964,59.3466150723233,18.6894177561744,12.1045228825142,33.6818544311058,18.7067176341434,0,2.19993801667797,0,11.0005206261375,2.30042443626323,158.221875616179,48.5224981248255,182.901039568451,147.043314070197,152.798546955825,44.9553054727688,3.30143949639605,3,10,"Observed","Observed",1030,1030,1
"ARG",2000,65.4563522620237,0,31.8766764058065,0,9.81160008311759,106.181173163783,17.4913746236635,3.26944143237853,315.762310590887,25.0839267251122,0,0,0,6.53304888730588,2.49364954718677,131.54084850493,48.0497649570138,344.487063201203,137.083586981198,279.618243510672,228.988425422395,3.27257356299304,1,15,"Observed","Observed",1757,1757.00012207031,0.999999940395355
"ARG",2000,44.8300084010296,0,26.1731786288003,1.3066773199971,17.0052638666982,17.2259382862239,15.7205982937907,6.5333865999855,39.1115967937083,18.309279603716,0,38.146135566562,0,0,1.43549485718532,85.4577115423584,36.620461252471,128.066494242157,125.147414114377,103.725109984985,92.0385338974199,9.14674123997971,2,15,"Observed","Observed",806,806,1
"ARG",2001,36.9160575793385,0,66.1880988279777,3.00686056431845,27.846019378168,39.4726641408446,26.9793666416511,7.00288958604839,16.6180779587489,26.0541954175301,0,0,0,18.0357798464949,0,155.824156955722,57.9677452157682,166.351371857998,158.472157235987,98.2841995939262,0,2.98034679123371,3,5,"Observed","Observed",908,907.999938964844,1.00000011920929
"ARG",2001,47.6444443712253,0,48.5823772962516,1.04748835355139,18.973513208475,71.59497498274,16.9068816650698,2.11501519411678,40.7141573075502,17.8717926228809,0,1.04236269827832,0,9.5036117969958,2.1787480002731,157.458780537324,48.7752850597133,187.148109597152,153.146181532622,137.240049045127,57.9864100957398,1.06978656431423,3,10,"Observed","Observed",1021,1020.99987792969,1.00000011920929
"ARG",2001,57.1835410736228,0,26.6440078018481,0,9.55068556833988,126.151733292136,7.42438052134963,2.12341263750686,374.138820463072,27.5796069170411,0,0,0,4.24800147070321,1.15360379424953,151.444493161894,33.9573055580749,326.117948854222,114.366723398228,251.999370412253,237.739714976598,3.17660890024442,1,15,"Observed","Observed",1755,1755,1
"ARG",2001,56.9547863602638,0,23.8616904616356,1.12046181131154,11.1589515432715,18.7108594179153,8.94337340444326,4.45991633087397,44.1552430987358,23.4588063061237,0,30.1044343113899,0,4.45991633087397,0,99.542253613472,25.7072728872299,97.8664507269859,99.0461565256119,113.856417775154,118.521968007088,10.0710387825966,2,15,"Observed","Observed",792,792.000061035156,0.999999940395355
"ARG",2002,30.4787693370983,0,62.9855322453906,1.04982089128906,18.9371943630301,50.1603182269811,38.6969165769632,12.5328793770859,20.5912828148094,37.5894914315933,0,0,0,10.4256874905787,3.14228094634507,147.296962550406,55.4779944766559,141.242762826453,170.861042210641,83.2702421690353,0,5.26084379928227,3,5,"Observed","Observed",890,890,1
"ARG",2002,46.8970582918865,0,41.4907189033362,1.04095672868087,15.7999973321768,65.1219106142062,26.2858197632205,6.35083338268979,56.3110753438519,33.6277804744889,0,4.24821828574062,0,13.6055994984013,3.22223060003078,154.470874157091,51.6694875553895,153.516629347062,175.465940416966,98.7330965495352,64.9522837730949,3.18946612779532,3,10,"Observed","Observed",1016,1015.99993896484,1.00000011920929
"ARG",2002,53.9932711422443,0,29.2549594603479,0,13.8298837188631,107.580320522189,13.8623418621719,1.06485942599829,416.774200379848,26.5764464233071,0,0,0,5.30564800975844,8.32210144679993,109.58119815588,39.4298630990088,290.666211605072,150.918832674623,216.334411740303,247.296641439199,3.20887016016059,1,15,"Observed","Observed",1734,1734,1
"ARG",2002,26.3101887297459,0,26.019668185776,0,20.120043344408,2.57719557511711,8.24373141074012,0,44.9292377484933,28.2609200013103,0,39.0057478618729,0,4.70376481610754,2.54190312997497,98.9005075493527,38.8962606430702,98.0493066789302,117.379373019251,96.2273830964617,108.338036296311,9.49673378897828,2,15,"Observed","Observed",770,769.999938964844,1.00000011920929
"ARG",2003,28.9616486768316,0,63.0166402609605,4.30814490529589,22.6700164922678,34.9471427006894,24.8058501929688,7.56439227788167,19.5899806369512,43.1655265521984,0,0,0,10.7656634519476,5.09454500814831,135.117844323467,69.1888500811732,138.938900578693,187.339686095799,79.4349593010607,1.01933268154588,1.07088077289109,3,5,"Observed","Observed",877,876.999938964844,1.00000011920929
"ARG",2003,60.4875947356219,0,64.2081632114402,3.45075569697442,17.3477146364141,52.6413897652278,18.5796818729772,6.9230873227407,41.1048913314171,30.2821255794367,0,1.14552712746908,0,12.7256097969754,3.40600443952783,136.058720523503,54.6549556826784,164.442040464464,179.143587328893,99.9576130985864,69.7632735012427,4.67729285092342,3,10,"Observed","Observed",1021,1021.00012207031,0.99999988079071
