"ISO3","Year","Sex","epi_colvio","epi_natdis","CollectVio","NatDis"
"ARG",2002,"Female",0,0,0,0
"ARG",2003,"Female",0,0,0,0
"ARG",2004,"Female",0,0,0,0
"ARG",2005,"Female",0,0,0,0
"ARG",2006,"Female",0,0,0,0
"ARG",2007,"Female",0,0,0,0
"ARG",2008,"Female",0,0,0,0
"ARG",2009,"Female",0,0,0,0
"ARG",2010,"Female",0,0,0,0
"ARG",2011,"Female",0,0,0,0
"ARG",2012,"Female",0,0,0,0
"ARG",2013,"Female",0,0,0,0
"ARG",2014,"Female",0,0,0,0
"ARG",2015,"Female",0,0,0,0
"ARG",2016,"Female",0,0,0,0
"ARG",2017,"Female",0,0,0,0
"ARG",2018,"Female",0,0,0,0
"ARG",2019,"Female",0,0,0,0
"ARG",2020,"Female",0,0,0,0
"ARG",2021,"Female",0,0,0,0
"ARM",2000,"Female",0,0,0,0
"ARM",2001,"Female",0,0,0,0
"ARM",2002,"Female",0,0,0,0
"ARM",2003,"Female",0,0,0,0
"ARM",2004,"Female",0,0,0,0
"ARM",2005,"Female",0,0,0,0
"ARM",2006,"Female",0,0,0,0
"ARM",2007,"Female",0,0,0,0
"ARM",2008,"Female",0,0,0,0
"ARM",2009,"Female",0,0,0,0
"ARM",2010,"Female",0,0,0,0
"ARM",2011,"Female",0,0,0,0
"ARM",2012,"Female",0,0,0,0
"ARM",2013,"Female",0,0,0,0
"ARM",2014,"Female",0,0,0,0
"ARM",2015,"Female",0,0,0,0
"ARM",2016,"Female",0,0,0,0
"ARM",2017,"Female",0,0,0,0
"ARM",2018,"Female",0,0,0,0
"ARM",2019,"Female",0,0,0,0
"ARM",2020,"Female",0,0,0,0
"ARM",2021,"Female",0,0,0,0
"ATG",2000,"Female",0,0,0,0
"ATG",2001,"Female",0,0,0,0
"ATG",2002,"Female",0,0,0,0
"ATG",2003,"Female",0,0,0,0
"ATG",2004,"Female",0,0,0,0
"ATG",2005,"Female",0,0,0,0
"ATG",2006,"Female",0,0,0,0
"ATG",2007,"Female",0,0,0,0
"ATG",2008,"Female",0,0,0,0
"ATG",2009,"Female",0,0,0,0
"ATG",2010,"Female",0,0,0,0
"ATG",2011,"Female",0,0,0,0
"ATG",2012,"Female",0,0,0,0
"ATG",2013,"Female",0,0,0,0
"ATG",2014,"Female",0,0,0,0
"ATG",2015,"Female",0,0,0,0
"ATG",2016,"Female",0,0,0,0
"ATG",2017,"Female",0,0,0,0
"ATG",2018,"Female",0,0,0,0
"ATG",2019,"Female",0,0,0,0
"ATG",2020,"Female",0,0,0,0
"ATG",2021,"Female",0,0,0,0
"AUS",2000,"Female",0,0,0,0
"AUS",2001,"Female",0,0,0,0
"AUS",2002,"Female",0,0,0,0
"AUS",2003,"Female",0,0,0,0
"AUS",2004,"Female",0,0,0,0
"AUS",2005,"Female",0,0,0,0
"AUS",2006,"Female",0,0,0,0
"AUS",2007,"Female",0,0,0,0
"AUS",2008,"Female",0,0,0,0
"AUS",2009,"Female",0,0,0,0
"AUS",2010,"Female",0,0,0,0
"AUS",2011,"Female",0,0,0,0
"AUS",2012,"Female",0,0,0,0
"AUS",2013,"Female",0,0,0,0
"AUS",2014,"Female",0,0,0,0
"AUS",2015,"Female",0,0,0,0
"AUS",2016,"Female",0,0,0,0
"AUS",2017,"Female",0,0,0,0
"AUS",2018,"Female",0,0,0,0
"AUS",2019,"Female",0,0,0,0
"AUS",2020,"Female",0,0,0,0
"AUS",2021,"Female",0,0,0,0
"AUT",2000,"Female",0,0,0,0
"AUT",2001,"Female",0,0,0,0
"AUT",2002,"Female",0,0,0,0
"AUT",2003,"Female",0,0,0,0
"AUT",2004,"Female",0,0,0,0
"AUT",2005,"Female",0,0,0,0
"AUT",2006,"Female",0,0,0,0
"AUT",2007,"Female",0,0,0,0
"AUT",2008,"Female",0,0,0,0
"AUT",2009,"Female",0,0,0,0
"AUT",2010,"Female",0,0,0,0
"AUT",2011,"Female",0,0,0,0
"AUT",2012,"Female",0,0,0,0
"AUT",2013,"Female",0,0,0,0
"AUT",2014,"Female",0,0,0,0
"AUT",2015,"Female",0,0,0,0
"AUT",2016,"Female",0,0,0,0
"AUT",2017,"Female",0,0,0,0
"AUT",2018,"Female",0,0,0,0
"AUT",2019,"Female",0,0,0,0
"AUT",2020,"Female",0,0,0,0
"AUT",2021,"Female",0,0,0,0
"AZE",2000,"Female",0,0,0.111830428242683,1.09630107879639
"AZE",2001,"Female",0,0,0.053045779466629,0
"AZE",2002,"Female",0,0,0,0
"AZE",2003,"Female",0,0,0,0
"AZE",2004,"Female",0,0,0.0746125504374504,0
"AZE",2005,"Female",0,0,0.195364087820053,0
"AZE",2006,"Female",0,0,0.0460396818816662,0
"AZE",2007,"Female",0,0,0.108077697455883,0
"AZE",2008,"Female",0.987552464008331,0,0,0
"AZE",2009,"Female",0,0,0.0585476942360401,0
"AZE",2010,"Female",0,0,0.158925622701645,0.0421814061701298
"AZE",2011,"Female",0,0,0.156672790646553,0
"AZE",2012,"Female",0.417164146900177,0,0,0
"AZE",2013,"Female",0,0,0.0707128942012787,0
"AZE",2014,"Female",0,0,0.772614538669586,0
"AZE",2015,"Female",0,0,0.725011885166168,0
"AZE",2016,"Female",0,0,0.686118721961975,0
"AZE",2017,"Female",0,0,0.644642293453217,0
"AZE",2018,"Female",0,0,0.0431645736098289,0
"AZE",2019,"Female",0,0,0.0144121730700135,0
"AZE",2020,"Female",0.0388576686382294,0,0,0
"AZE",2021,"Female",0,0,0.0385968796908855,0
"BDI",2000,"Female",0,0,28.2982425689697,0
"BDI",2001,"Female",0,0,25.2938594818115,0
"BDI",2002,"Female",0,0,14.6984939575195,0
"BDI",2003,"Female",0,0,14.4092712402344,0
"BDI",2004,"Female",0,0,4.40679311752319,0.124085880815983
"BDI",2005,"Female",0,0,6.04849147796631,0
"BDI",2006,"Female",0,0,1.15170216560364,1.08919656276703
"BDI",2007,"Female",0,0,0.328496873378754,0.151230990886688
"BDI",2008,"Female",0,0,1.21073722839355,0.282429069280624
"BDI",2009,"Female",0,0,0.597415089607239,0
"BDI",2010,"Female",0,0,1.53956401348114,0.294935792684555
"BDI",2011,"Female",0,0,0.85283637046814,0.386214822530746
"BDI",2012,"Female",0,0,0.24231231212616,0
"BDI",2013,"Female",0,0,0.17300871014595,0
"BDI",2014,"Female",0,0,0.295280814170837,1.5100930929184
"BDI",2015,"Female",0,0,7.48537635803223,0.845317661762238
"BDI",2016,"Female",0,0,4.15864133834839,0.474807888269424
"BDI",2017,"Female",0,0,2.72153663635254,0.211011290550232
"BDI",2018,"Female",0,0,2.9421706199646,0
"BDI",2019,"Female",0,0,2.26322770118713,0.379906564950943
"BDI",2020,"Female",0,0,2.25270652770996,0.0907526537775993
"BDI",2021,"Female",0,0,2.50209093093872,0
"BEL",2000,"Female",0,0,0,0
"BEL",2001,"Female",0,0,0,0
"BEL",2002,"Female",0,0,0,0
"BEL",2003,"Female",0,0,0,0
"BEL",2004,"Female",0,0,0,0
"BEL",2005,"Female",0,0,0,0
"BEL",2006,"Female",0,0,0,0
"BEL",2007,"Female",0,0,0,0
"BEL",2008,"Female",0,0,0,0
"BEL",2009,"Female",0,0,0,0
"BEL",2010,"Female",0,0,0,0
"BEL",2011,"Female",0,0,0,0
"BEL",2012,"Female",0,0,0,0
"BEL",2013,"Female",0,0,0,0
"BEL",2014,"Female",0,0,0,0
"BEL",2015,"Female",0,0,0,0
"BEL",2016,"Female",0,0,0,0
"BEL",2017,"Female",0,0,0,0
"BEL",2018,"Female",0,0,0,0
"BEL",2019,"Female",0,0,0,0
"BEL",2020,"Female",0,0,0,0
"BEL",2021,"Female",0,0,0,0
"BEN",2000,"Female",0,0,0.00975704006850719,0
"BEN",2001,"Female",0,0,0.0390865206718445,0
"BEN",2002,"Female",0,0,0,0
"BEN",2003,"Female",0,0,0,0
"BEN",2004,"Female",0,0,0.00592529401183128,0
"BEN",2005,"Female",0,0,0,0
"BEN",2006,"Female",0,0,0,0
"BEN",2007,"Female",0,0,0.0197368375957012,0.127640098333359
"BEN",2008,"Female",0,0,0,0.343953639268875
"BEN",2009,"Female",0,0,0.00990714132785797,0.159032121300697
"BEN",2010,"Female",0,0,0,0.837821841239929
"BEN",2011,"Female",0,0,0,0
"BEN",2012,"Female",0,0,0,0.143190577626228
"BEN",2013,"Female",0,0,0,0
"BEN",2014,"Female",0,0,0,0
"BEN",2015,"Female",0,0,0.0225787330418825,0
"BEN",2016,"Female",0,0,0.139471992850304,0
"BEN",2017,"Female",0,0,0.0982464626431465,0
"BEN",2018,"Female",0,0,0.121257267892361,0
"BEN",2019,"Female",0,0,0.214334070682526,0
"BEN",2020,"Female",0,0,0.214180633425713,0
"BEN",2021,"Female",0,0,0.216021746397018,0
"BFA",2000,"Female",0,0,0.010531566105783,0
"BFA",2001,"Female",0,0,0,0
"BFA",2002,"Female",0,0,1.10533785820007,0
"BFA",2003,"Female",0,0,0.0103855347260833,0
"BFA",2004,"Female",0,0,0.0628444328904152,0
"BFA",2005,"Female",0,0,0,0
"BFA",2006,"Female",0,0,0.0643976107239723,0
"BFA",2007,"Female",0,0,0,2.13100624084473
"BFA",2008,"Female",0,0,0.0932593941688538,0.242560803890228
"BFA",2009,"Female",0,0,0,0.355706244707108
"BFA",2010,"Female",0,0,0.0102401496842504,0.611866056919098
"BFA",2011,"Female",0,0,0.0878627374768257,0
"BFA",2012,"Female",0,0,0.140565663576126,0.448621869087219
"BFA",2013,"Female",0,0,0.0747188702225685,0.0259965248405933
"BFA",2014,"Female",0,0,0.319067180156708,0
"BFA",2015,"Female",0,0,0.171501949429512,0.105735667049885
"BFA",2016,"Female",0,0,0.572825908660889,0.199404448270798
"BFA",2017,"Female",0,0,0.91580206155777,0.0676434487104416
"BFA",2018,"Female",0,0,2.48994565010071,0
"BFA",2019,"Female",0,0,17.2943496704102,0
"BFA",2020,"Female",0,0,16.2206802368164,0
"BFA",2021,"Female",0,0,14.2460403442383,0
"BGD",2000,"Female",0,0,1.02391147613525,4.11301374435425
"BGD",2001,"Female",0,0,0.5997234582901,7.27475738525391
