"ISO3","Year","Sex","TB","TBlo","TBup"
"AFG",2000,"Male",465.059149001368,0,2789.92962555004
"AFG",2001,"Male",446.510241461905,0,2661.37007106408
"AFG",2002,"Male",424.052991629982,0,2507.28178154488
"AFG",2003,"Male",451.784623726878,0,2675.43542705786
"AFG",2004,"Male",418.743579828322,0,2454.82049271664
"AFG",2005,"Male",398.493778634379,0,2319.11620566212
"AFG",2006,"Male",371.916381020429,0,2147.21172255036
"AFG",2007,"Male",346.746951967135,0,1988.05159250225
"AFG",2008,"Male",369.913024923027,0,2127.09052215102
"AFG",2009,"Male",416.350405491062,0,2411.50547900724
"AFG",2010,"Male",412.640120995301,0,2383.23944244656
"AFG",2011,"Male",437.974998853476,0,2535.29897655296
"AFG",2012,"Male",455.936799300234,0,2640.86586410514
"AFG",2013,"Male",459.445886604275,0,2655.99296739402
"AFG",2014,"Male",472.487765503745,0,2730.2447458966
"AFG",2015,"Male",445.998654460592,0,2560.3259069306
"AFG",2016,"Male",392.024960511946,0,2230.21672064312
"AFG",2017,"Male",354.808959203587,0,2011.94320157362
"AFG",2018,"Male",354.78153748548,0,2011.71044079366
"AFG",2019,"Male",325.192852778962,0,1849.10223281523
"AFG",2020,"Male",325.192852778962,0,1849.10223281523
"AFG",2021,"Male",325.192852778962,0,1849.10223281523
"AGO",2000,"Male",573.7330269343,152.521656435582,1652.08963146283
"AGO",2001,"Male",548.835143595794,151.151553214437,1564.64876371686
"AGO",2002,"Male",484.764025786743,138.408427947825,1367.28436660011
"AGO",2003,"Male",461.29096386411,133.064471296952,1297.00422250705
"AGO",2004,"Male",551.71871122637,154.831123374152,1564.21312371281
"AGO",2005,"Male",608.647156237924,165.110102634071,1742.70587464735
"AGO",2006,"Male",466.264560894444,168.466417905962,1209.08663063654
"AGO",2007,"Male",743.915478985247,229.485300584276,2046.97092422387
"AGO",2008,"Male",642.395405639255,159.879593084676,1882.49196692536
"AGO",2009,"Male",877.522548901366,267.431032665373,2424.41583396283
"AGO",2010,"Male",739.17534511282,177.737077016518,2184.78580657129
"AGO",2011,"Male",837.628173303827,256.809464630338,2309.58625854582
"AGO",2012,"Male",714.466697637185,170.418204899352,2115.88707840079
"AGO",2013,"Male",657.481085984494,160.452727616469,1936.24361598339
"AGO",2014,"Male",764.78956367895,185.970297404868,2254.27133521811
"AGO",2015,"Male",721.401814922977,181.217204285084,2108.99096898801
"AGO",2016,"Male",770.426287197287,196.616157110777,2243.06036437544
"AGO",2017,"Male",893.267296302003,228.303422343644,2599.69315109556
"AGO",2018,"Male",862.140097483711,272.189009837696,2353.57960276831
"AGO",2019,"Male",789.778057276161,251.746606957448,2148.82676393359
"AGO",2020,"Male",789.778057276161,251.746606957448,2148.82676393359
"AGO",2021,"Male",789.778057276161,251.746606957448,2148.82676393359
"AIA",2000,"Male",0,0,0.143670978086247
"AIA",2001,"Male",0,0,0.147467568738229
"AIA",2002,"Male",0,0,0.149594659693061
"AIA",2003,"Male",0,0,0.151703925246517
"AIA",2004,"Male",0,0,0.153782852743258
"AIA",2005,"Male",0,0,0.151020604016476
"AIA",2006,"Male",0,0,0.157304122661329
"AIA",2007,"Male",0,0,0.158864688677142
"AIA",2008,"Male",0,0,0.153579381419053
"AIA",2009,"Male",0,0,0.154162027998394
"AIA",2010,"Male",0,0,0.106505892952368
"AIA",2011,"Male",0,0,0.164227347120363
"AIA",2012,"Male",0,0,0.165422418350611
"AIA",2013,"Male",0,0,0.166325900970949
"AIA",2014,"Male",0,0,0
"AIA",2015,"Male",0,0,0.175243120079553
"AIA",2016,"Male",0,0,0.177312295997046
"AIA",2017,"Male",0,0,0.165044126863112
"AIA",2018,"Male",0,0,0.181350343127445
"AIA",2019,"Male",0,0,0.167043999812174
