"ISO3","Year","Sex","Measles","epi_meas"
"ARM",2007,"Both",2.11253677154401,-1.60813413406232
"ARM",2008,"Both",0,0
"ARM",2009,"Both",1.43947008814039,-0.92627171243849
"ARM",2010,"Both",1.188233599158,-0.586684927435586
"ARM",2011,"Both",0.980846422444274,-0.459005790482452
"ARM",2012,"Both",0,0
"ARM",2013,"Both",0.668342963391849,0.73891590482562
"ARM",2014,"Both",0.551694384903126,1.06425023904402
"ARM",2015,"Both",0.455404950759048,0.128284202435379
"ARM",2016,"Both",0,0
"ARM",2017,"Both",0,0
"ARM",2018,"Both",0.256150553686834,1.35038285447814
"ARM",2019,"Both",0.211443569992371,0.313964578773193
"ARM",2020,"Both",0,0
"ARM",2021,"Both",0,0
"ATG",2000,"Both",0,0
"ATG",2001,"Both",0,0
"ATG",2002,"Both",0,0
"ATG",2003,"Both",0,0
"ATG",2004,"Both",0,0
"ATG",2005,"Both",0,0
"ATG",2006,"Both",0,0
"ATG",2007,"Both",0,0
"ATG",2008,"Both",0,0
"ATG",2009,"Both",0,0
"ATG",2010,"Both",0,0
"ATG",2011,"Both",0,0
"ATG",2012,"Both",0,0
"ATG",2013,"Both",0,0
"ATG",2014,"Both",0,0
"ATG",2015,"Both",0,0
"ATG",2016,"Both",0,0
"ATG",2017,"Both",0,0
"ATG",2018,"Both",0,0
"ATG",2019,"Both",0,0
"ATG",2020,"Both",0,0
"ATG",2021,"Both",0,0
"AUS",2000,"Both",0,0
"AUS",2001,"Both",0,0
"AUS",2002,"Both",0,0
"AUS",2003,"Both",0,0
"AUS",2004,"Both",0,0
"AUS",2005,"Both",0,0
"AUS",2006,"Both",0,0
"AUS",2007,"Both",0,0
"AUS",2008,"Both",0,0
"AUS",2009,"Both",0,0
"AUS",2010,"Both",0,0
"AUS",2011,"Both",0,0
"AUS",2012,"Both",0,0
"AUS",2013,"Both",0,0
"AUS",2014,"Both",0,0
"AUS",2015,"Both",0,0
"AUS",2016,"Both",0,0
"AUS",2017,"Both",0,0
"AUS",2018,"Both",0,0
"AUS",2019,"Both",0,0
"AUS",2020,"Both",0,0
"AUS",2021,"Both",0,0
"AUT",2000,"Both",0,0
"AUT",2001,"Both",0,0
"AUT",2002,"Both",0,0
"AUT",2003,"Both",0,0
"AUT",2004,"Both",0,0
"AUT",2005,"Both",0,0
"AUT",2006,"Both",0,0
"AUT",2007,"Both",0,0
"AUT",2008,"Both",0,0
"AUT",2009,"Both",0,0
"AUT",2010,"Both",0,0
"AUT",2011,"Both",0,0
"AUT",2012,"Both",0,0
"AUT",2013,"Both",0,0
"AUT",2014,"Both",0,0
"AUT",2015,"Both",0,0
"AUT",2016,"Both",0,0
"AUT",2017,"Both",0,0
"AUT",2018,"Both",0,0
"AUT",2019,"Both",0,0
"AUT",2020,"Both",0,0
"AUT",2021,"Both",0,0
"AZE",2000,"Both",47.7966690130269,65.6131896905864
"AZE",2001,"Both",32.5409479421271,3.37718102515804
"AZE",2002,"Both",22.1545416205414,6.12658440179742
"AZE",2003,"Both",15.0832641780799,18.1626312076623
"AZE",2004,"Both",10.2689941485782,23.0363342205624
"AZE",2005,"Both",6.99134083832949,22.3164461031988
"AZE",2006,"Both",4.75984755765652,56.9179325937107
"AZE",2007,"Both",0,0
"AZE",2008,"Both",0,0
"AZE",2009,"Both",0,0
"AZE",2010,"Both",0,0
"AZE",2011,"Both",0,0
"AZE",2012,"Both",0,0
"AZE",2013,"Both",0,0
"AZE",2014,"Both",0,0
"AZE",2015,"Both",0,0
"AZE",2016,"Both",0,0
"AZE",2017,"Both",0,0
"AZE",2018,"Both",0,0
"AZE",2019,"Both",0,0
"AZE",2020,"Both",0,0
"AZE",2021,"Both",0,0
"BDI",2000,"Both",42.6389283757642,83.0196333307788
"BDI",2001,"Both",41.6439971145505,-26.6564578231687
"BDI",2002,"Both",40.6722814512009,-30.3341018628831
"BDI",2003,"Both",39.7232396759462,29.5257456145811
"BDI",2004,"Both",38.7963427192032,-19.9534071570694
"BDI",2005,"Both",37.8910738566291,16.9099515339959
"BDI",2006,"Both",37.0069284210614,8.06489851375305
"BDI",2007,"Both",36.1434135211762,-19.7022895587738
"BDI",2008,"Both",35.3000477667113,71.9551707391481
"BDI",2009,"Both",34.4763610001036,69.8257630233339
"BDI",2010,"Both",33.6718940343863,51.9285545740122
"BDI",2011,"Both",32.8861983972009,49.6059967321936
"BDI",2012,"Both",32.1188360807864,-1.36572138046901
"BDI",2013,"Both",31.369379297798,-18.3336842218092
"BDI",2014,"Both",30.6374102428253,28.6671361133759
"BDI",2015,"Both",29.922520859476,-12.3980324103793
"BDI",2016,"Both",29.2243126128932,-9.49152071225846
"BDI",2017,"Both",28.5423962675804,-6.59492083423077
"BDI",2018,"Both",27.8763916704125,-13.7797596666283
"BDI",2019,"Both",27.2259275387085,90.1175249149048
"BDI",2020,"Both",26.5906412532491,-2.74304413105671
"BDI",2021,"Both",25.9701786561257,-18.5234356446511
"BEL",2000,"Both",0,0
"BEL",2001,"Both",0,0
"BEL",2002,"Both",0,0
"BEL",2003,"Both",0,0
"BEL",2004,"Both",0,0
"BEL",2005,"Both",0,0
"BEL",2006,"Both",0,0
"BEL",2007,"Both",0,0
"BEL",2008,"Both",0,0
"BEL",2009,"Both",0,0
"BEL",2010,"Both",0,0
"BEL",2011,"Both",0,0
"BEL",2012,"Both",0,0
"BEL",2013,"Both",0,0
"BEL",2014,"Both",0,0
"BEL",2015,"Both",0,0
"BEL",2016,"Both",0,0
"BEL",2017,"Both",0,0
"BEL",2018,"Both",0,0
"BEL",2019,"Both",0,0
"BEL",2020,"Both",0,0
"BEL",2021,"Both",0,0
"BEN",2000,"Both",496.9436988264,1908.16103750173
"BEN",2001,"Both",405.953042052642,255.274191834077
"BEN",2002,"Both",331.622823150764,436.957438079704
"BEN",2003,"Both",270.9025070447,-182.718989588645
"BEN",2004,"Both",221.300113260719,-137.520412027809
"BEN",2005,"Both",180.779944281307,-118.629137854305
"BEN",2006,"Both",147.679039892084,-73.0742272700138
"BEN",2007,"Both",120.638928782449,-9.59296168039852
"BEN",2008,"Both",98.5498764646085,160.380207763907
"BEN",2009,"Both",80.5053414284172,123.581206423145
"BEN",2010,"Both",65.7647703986067,5.49806987238941
"BEN",2011,"Both",53.7232058002898,-1.19180702709644
"BEN",2012,"Both",43.8864581137721,3.75477342309313
"BEN",2013,"Both",35.8508241844623,53.7783338355573
"BEN",2014,"Both",29.2865191210746,75.0682858716012
"BEN",2015,"Both",23.9241418221228,-20.1997649052374
"BEN",2016,"Both",19.5436186717449,-16.5217466281353
"BEN",2017,"Both",15.965171650729,-10.6265605247829
"BEN",2018,"Both",13.0419401912371,59.0046067447981
"BEN",2019,"Both",10.6539539738702,26.9442706660223
"BEN",2020,"Both",8.70320930881213,-6.67554440898608
"BEN",2021,"Both",7.10964703421542,7.76541876931241
"BFA",2000,"Both",387.752181919118,927.451797573069
"BFA",2001,"Both",353.498248141991,31.291027981056
"BFA",2002,"Both",322.270298573129,-245.397739979379
"BFA",2003,"Both",293.801018500936,-220.560028815878
"BFA",2004,"Both",267.846707730662,-264.39408984698
"BFA",2005,"Both",244.185194483674,-233.03484486667
"BFA",2006,"Both",222.613933582443,-129.774829883713
