"ISO3","Year","Sex","TB","TBlo","TBup","TBre","TBreLo","TBreUp"
"AFG",2000,"Both",59.7707412014875,0,1248.12762909104,64.5107169933565,0,1248.12762909104
"AFG",2001,"Both",57.3867821836011,0,1190.6140880798,61.9377038027058,0,1190.6140880798
"AFG",2002,"Both",54.5005117582489,0,1121.67978604328,58.8225445988363,0,1121.67978604328
"AFG",2003,"Both",58.0646609825337,0,1196.90649032108,62.6693401598031,0,1196.90649032108
"AFG",2004,"Both",53.8181308623761,0,1098.21023919715,58.0860491167598,0,1098.21023919715
"AFG",2005,"Both",51.2155680934366,0,1037.50036733956,55.2770963269946,0,1037.50036733956
"AFG",2006,"Both",47.7997644090992,0,960.595655130513,51.5904104945068,0,960.595655130513
"AFG",2007,"Both",44.5649168991315,0,889.392369591152,48.0990311333506,0,889.392369591152
"AFG",2008,"Both",47.5422873137891,0,951.594056696305,51.3125147934679,0,951.594056696305
"AFG",2009,"Both",53.5105532042016,0,1078.83245100133,57.7540797474482,0,1078.83245100133
"AFG",2010,"Both",53.0336967551748,0,1066.18710651908,57.2394073373157,0,1066.18710651908
"AFG",2011,"Both",56.2898082220391,0,1134.21380656443,60.7537369426538,0,1134.21380656443
"AFG",2012,"Both",58.5983105455008,0,1181.44114443861,63.2453095260537,0,1181.44114443861
"AFG",2013,"Both",59.049308551999,0,1188.20853935426,63.7320728516691,0,1188.20853935426
"AFG",2014,"Both",60.725488388813,0,1221.42647267039,65.5411781247324,0,1221.42647267039
"AFG",2015,"Both",57.32103154882,0,1145.41007581424,61.8667389709633,0,1145.41007581424
"AFG",2016,"Both",50.3841769581241,0,997.729506294158,54.3797737045421,0,997.729506294158
"AFG",2017,"Both",45.6010692877677,0,900.080731445271,49.2173531109862,0,900.080731445271
"AFG",2018,"Both",45.5975449695818,0,899.976601521071,49.2135493051691,0,899.976601521071
"AFG",2019,"Both",41.7947219955909,0,827.230753297448,45.1091525431545,0,827.230753297448
"AFG",2020,"Both",41.7947219955909,0,827.230753297448,45.1091525431545,0,827.230753297448
"AFG",2021,"Both",41.7947219955909,0,827.230753297448,45.1091525431545,0,827.230753297448
"AGO",2000,"Both",8.2046040708799,0,445.924961226523,74.3495614578063,0,445.924961226523
"AGO",2001,"Both",7.84855471446206,0,420.330187950058,71.1230665193211,0,420.330187950058
"AGO",2002,"Both",6.93231296207169,0,365.429553325698,62.8201463672982,0,365.429553325698
"AGO",2003,"Both",6.59663910268848,0,346.119547144196,59.7782927906533,0,346.119547144196
"AGO",2004,"Both",7.88979084626874,0,419.106452205313,71.4967455280281,0,419.106452205313
"AGO",2005,"Both",8.70388961653985,0,469.12800565334,78.8740529556656,0,469.12800565334
"AGO",2006,"Both",6.66776346284617,0,309.448144893189,60.4228168823708,0,309.448144893189
"AGO",2007,"Both",10.638278921972,0,540.463800073165,96.4033566618421,0,540.463800073165
"AGO",2008,"Both",9.18650262890742,0,512.251440952038,83.2474590960875,0,512.251440952038
"AGO",2009,"Both",12.548911669734,0,641.420315652774,113.717380065732,0,641.420315652774
"AGO",2010,"Both",10.5704931752214,0,596.83398272772,95.7890868566866,0,596.83398272772
"AGO",2011,"Both",11.9784066768767,0,610.432089426848,108.5475028039,0,610.432089426848
"AGO",2012,"Both",10.2171499647947,0,578.522045302932,92.587114828259,0,578.522045302932
"AGO",2013,"Both",9.40223368945667,0,528.065080228886,85.202399225566,0,528.065080228886
"AGO",2014,"Both",10.9367864023051,0,615.04851760714,99.1084110511678,0,615.04851760714
"AGO",2015,"Both",10.3163248228627,0,573.260069296319,93.4858306153076,0,573.260069296319
"AGO",2016,"Both",11.0173937275835,0,608.548974753982,99.8388691248237,0,608.548974753982
"AGO",2017,"Both",12.7740676439484,0,705.177684811158,115.757728118825,0,705.177684811158
"AGO",2018,"Both",12.3289366681276,0,618.940944929803,111.723981632387,0,618.940944929803
"AGO",2019,"Both",11.2941315204493,0,564.132743250818,102.346648093876,0,564.132743250818
"AGO",2020,"Both",11.2941315204493,0,564.132743250818,102.346648093876,0,564.132743250818
"AGO",2021,"Both",11.2941315204493,0,564.132743250818,102.346648093876,0,564.132743250818
"AIA",2000,"Both",0,0,0.0543974397899358,0,0,0.0543974397899358
"AIA",2001,"Both",0,0,0.0558349243407421,0,0,0.0558349243407421
"AIA",2002,"Both",0,0,0.0566402943861364,0,0,0.0566402943861364
"AIA",2003,"Both",0,0,0.0574389152869854,0,0,0.0574389152869854
"AIA",2004,"Both",0,0,0.058226049437793,0,0,0.058226049437793
"AIA",2005,"Both",0,0,0.0571801927115327,0,0,0.0571801927115327
"AIA",2006,"Both",0,0,0.059559290645613,0,0,0.059559290645613
"AIA",2007,"Both",0,0,0.0601501601240155,0,0,0.0601501601240155
"AIA",2008,"Both",0,0,0.0581490100854143,0,0,0.0581490100854143
"AIA",2009,"Both",0,0,0.0583696147102362,0,0,0.0583696147102362
"AIA",2010,"Both",0,0,0.0403258053667022,0,0,0.0403258053667022
"AIA",2011,"Both",0,0,0.062180597263547,0,0,0.062180597263547
"AIA",2012,"Both",0,0,0.062633081238794,0,0,0.062633081238794
"AIA",2013,"Both",0,0,0.0629751624447253,0,0,0.0629751624447253
"AIA",2014,"Both",0,0,0,0,0,0
"AIA",2015,"Both",0,0,0.0663514455049185,0,0,0.0663514455049185
"AIA",2016,"Both",0,0,0.0671348874629668,0,0,0.0671348874629668
"AIA",2017,"Both",0,0,0.0624898505829693,0,0,0.0624898505829693
"AIA",2018,"Both",0,0,0.0686637934993197,0,0,0.0686637934993197
