"ISO3","Year","Sex","HIV"
"AFG",2000,"Both",0.202052292720475
"AFG",2001,"Both",0.202676133260513
"AFG",2002,"Both",0.202164502164502
"AFG",2003,"Both",0.438539989264627
"AFG",2004,"Both",0.461941415437246
"AFG",2005,"Both",0.48063756953359
"AFG",2006,"Both",0.51260820474219
"AFG",2007,"Both",0.821064614050304
"AFG",2008,"Both",0.864721340194898
"AFG",2009,"Both",0.896173044925125
"AFG",2010,"Both",0.900931414055885
"AFG",2011,"Both",1.18198614318707
"AFG",2012,"Both",1.14516224713769
"AFG",2013,"Both",1.07628361858191
"AFG",2014,"Both",0.990851157801754
"AFG",2015,"Both",1.1476746461418
"AFG",2016,"Both",1.07487352445194
"AFG",2017,"Both",1.03582880245365
"AFG",2018,"Both",1.02230215827338
"AFG",2019,"Both",1.02055201068408
"AFG",2020,"Both",1.02401345977363
"AFG",2021,"Both",1.23888363292337
"AGO",2000,"Both",49.535152425093
"AGO",2001,"Both",59.7375504710633
"AGO",2002,"Both",71.918120894433
"AGO",2003,"Both",84.7904211728354
"AGO",2004,"Both",99.0419489495655
"AGO",2005,"Both",114.836772058306
"AGO",2006,"Both",133.225592417062
"AGO",2007,"Both",151.295587010824
"AGO",2008,"Both",169.757989791912
"AGO",2009,"Both",187.469165609527
"AGO",2010,"Both",206.281513327601
"AGO",2011,"Both",223.052043263791
"AGO",2012,"Both",238.072089162912
"AGO",2013,"Both",248.776220681516
"AGO",2014,"Both",257.468291696167
"AGO",2015,"Both",265.857172514013
"AGO",2016,"Both",273.951337295691
"AGO",2017,"Both",279.491305756561
"AGO",2018,"Both",282.923245015023
"AGO",2019,"Both",275.927682993946
"AGO",2020,"Both",265.972197705207
"AGO",2021,"Both",258.133211678832
"ALB",2000,"Both",0.00264290909090909
"ALB",2001,"Both",0.00337276073619632
"ALB",2002,"Both",0.00431842767295597
"ALB",2003,"Both",0.005475
"ALB",2004,"Both",0.0135024822695035
"ALB",2005,"Both",0.0151868049792531
"ALB",2006,"Both",0.0185422
"ALB",2007,"Both",0.0231026785714286
"ALB",2008,"Both",0.0271041610738255
"ALB",2009,"Both",0.0307696376811594
"ALB",2010,"Both",0.0351664122137405
"ALB",2011,"Both",0.03526
"ALB",2012,"Both",0.0345116949152542
"ALB",2013,"Both",0.0322151351351351
"ALB",2014,"Both",0.0298832673267327
"ALB",2015,"Both",0.0274663333333333
"ALB",2016,"Both",0.0235760975609756
"ALB",2017,"Both",0.0183063157894737
"ALB",2018,"Both",0.0185161643835616
"ALB",2019,"Both",0.0182166666666667
"ALB",2020,"Both",0.0174079452054795
"ALB",2021,"Both",0.016751095890411
"AND",2000,"Both",0
"AND",2001,"Both",0
"AND",2002,"Both",0
"AND",2003,"Both",0
"AND",2004,"Both",0
"AND",2005,"Both",0
"AND",2006,"Both",0
"AND",2007,"Both",0
"AND",2008,"Both",0
"AND",2009,"Both",0
"AND",2010,"Both",0
"AND",2011,"Both",0
"AND",2012,"Both",0
"AND",2013,"Both",0
"AND",2014,"Both",0
"AND",2015,"Both",0
"AND",2016,"Both",0
"AND",2017,"Both",0
"AND",2018,"Both",0
"AND",2019,"Both",0
"AND",2020,"Both",0
"AND",2021,"Both",0
"ARE",2000,"Both",0.173690666666667
"ARE",2001,"Both",0.144921481481481
"ARE",2002,"Both",0.170284615384615
"ARE",2003,"Both",0.207501666666667
"ARE",2004,"Both",0.249401739130435
"ARE",2005,"Both",0.316052380952381
"ARE",2006,"Both",0.395514
"ARE",2007,"Both",0.472791
"ARE",2008,"Both",0.612183333333333
"ARE",2009,"Both",0.73152
"ARE",2010,"Both",0.795578333333333
"ARE",2011,"Both",0.80771375
"ARE",2012,"Both",0.75215
"ARE",2013,"Both",0.723445625
"ARE",2014,"Both",0.851946428571429
"ARE",2015,"Both",0.826742857142857
"ARE",2016,"Both",0.757653571428571
"ARE",2017,"Both",0.713897142857143
"ARE",2018,"Both",0.638754285714286
"ARE",2019,"Both",0.583970769230769
"ARE",2020,"Both",0.576654166666667
"ARE",2021,"Both",0.5413675
"ARG",2000,"Both",11.0138613861386
