"ISO3","Year","Sex","TB","TBlo","TBup"
"AFG",2000,"Female",614.101839686069,0,3378.70276107424
"AFG",2001,"Female",589.608356935303,0,3223.0126254786
"AFG",2002,"Female",559.953981861319,0,3036.40629516836
"AFG",2003,"Female",596.573079291764,0,3240.04626557348
"AFG",2004,"Female",552.943003661983,0,2972.87383191542
"AFG",2005,"Female",526.203522903074,0,2808.53117425062
"AFG",2006,"Female",491.108570349529,0,2600.34880778098
"AFG",2007,"Female",457.872813739502,0,2407.60030046318
"AFG",2008,"Female",488.463176387056,0,2575.9813274249
"AFG",2009,"Female",549.782862062024,0,2920.41782905584
"AFG",2010,"Female",544.883501325873,0,2886.1866660553
"AFG",2011,"Female",578.337729963962,0,3070.33610230918
"AFG",2012,"Female",602.055948866041,0,3198.18131072738
"AFG",2013,"Female",606.689632503181,0,3216.50076408604
"AFG",2014,"Female",623.911187744757,0,3306.42227563378
"AFG",2015,"Female",588.932815943709,0,3100.64459396206
"AFG",2016,"Female",517.661570512477,0,2700.87077567242
"AFG",2017,"Female",468.518542322841,0,2436.53387814078
"AFG",2018,"Female",468.482332460992,0,2436.25199666152
"AFG",2019,"Female",429.411032065802,0,2239.32774587088
"AFG",2020,"Female",429.411032065802,0,2239.32774587088
"AFG",2021,"Female",429.411032065802,0,2239.32774587088
"AGO",2000,"Female",444.817547991758,104.678993357724,1339.58454853832
"AGO",2001,"Female",425.514117830177,104.458715764654,1268.48434617998
"AGO",2002,"Female",375.839519745419,96.3012959403345,1108.28991435685
"AGO",2003,"Female",357.640759419425,92.7565575389158,1051.26973506843
"AGO",2004,"Female",427.749759535788,107.383707386126,1268.02043114526
"AGO",2005,"Female",471.88661436587,113.772373894052,1412.9344093151
"AGO",2006,"Female",361.496809414583,121.728943520335,978.687549555418
"AGO",2007,"Female",576.760694854028,161.852670844261,1658.56581120899
"AGO",2008,"Female",498.051769312464,108.234228796634,1526.81853127885
"AGO",2009,"Female",680.346799269204,188.2286880232,1964.52196576804
"AGO",2010,"Female",573.085649794217,119.410488028397,1772.23027807514
"AGO",2011,"Female",649.41652769885,180.936673485064,1871.41386996293
"AGO",2012,"Female",553.928934966358,114.284452979655,1716.39276639187
"AGO",2013,"Female",509.74775860702,108.156042555461,1570.53325346086
"AGO",2014,"Female",592.944457569659,125.256470082284,1828.51799868019
"AGO",2015,"Female",559.305759589101,122.924590455977,1710.46084810365
"AGO",2016,"Female",597.314632226558,133.817847615817,1819.08011115033
"AGO",2017,"Female",692.553765930901,155.432602665312,2108.28995778503
"AGO",2018,"Female",668.420722155837,192.70790810947,1906.74878422511
"AGO",2019,"Female",612.318138233143,178.51244060551,1740.77228043048
"AGO",2020,"Female",612.318138233143,178.51244060551,1740.77228043048
"AGO",2021,"Female",612.318138233143,178.51244060551,1740.77228043048
"AIA",2000,"Female",0.0186750283935564,0,0.116703533458465
"AIA",2001,"Female",0.0191578412575961,0,0.119787493420898
"AIA",2002,"Female",0.0194341763693796,0,0.121515323451173
"AIA",2003,"Female",0.0197081957429377,0,0.123228673957792
"AIA",2004,"Female",0.0199782738312948,0,0.124917380945838
"AIA",2005,"Female",0.0196595349095424,0,0.122673614034799
