"ISO3","Year","Sex","HIV"
"ARM",2016,"Male",0.0497954761904762
"ARM",2017,"Male",0.0408976923076923
"ARM",2018,"Male",0.0302854255319149
"ARM",2019,"Male",0.0224594623655914
"ARM",2020,"Male",0.0200221276595745
"ARM",2021,"Male",0.0238614893617021
"AUS",2000,"Male",0.0152263951120163
"AUS",2001,"Male",0.0155437173913043
"AUS",2002,"Male",0.0184199535962877
"AUS",2003,"Male",0.0333931707317073
"AUS",2004,"Male",0.0424696212121212
"AUS",2005,"Male",0.04818671875
"AUS",2006,"Male",0.0439700534759358
"AUS",2007,"Male",0.0403338356164384
"AUS",2008,"Male",0.049713687150838
"AUS",2009,"Male",0.0660739255014327
"AUS",2010,"Male",0.0629975221238938
"AUS",2011,"Male",0.0428479939209726
"AUS",2012,"Male",0.0347711801242236
"AUS",2013,"Male",0.0262443396226415
"AUS",2014,"Male",0.0169855660377358
"AUS",2015,"Male",0.01263696875
"AUS",2016,"Male",0.0106183229813665
"AUS",2017,"Male",0.00900148148148148
"AUS",2018,"Male",0.00772061538461539
"AUS",2019,"Male",0.0067
"AUS",2020,"Male",0.00622285714285714
"AUS",2021,"Male",0.00705833876221498
"AUT",2000,"Male",0.0180198979591837
"AUT",2001,"Male",0.0239919072164948
"AUT",2002,"Male",0.0202416753926702
"AUT",2003,"Male",0.0117216129032258
"AUT",2004,"Male",0.0130228571428571
"AUT",2005,"Male",0.0162594915254237
"AUT",2006,"Male",0.0133911627906977
"AUT",2007,"Male",0.0108146107784431
"AUT",2008,"Male",0.00839826086956522
"AUT",2009,"Male",0.00837368421052632
"AUT",2010,"Male",0.010043381294964
"AUT",2011,"Male",0.01162
"AUT",2012,"Male",0.0104500869565217
"AUT",2013,"Male",0.0110061682242991
"AUT",2014,"Male",0.0121058823529412
"AUT",2015,"Male",0.0124247422680412
"AUT",2016,"Male",0.0129239361702128
"AUT",2017,"Male",0.00958097826086957
"AUT",2018,"Male",0.00674923076923077
"AUT",2019,"Male",0.00673217391304348
"AUT",2020,"Male",0.00840515789473684
"AUT",2021,"Male",0.00920454545454545
"AZE",2000,"Male",0.13744215
"AZE",2001,"Male",0.183494419753086
"AZE",2002,"Male",0.226911176470588
"AZE",2003,"Male",0.279780442260442
"AZE",2004,"Male",0.343781909547739
"AZE",2005,"Male",0.397982984293194
"AZE",2006,"Male",0.424613038674033
"AZE",2007,"Male",0.414667558139535
"AZE",2008,"Male",0.349376121212121
"AZE",2009,"Male",0.296692830188679
"AZE",2010,"Male",0.254026262295082
"AZE",2011,"Male",0.211207560137457
"AZE",2012,"Male",0.187694676258993
"AZE",2013,"Male",0.192195580524345
"AZE",2014,"Male",0.198559293680297
"AZE",2015,"Male",0.238530206896552
"AZE",2016,"Male",0.188625893416928
"AZE",2017,"Male",0.161293641618497
"AZE",2018,"Male",0.137168361581921
"AZE",2019,"Male",0.133454639769452
"AZE",2020,"Male",0.154548396501458
"AZE",2021,"Male",0.205498882352941
"BDI",2000,"Male",40.5992816829143
"BDI",2001,"Male",58.7605633802817
"BDI",2002,"Male",79.465963060686
"BDI",2003,"Male",102.018897637795
"BDI",2004,"Male",121.482705214249
"BDI",2005,"Male",128.996951219512
"BDI",2006,"Male",127.810579345088
"BDI",2007,"Male",126.107196779064
"BDI",2008,"Male",117.121975806452
"BDI",2009,"Male",104.656186612576
"BDI",2010,"Male",95.6019467213115
"BDI",2011,"Male",85.4626943005181
"BDI",2012,"Male",78.9805876180483
"BDI",2013,"Male",83.4092356687898
"BDI",2014,"Male",85.3958785249458
"BDI",2015,"Male",78.318904109589
"BDI",2016,"Male",66.7834710743802
"BDI",2017,"Male",55.7644787644788
"BDI",2018,"Male",47.6511245200219
"BDI",2019,"Male",41.4975583288117
"BDI",2020,"Male",35.427807486631
"BDI",2021,"Male",31.6037934668072
"BEL",2000,"Male",0.036370511627907
"BEL",2001,"Male",0.0256842180094787
"BEL",2002,"Male",0.0182753140096618
"BEL",2003,"Male",0.0156450495049505
"BEL",2004,"Male",0.0140687628865979
"BEL",2005,"Male",0.0128517391304348
"BEL",2006,"Male",0.0118991954022989
"BEL",2007,"Male",0.0111623170731707
"BEL",2008,"Male",0.0100769230769231
"BEL",2009,"Male",0.0103738255033557
"BEL",2010,"Male",0.0108747887323944
"BEL",2011,"Male",0.0100533333333333
