"ISO3","Year","Sex","epi_colvio","epi_natdis","CollectVio","NatDis"
"ARG",2004,"Male",0,0,0,0
"ARG",2005,"Male",0,0,0,0
"ARG",2006,"Male",0,0,0,0
"ARG",2007,"Male",0,0,0,0
"ARG",2008,"Male",0,0,0,0
"ARG",2009,"Male",0,0,0,0
"ARG",2010,"Male",0,0,0,0
"ARG",2011,"Male",0,0,0,0
"ARG",2012,"Male",0,0,0,0
"ARG",2013,"Male",0,0,0,0
"ARG",2014,"Male",0,0,0,0
"ARG",2015,"Male",0,0,0,0
"ARG",2016,"Male",0,0,0,0
"ARG",2017,"Male",0,0,0,0
"ARG",2018,"Male",0,0,0,0
"ARG",2019,"Male",0,0,0,0
"ARG",2020,"Male",0,0,0,0
"ARG",2021,"Male",0,0,0,0
"ARM",2000,"Male",0,0,0,0
"ARM",2001,"Male",0,0,0,0
"ARM",2002,"Male",0,0,0,0
"ARM",2003,"Male",0,0,0,0
"ARM",2004,"Male",0,0,0,0
"ARM",2005,"Male",0,0,0,0
"ARM",2006,"Male",0,0,0,0
"ARM",2007,"Male",0,0,0,0
"ARM",2008,"Male",0,0,0,0
"ARM",2009,"Male",0,0,0,0
"ARM",2010,"Male",0,0,0,0
"ARM",2011,"Male",0,0,0,0
"ARM",2012,"Male",0,0,0,0
"ARM",2013,"Male",0,0,0,0
"ARM",2014,"Male",0,0,0,0
"ARM",2015,"Male",0,0,0,0
"ARM",2016,"Male",0,0,0,0
"ARM",2017,"Male",0,0,0,0
"ARM",2018,"Male",0,0,0,0
"ARM",2019,"Male",0,0,0,0
"ARM",2020,"Male",0,0,0,0
"ARM",2021,"Male",0,0,0,0
"ATG",2000,"Male",0,0,0,0
"ATG",2001,"Male",0,0,0,0
"ATG",2002,"Male",0,0,0,0
"ATG",2003,"Male",0,0,0,0
"ATG",2004,"Male",0,0,0,0
"ATG",2005,"Male",0,0,0,0
"ATG",2006,"Male",0,0,0,0
"ATG",2007,"Male",0,0,0,0
"ATG",2008,"Male",0,0,0,0
"ATG",2009,"Male",0,0,0,0
"ATG",2010,"Male",0,0,0,0
"ATG",2011,"Male",0,0,0,0
"ATG",2012,"Male",0,0,0,0
"ATG",2013,"Male",0,0,0,0
"ATG",2014,"Male",0,0,0,0
"ATG",2015,"Male",0,0,0,0
"ATG",2016,"Male",0,0,0,0
"ATG",2017,"Male",0,0,0,0
"ATG",2018,"Male",0,0,0,0
"ATG",2019,"Male",0,0,0,0
"ATG",2020,"Male",0,0,0,0
"ATG",2021,"Male",0,0,0,0
"AUS",2000,"Male",0,0,0,0
"AUS",2001,"Male",0,0,0,0
"AUS",2002,"Male",0,0,0,0
"AUS",2003,"Male",0,0,0,0
"AUS",2004,"Male",0,0,0,0
"AUS",2005,"Male",0,0,0,0
"AUS",2006,"Male",0,0,0,0
"AUS",2007,"Male",0,0,0,0
"AUS",2008,"Male",0,0,0,0
"AUS",2009,"Male",0,0,0,0
"AUS",2010,"Male",0,0,0,0
"AUS",2011,"Male",0,0,0,0
"AUS",2012,"Male",0,0,0,0
"AUS",2013,"Male",0,0,0,0
"AUS",2014,"Male",0,0,0,0
"AUS",2015,"Male",0,0,0,0
"AUS",2016,"Male",0,0,0,0
"AUS",2017,"Male",0,0,0,0
"AUS",2018,"Male",0,0,0,0
"AUS",2019,"Male",0,0,0,0
"AUS",2020,"Male",0,0,0,0
"AUS",2021,"Male",0,0,0,0
"AUT",2000,"Male",0,0,0,0
"AUT",2001,"Male",0,0,0,0
"AUT",2002,"Male",0,0,0,0
"AUT",2003,"Male",0,0,0,0
"AUT",2004,"Male",0,0,0,0
"AUT",2005,"Male",0,0,0,0
"AUT",2006,"Male",0,0,0,0
"AUT",2007,"Male",0,0,0,0
"AUT",2008,"Male",0,0,0,0
"AUT",2009,"Male",0,0,0,0
"AUT",2010,"Male",0,0,0,0
"AUT",2011,"Male",0,0,0,0
"AUT",2012,"Male",0,0,0,0
"AUT",2013,"Male",0,0,0,0
"AUT",2014,"Male",0,0,0,0
"AUT",2015,"Male",0,0,0,0
"AUT",2016,"Male",0,0,0,0
"AUT",2017,"Male",0,0,0,0
"AUT",2018,"Male",0,0,0,0
"AUT",2019,"Male",0,0,0,0
"AUT",2020,"Male",0,0,0,0
"AUT",2021,"Male",0,0,0,0
"AZE",2000,"Male",0,0,0.309163600206375,1.72919106483459
"AZE",2001,"Male",0,0,0.136804789304733,0
"AZE",2002,"Male",0,0,0,0
"AZE",2003,"Male",0,0,0,0
"AZE",2004,"Male",0,0,0.151764318346977,0
"AZE",2005,"Male",0,0,0,0
"AZE",2006,"Male",0,0,0.0841890722513199,0
"AZE",2007,"Male",0,0,0.19337597489357,0
"AZE",2008,"Male",0,0,0,0
"AZE",2009,"Male",0,0,0.106195345520973,0
"AZE",2010,"Male",0,0,0.295856148004532,0.0819216594099998
"AZE",2011,"Male",0,0,0.30390527844429,0
"AZE",2012,"Male",0,0,0,0
"AZE",2013,"Male",0,0,0.156972974538803,0
"AZE",2014,"Male",0,0,0,0
"AZE",2015,"Male",0,0,0,0
"AZE",2016,"Male",0,0,0,0
"AZE",2017,"Male",0,0,0,0
"AZE",2018,"Male",0,0,0,0
"AZE",2019,"Male",0,0,0,0
"AZE",2020,"Male",0.0847454071044922,0,0,0
"AZE",2021,"Male",0,0,0.0437107905745506,0
"BDI",2000,"Male",0,0,65.8640060424805,0
"BDI",2001,"Male",0,0,47.2274398803711,0
"BDI",2002,"Male",0,0,28.3578128814697,0
"BDI",2003,"Male",0,0,34.3177223205566,0
"BDI",2004,"Male",0,0,9.50069427490234,0.15449146926403
"BDI",2005,"Male",0,0,15.0499076843262,0
"BDI",2006,"Male",0,0,1.92706608772278,2.11153864860535
"BDI",2007,"Male",0,0,0.37247359752655,0.31144517660141
"BDI",2008,"Male",0,0,1.98008930683136,0.576388239860535
"BDI",2009,"Male",0,0,1.40327072143555,0
"BDI",2010,"Male",0,0,4.19315481185913,0.669723570346832
"BDI",2011,"Male",0,0,2.06720924377441,0.865798234939575
"BDI",2012,"Male",0,0,0.63738477230072,0
"BDI",2013,"Male",0,0,0.541649401187897,0
"BDI",2014,"Male",0,0,0.376227200031281,4.75050735473633
"BDI",2015,"Male",0,0,20.849328994751,1.83540618419647
"BDI",2016,"Male",0,0,14.3005113601685,1.44089722633362
"BDI",2017,"Male",0,0,9.67676258087158,0.35893252491951
"BDI",2018,"Male",0,0,10.2665395736694,0
"BDI",2019,"Male",0,0,7.11787605285645,0.777955174446106
"BDI",2020,"Male",0,0,6.62495279312134,0.363331377506256
"BDI",2021,"Male",0,0,8.17509269714355,0
"BEL",2000,"Male",0,0,0,0
"BEL",2001,"Male",0,0,0,0
"BEL",2002,"Male",0,0,0,0
"BEL",2003,"Male",0,0,0,0
"BEL",2004,"Male",0,0,0,0
"BEL",2005,"Male",0,0,0,0
"BEL",2006,"Male",0,0,0,0
"BEL",2007,"Male",0,0,0,0
"BEL",2008,"Male",0,0,0,0
"BEL",2009,"Male",0,0,0,0
"BEL",2010,"Male",0,0,0,0
"BEL",2011,"Male",0,0,0,0
"BEL",2012,"Male",0,0,0,0
"BEL",2013,"Male",0,0,0,0
"BEL",2014,"Male",0,0,0,0
"BEL",2015,"Male",0,0,0,0
"BEL",2016,"Male",0,0,0,0
"BEL",2017,"Male",0,0,0,0
"BEL",2018,"Male",0,0,0,0
"BEL",2019,"Male",0,0,0,0
"BEL",2020,"Male",0,0,0,0
"BEL",2021,"Male",0,0,0,0
"BEN",2000,"Male",0,0,0.033438365906477,0
"BEN",2001,"Male",0,0,0.0446586348116398,0
"BEN",2002,"Male",0,0,0,0
"BEN",2003,"Male",0,0,0,0
"BEN",2004,"Male",0,0,0,0
"BEN",2005,"Male",0,0,0,0
"BEN",2006,"Male",0,0,0,0
"BEN",2007,"Male",0,0,0.0659104064106941,0.444687098264694
"BEN",2008,"Male",0,0,0,0.894810795783997
"BEN",2009,"Male",0,0,0.0326938517391682,0.48834490776062
"BEN",2010,"Male",0,0,0,2.39374995231628
"BEN",2011,"Male",0,0,0,0
"BEN",2012,"Male",0,0,0,0.312719762325287
"BEN",2013,"Male",0,0,0,0
"BEN",2014,"Male",0,0,0,0
"BEN",2015,"Male",0,0,0.0641599893569946,0
"BEN",2016,"Male",0,0,0.351772248744965,0
"BEN",2017,"Male",0,0,0.254857391119003,0
"BEN",2018,"Male",0,0,0.11150486022234,0
"BEN",2019,"Male",0,0,0.282518327236176,0
"BEN",2020,"Male",0,0,0.290558218955994,0
"BEN",2021,"Male",0,0,0.296167463064194,0
"BFA",2000,"Male",0,0,0.0349893905222416,0
"BFA",2001,"Male",0,0,0,0
"BFA",2002,"Male",0,0,3.72744035720825,0
"BFA",2003,"Male",0,0,0.0352505296468735,0
"BFA",2004,"Male",0,0,0.105803437530994,0
"BFA",2005,"Male",0,0,0,0
"BFA",2006,"Male",0,0,0.0704762637615204,0
"BFA",2007,"Male",0,0,0,3.9951434135437
"BFA",2008,"Male",0,0,0.248017743229866,0.456686824560165
"BFA",2009,"Male",0,0,0,0.675959408283234
"BFA",2010,"Male",0,0,0.0354368686676025,1.1815105676651
"BFA",2011,"Male",0,0,0.283972293138504,0
"BFA",2012,"Male",0,0,0.213542729616165,1.18604099750519
"BFA",2013,"Male",0,0,0.24972864985466,0.0944884568452835
"BFA",2014,"Male",0,0,1.03530609607697,0
"BFA",2015,"Male",0,0,0.498620748519897,0.38127738237381
"BFA",2016,"Male",0,0,1.59915566444397,0.716648578643799
"BFA",2017,"Male",0,0,2.72396016120911,0.144524022936821
"BFA",2018,"Male",0,0,7.55253887176514,0
"BFA",2019,"Male",0,0,50.2000389099121,0
"BFA",2020,"Male",0,0,43.3165168762207,0
"BFA",2021,"Male",0,0,33.3813323974609,0
"BGD",2000,"Male",0,0,2.5447051525116,8.38529777526855
"BGD",2001,"Male",0,0,1.64133274555206,14.3460140228271
"BGD",2002,"Male",0,0,0.156293228268623,7.82688808441162
"BGD",2003,"Male",0,0,0.205193981528282,16.14866065979
"BGD",2004,"Male",0,0,1.28769719600677,54.8466491699219
"BGD",2005,"Male",0,0,1.9852489233017,15.8039588928223
"BGD",2006,"Male",0,0,2.35092163085938,10.920503616333
"BGD",2007,"Male",0,0,0.435121059417725,383.145904541016
"BGD",2008,"Male",0,0,0.309991210699081,4.1160774230957
"BGD",2009,"Male",0,0,0.234832525253296,14.3465328216553
"BGD",2010,"Male",0,0,0,5.61970186233521
"BGD",2011,"Male",0,0,0,2.20721554756165
"BGD",2012,"Male",0,0,0,16.635461807251
"BGD",2013,"Male",0,0,14.130877494812,4.17739343643188
"BGD",2014,"Male",0,0,5.61716270446777,3.77799940109253
"BGD",2015,"Male",0,0,7.58440113067627,10.856861114502
