"ISO3","Year","Sex","Measles","measout","msl"
"BEN",2014,"F",0,NA,NA
"BEN",2015,"F",0,NA,NA
"BEN",2016,"F",0,NA,NA
"BEN",2017,"F",0,NA,NA
"BEN",2018,"F",0,NA,NA
"BEN",2019,"F",0,NA,NA
"BEN",2020,"F",0,NA,NA
"BEN",2021,"F",0,NA,NA
"BFA",2000,"F",0,NA,NA
"BFA",2001,"F",0,NA,NA
"BFA",2002,"F",0,NA,NA
"BFA",2003,"F",0,NA,NA
"BFA",2004,"F",0,NA,NA
"BFA",2005,"F",0,NA,NA
"BFA",2006,"F",0,NA,NA
"BFA",2007,"F",0,NA,NA
"BFA",2008,"F",0,NA,NA
"BFA",2009,"F",0,NA,NA
"BFA",2010,"F",0,NA,NA
"BFA",2011,"F",0,NA,NA
"BFA",2012,"F",0,NA,NA
"BFA",2013,"F",0,NA,NA
"BFA",2014,"F",0,NA,NA
"BFA",2015,"F",0,NA,NA
"BFA",2016,"F",0,NA,NA
"BFA",2017,"F",0,NA,NA
"BFA",2018,"F",0,NA,NA
"BFA",2019,"F",0,NA,NA
"BFA",2020,"F",0,NA,NA
"BFA",2021,"F",0,NA,NA
"BGD",2000,"F",0,NA,NA
"BGD",2001,"F",0,NA,NA
"BGD",2002,"F",0,NA,NA
"BGD",2003,"F",0,NA,NA
"BGD",2004,"F",0,NA,NA
"BGD",2005,"F",0,NA,NA
"BGD",2006,"F",0,NA,NA
"BGD",2007,"F",0,NA,NA
"BGD",2008,"F",0,NA,NA
"BGD",2009,"F",0,NA,NA
"BGD",2010,"F",0,NA,NA
"BGD",2011,"F",0,NA,NA
"BGD",2012,"F",0,NA,NA
"BGD",2013,"F",0,NA,NA
"BGD",2014,"F",0,NA,NA
"BGD",2015,"F",0,NA,NA
"BGD",2016,"F",0,NA,NA
"BGD",2017,"F",0,NA,NA
"BGD",2018,"F",0,NA,NA
"BGD",2019,"F",0,NA,NA
"BGD",2020,"F",0,NA,NA
"BGD",2021,"F",0,NA,NA
"BHR",2000,"F",0,NA,NA
"BHR",2001,"F",0,NA,NA
"BHR",2002,"F",0,NA,NA
"BHR",2003,"F",0,NA,NA
"BHR",2004,"F",0,NA,NA
"BHR",2005,"F",0,NA,NA
"BHR",2006,"F",0,NA,NA
"BHR",2007,"F",0,NA,NA
"BHR",2008,"F",0,NA,NA
"BHR",2009,"F",0,NA,NA
"BHR",2010,"F",0,NA,NA
"BHR",2011,"F",0,NA,NA
"BHR",2012,"F",0,NA,NA
"BHR",2013,"F",0,NA,NA
"BHR",2014,"F",0,NA,NA
"BHR",2015,"F",0,NA,NA
"BHR",2016,"F",0,NA,NA
"BHR",2017,"F",0,NA,NA
"BHR",2018,"F",0,NA,NA
"BHR",2019,"F",0,NA,NA
"BHR",2020,"F",0,NA,NA
"BHR",2021,"F",0,NA,NA
"BHS",2000,"F",0,NA,NA
"BHS",2001,"F",0,NA,NA
"BHS",2002,"F",0,NA,NA
"BHS",2003,"F",0,NA,NA
"BHS",2004,"F",0,NA,NA
"BHS",2005,"F",0,NA,NA
"BHS",2006,"F",0,NA,NA
"BHS",2007,"F",0,NA,NA
"BHS",2008,"F",0,NA,NA
"BHS",2009,"F",0,NA,NA
"BHS",2010,"F",0,NA,NA
"BHS",2011,"F",0,NA,NA
"BHS",2012,"F",0,NA,NA
"BHS",2013,"F",0,NA,NA
"BHS",2014,"F",0,NA,NA
"BHS",2015,"F",0,NA,NA
"BHS",2016,"F",0,NA,NA
"BHS",2017,"F",0,NA,NA
"BHS",2018,"F",0,NA,NA
"BHS",2019,"F",0,NA,NA
"BHS",2020,"F",0,NA,NA
"BHS",2021,"F",0,NA,NA
"BIH",2000,"F",0,NA,NA
"BIH",2001,"F",0,NA,NA
"BIH",2002,"F",0,NA,NA
"BIH",2003,"F",0,NA,NA
"BIH",2004,"F",0,NA,NA
"BIH",2005,"F",0,NA,NA
"BIH",2006,"F",0,NA,NA
"BIH",2007,"F",0,NA,NA
"BIH",2008,"F",0,NA,NA
"BIH",2009,"F",0,NA,NA
"BIH",2010,"F",0,NA,NA
"BIH",2011,"F",0,NA,NA
"BIH",2012,"F",0,NA,NA
"BIH",2013,"F",0,NA,NA
"BIH",2014,"F",0,NA,NA
"BIH",2015,"F",0,NA,NA
"BIH",2016,"F",0,NA,NA
"BIH",2017,"F",0,NA,NA
"BIH",2018,"F",0,NA,NA
"BIH",2019,"F",0,NA,NA
"BIH",2020,"F",0,NA,NA
"BIH",2021,"F",0,NA,NA
"BLR",2000,"F",0,NA,NA
"BLR",2001,"F",0,NA,NA
"BLR",2002,"F",0,NA,NA
"BLR",2003,"F",0,NA,NA
"BLR",2004,"F",0,NA,NA
"BLR",2005,"F",0,NA,NA
"BLR",2006,"F",0,NA,NA
"BLR",2007,"F",0,NA,NA
"BLR",2008,"F",0,NA,NA
"BLR",2009,"F",0,NA,NA
"BLR",2010,"F",0,NA,NA
"BLR",2011,"F",0,NA,NA
"BLR",2012,"F",0,NA,NA
"BLR",2013,"F",0,NA,NA
"BLR",2014,"F",0,NA,NA
"BLR",2015,"F",0,NA,NA
"BLR",2016,"F",0,NA,NA
"BLR",2017,"F",0,NA,NA
"BLR",2018,"F",0,NA,NA
"BLR",2019,"F",0,NA,NA
"BLR",2020,"F",0,NA,NA
"BLR",2021,"F",0,NA,NA
"BLZ",2000,"F",0,NA,NA
"BLZ",2001,"F",0,NA,NA
"BLZ",2002,"F",0,NA,NA
"BLZ",2003,"F",0,NA,NA
"BLZ",2004,"F",0,NA,NA
"BLZ",2005,"F",0,NA,NA
"BLZ",2006,"F",0,NA,NA
"BLZ",2007,"F",0,NA,NA
"BLZ",2008,"F",0,NA,NA
"BLZ",2009,"F",0,NA,NA
"BLZ",2010,"F",0,NA,NA
"BLZ",2011,"F",0,NA,NA
"BLZ",2012,"F",0,NA,NA
"BLZ",2013,"F",0,NA,NA
"BLZ",2014,"F",0,NA,NA
"BLZ",2015,"F",0,NA,NA
"BLZ",2016,"F",0,NA,NA
"BLZ",2017,"F",0,NA,NA
"BLZ",2018,"F",0,NA,NA
"BLZ",2019,"F",0,NA,NA
"BLZ",2020,"F",0,NA,NA
"BLZ",2021,"F",0,NA,NA
"BOL",2000,"F",0,NA,NA
"BOL",2001,"F",0,NA,NA
"BOL",2002,"F",0,NA,NA
"BOL",2003,"F",0,NA,NA
"BOL",2004,"F",0,NA,NA
"BOL",2005,"F",0,NA,NA
"BOL",2006,"F",0,NA,NA
"BOL",2007,"F",0,NA,NA
"BOL",2008,"F",0,NA,NA
"BOL",2009,"F",0,NA,NA
"BOL",2010,"F",0,NA,NA
"BOL",2011,"F",0,NA,NA
"BOL",2012,"F",0,NA,NA
"BOL",2013,"F",0,NA,NA
"BOL",2014,"F",0,NA,NA
"BOL",2015,"F",0,NA,NA
"BOL",2016,"F",0,NA,NA
"BOL",2017,"F",0,NA,NA
"BOL",2018,"F",0,NA,NA
"BOL",2019,"F",0,NA,NA
"BOL",2020,"F",0,NA,NA
"BOL",2021,"F",0,NA,NA
"BTN",2000,"F",0,NA,NA
"BTN",2001,"F",0,NA,NA
"BTN",2002,"F",0,NA,NA
"BTN",2003,"F",0,NA,NA
"BTN",2004,"F",0,NA,NA
"BTN",2005,"F",0,NA,NA
"BTN",2006,"F",0,NA,NA
"BTN",2007,"F",0,NA,NA
"BTN",2008,"F",0,NA,NA
"BTN",2009,"F",0,NA,NA
"BTN",2010,"F",0,NA,NA
"BTN",2011,"F",0,NA,NA
"BTN",2012,"F",0,NA,NA
"BTN",2013,"F",0,NA,NA
"BTN",2014,"F",0,NA,NA
"BTN",2015,"F",0,NA,NA
"BTN",2016,"F",0,NA,NA
"BTN",2017,"F",0,NA,NA
"BTN",2018,"F",0,NA,NA
"BTN",2019,"F",0,NA,NA
"BTN",2020,"F",0,NA,NA
"BTN",2021,"F",0,NA,NA
"BWA",2000,"F",0,NA,NA
"BWA",2001,"F",0,NA,NA
"BWA",2002,"F",0,NA,NA
"BWA",2003,"F",0,NA,NA
"BWA",2004,"F",0,NA,NA
"BWA",2005,"F",0,NA,NA
"BWA",2006,"F",0,NA,NA
"BWA",2007,"F",0,NA,NA
"BWA",2008,"F",0,NA,NA
"BWA",2009,"F",0,NA,NA
"BWA",2010,"F",0,NA,NA
"BWA",2011,"F",0,NA,NA
"BWA",2012,"F",0,NA,NA
"BWA",2013,"F",0,NA,NA
"BWA",2014,"F",0,NA,NA
"BWA",2015,"F",0,NA,NA
"BWA",2016,"F",0,NA,NA
"BWA",2017,"F",0,NA,NA
"BWA",2018,"F",0,NA,NA
"BWA",2019,"F",0,NA,NA
"BWA",2020,"F",0,NA,NA
"BWA",2021,"F",0,NA,NA
"CAF",2000,"F",0,NA,NA
"CAF",2001,"F",0,NA,NA
"CAF",2002,"F",0,NA,NA
"CAF",2003,"F",0,NA,NA
"CAF",2004,"F",0,NA,NA
"CAF",2005,"F",0,NA,NA
"CAF",2006,"F",0,NA,NA
"CAF",2007,"F",0,NA,NA
"CAF",2008,"F",0,NA,NA
"CAF",2009,"F",0,NA,NA
"CAF",2010,"F",0,NA,NA
"CAF",2011,"F",0,NA,NA
"CAF",2012,"F",0,NA,NA
"CAF",2013,"F",0,NA,NA
"CAF",2014,"F",0,NA,NA
"CAF",2015,"F",0,NA,NA
"CAF",2016,"F",0,NA,NA
"CAF",2017,"F",0,NA,NA
"CAF",2018,"F",0,NA,NA
"CAF",2019,"F",0,NA,NA
"CAF",2020,"F",0,NA,NA
"CAF",2021,"F",0,NA,NA
"CIV",2000,"F",0,NA,NA
"CIV",2001,"F",0,NA,NA
"CIV",2002,"F",0,NA,NA
"CIV",2003,"F",0,NA,NA
"CIV",2004,"F",0,NA,NA
"CIV",2005,"F",0,NA,NA
"CIV",2006,"F",0,NA,NA
"CIV",2007,"F",0,NA,NA
"CIV",2008,"F",0,NA,NA
"CIV",2009,"F",0,NA,NA
"CIV",2010,"F",0,NA,NA
"CIV",2011,"F",0,NA,NA
"CIV",2012,"F",0,NA,NA
"CIV",2013,"F",0,NA,NA
"CIV",2014,"F",0,NA,NA
"CIV",2015,"F",0,NA,NA
"CIV",2016,"F",0,NA,NA
"CIV",2017,"F",0,NA,NA
"CIV",2018,"F",0,NA,NA
"CIV",2019,"F",0,NA,NA
"CIV",2020,"F",0,NA,NA
"CIV",2021,"F",0,NA,NA
"CMR",2000,"F",0,NA,NA
"CMR",2001,"F",0,NA,NA
"CMR",2002,"F",0,NA,NA
"CMR",2003,"F",0,NA,NA
"CMR",2004,"F",0,NA,NA
"CMR",2005,"F",0,NA,NA
"CMR",2006,"F",0,NA,NA
"CMR",2007,"F",0,NA,NA
"CMR",2008,"F",0,NA,NA
"CMR",2009,"F",0,NA,NA
"CMR",2010,"F",0,NA,NA
"CMR",2011,"F",0,NA,NA
"CMR",2012,"F",0,NA,NA
"CMR",2013,"F",0,NA,NA
"CMR",2014,"F",0,NA,NA
"CMR",2015,"F",0,NA,NA
"CMR",2016,"F",0,NA,NA
"CMR",2017,"F",0,NA,NA
"CMR",2018,"F",0,NA,NA
"CMR",2019,"F",0,NA,NA
"CMR",2020,"F",0,NA,NA
"CMR",2021,"F",0,NA,NA
"COD",2000,"F",0,NA,NA
"COD",2001,"F",0,NA,NA
"COD",2002,"F",0,NA,NA
"COD",2003,"F",0,NA,NA
"COD",2004,"F",0,NA,NA
"COD",2005,"F",0,NA,NA
"COD",2006,"F",0,NA,NA
"COD",2007,"F",0,NA,NA
"COD",2008,"F",0,NA,NA
"COD",2009,"F",0,NA,NA
"COD",2010,"F",0,NA,NA
"COD",2011,"F",0,NA,NA
"COD",2012,"F",0,NA,NA
"COD",2013,"F",0,NA,NA
"COD",2014,"F",0,NA,NA
"COD",2015,"F",0,NA,NA
"COD",2016,"F",0,NA,NA
"COD",2017,"F",0,NA,NA
"COD",2018,"F",0,NA,NA
"COD",2019,"F",0,NA,NA
"COD",2020,"F",0,NA,NA
"COD",2021,"F",0,NA,NA
"COG",2000,"F",0,NA,NA
"COG",2001,"F",0,NA,NA
"COG",2002,"F",0,NA,NA
"COG",2003,"F",0,NA,NA
"COG",2004,"F",0,NA,NA
"COG",2005,"F",0,NA,NA
"COG",2006,"F",0,NA,NA
"COG",2007,"F",0,NA,NA
"COG",2008,"F",0,NA,NA
"COG",2009,"F",0,NA,NA
"COG",2010,"F",0,NA,NA
"COG",2011,"F",0,NA,NA
"COG",2012,"F",0,NA,NA
"COG",2013,"F",0,NA,NA
"COG",2014,"F",0,NA,NA
"COG",2015,"F",0,NA,NA
"COG",2016,"F",0,NA,NA
"COG",2017,"F",0,NA,NA
"COG",2018,"F",0,NA,NA
"COG",2019,"F",0,NA,NA
"COG",2020,"F",0,NA,NA
"COG",2021,"F",0,NA,NA
"COK",2000,"F",0,NA,NA
"COK",2001,"F",0,NA,NA
"COK",2002,"F",0,NA,NA
"COK",2003,"F",0,NA,NA
"COK",2004,"F",0,NA,NA
"COK",2005,"F",0,NA,NA
"COK",2006,"F",0,NA,NA
"COK",2007,"F",0,NA,NA
"COK",2008,"F",0,NA,NA
"COK",2009,"F",0,NA,NA
"COK",2010,"F",0,NA,NA
"COK",2011,"F",0,NA,NA
"COK",2012,"F",0,NA,NA
"COK",2013,"F",0,NA,NA
"COK",2014,"F",0,NA,NA
"COK",2015,"F",0,NA,NA
"COK",2016,"F",0,NA,NA
"COK",2017,"F",0,NA,NA
"COK",2018,"F",0,NA,NA
"COK",2019,"F",0,NA,NA
"COK",2020,"F",0,NA,NA
"COK",2021,"F",0,NA,NA
"COM",2000,"F",0,NA,NA
"COM",2001,"F",0,NA,NA
"COM",2002,"F",0,NA,NA
"COM",2003,"F",0,NA,NA
"COM",2004,"F",0,NA,NA
"COM",2005,"F",0,NA,NA
"COM",2006,"F",0,NA,NA
"COM",2007,"F",0,NA,NA
"COM",2008,"F",0,NA,NA
"COM",2009,"F",0,NA,NA
"COM",2010,"F",0,NA,NA
"COM",2011,"F",0,NA,NA
"COM",2012,"F",0,NA,NA
"COM",2013,"F",0,NA,NA
"COM",2014,"F",0,NA,NA
"COM",2015,"F",0,NA,NA
"COM",2016,"F",0,NA,NA
"COM",2017,"F",0,NA,NA
"COM",2018,"F",0,NA,NA
"COM",2019,"F",0,NA,NA
"COM",2020,"F",0,NA,NA
"COM",2021,"F",0,NA,NA
"CPV",2000,"F",0,NA,NA
"CPV",2001,"F",0,NA,NA
"CPV",2002,"F",0,NA,NA
"CPV",2003,"F",0,NA,NA
"CPV",2004,"F",0,NA,NA
"CPV",2005,"F",0,NA,NA
"CPV",2006,"F",0,NA,NA
"CPV",2007,"F",0,NA,NA
"CPV",2008,"F",0,NA,NA
"CPV",2009,"F",0,NA,NA
"CPV",2010,"F",0,NA,NA
"CPV",2011,"F",0,NA,NA
"CPV",2012,"F",0,NA,NA
"CPV",2013,"F",0,NA,NA
"CPV",2014,"F",0,NA,NA
"CPV",2015,"F",0,NA,NA
"CPV",2016,"F",0,NA,NA
"CPV",2017,"F",0,NA,NA
"CPV",2018,"F",0,NA,NA
"CPV",2019,"F",0,NA,NA
"CPV",2020,"F",0,NA,NA
"CPV",2021,"F",0,NA,NA
"DJI",2000,"F",0,NA,NA
"DJI",2001,"F",0,NA,NA
"DJI",2002,"F",0,NA,NA
"DJI",2003,"F",0,NA,NA
"DJI",2004,"F",0,NA,NA
"DJI",2005,"F",0,NA,NA
"DJI",2006,"F",0,NA,NA
"DJI",2007,"F",0,NA,NA
"DJI",2008,"F",0,NA,NA
"DJI",2009,"F",0,NA,NA
"DJI",2010,"F",0,NA,NA
"DJI",2011,"F",0,NA,NA
"DJI",2012,"F",0,NA,NA
"DJI",2013,"F",0,NA,NA
"DJI",2014,"F",0,NA,NA
"DJI",2015,"F",0,NA,NA
"DJI",2016,"F",0,NA,NA
"DJI",2017,"F",0,NA,NA
"DJI",2018,"F",0,NA,NA
"DJI",2019,"F",0,NA,NA
"DJI",2020,"F",0,NA,NA
"DJI",2021,"F",0,NA,NA
"DMA",2000,"F",0,NA,NA
"DMA",2001,"F",0,NA,NA
"DMA",2002,"F",0,NA,NA
"DMA",2003,"F",0,NA,NA
"DMA",2004,"F",0,NA,NA
"DMA",2005,"F",0,NA,NA
"DMA",2006,"F",0,NA,NA
"DMA",2007,"F",0,NA,NA
"DMA",2008,"F",0,NA,NA
"DMA",2009,"F",0,NA,NA
"DMA",2010,"F",0,NA,NA
"DMA",2011,"F",0,NA,NA
"DMA",2012,"F",0,NA,NA
"DMA",2013,"F",0,NA,NA
"DMA",2014,"F",0,NA,NA
"DMA",2015,"F",0,NA,NA
"DMA",2016,"F",0,NA,NA
"DMA",2017,"F",0,NA,NA
"DMA",2018,"F",0,NA,NA
"DMA",2019,"F",0,NA,NA
"DMA",2020,"F",0,NA,NA
"DMA",2021,"F",0,NA,NA
"DOM",2000,"F",0,NA,NA
"DOM",2001,"F",0,NA,NA
"DOM",2002,"F",0,NA,NA
"DOM",2003,"F",0,NA,NA
"DOM",2004,"F",0,NA,NA
"DOM",2005,"F",0,NA,NA
"DOM",2006,"F",0,NA,NA
"DOM",2007,"F",0,NA,NA
"DOM",2008,"F",0,NA,NA
"DOM",2009,"F",0,NA,NA
"DOM",2010,"F",0,NA,NA
"DOM",2011,"F",0,NA,NA
"DOM",2012,"F",0,NA,NA
"DOM",2013,"F",0,NA,NA
"DOM",2014,"F",0,NA,NA
"DOM",2015,"F",0,NA,NA
"DOM",2016,"F",0,NA,NA
"DOM",2017,"F",0,NA,NA
"DOM",2018,"F",0,NA,NA
"DOM",2019,"F",0,NA,NA
"DOM",2020,"F",0,NA,NA
"DOM",2021,"F",0,NA,NA
"DZA",2000,"F",0,NA,NA
"DZA",2001,"F",0,NA,NA
"DZA",2002,"F",0,NA,NA
"DZA",2003,"F",0,NA,NA
"DZA",2004,"F",0,NA,NA
"DZA",2005,"F",0,NA,NA
"DZA",2006,"F",0,NA,NA
"DZA",2007,"F",0,NA,NA
"DZA",2008,"F",0,NA,NA
"DZA",2009,"F",0,NA,NA
"DZA",2010,"F",0,NA,NA
"DZA",2011,"F",0,NA,NA
"DZA",2012,"F",0,NA,NA
"DZA",2013,"F",0,NA,NA
"DZA",2014,"F",0,NA,NA
"DZA",2015,"F",0,NA,NA
"DZA",2016,"F",0,NA,NA
"DZA",2017,"F",0,NA,NA
"DZA",2018,"F",0,NA,NA
"DZA",2019,"F",0,NA,NA
"DZA",2020,"F",0,NA,NA
"DZA",2021,"F",0,NA,NA
"EGY",2000,"F",0,NA,NA
"EGY",2001,"F",0,NA,NA
"EGY",2002,"F",0,NA,NA
"EGY",2003,"F",0,NA,NA
"EGY",2004,"F",0,NA,NA
"EGY",2005,"F",0,NA,NA
"EGY",2006,"F",0,NA,NA
"EGY",2007,"F",0,NA,NA
"EGY",2008,"F",0,NA,NA
"EGY",2009,"F",0,NA,NA
"EGY",2010,"F",0,NA,NA
"EGY",2011,"F",0,NA,NA
"EGY",2012,"F",0,NA,NA
"EGY",2013,"F",0,NA,NA
"EGY",2014,"F",0,NA,NA
"EGY",2015,"F",0,NA,NA
"EGY",2016,"F",0,NA,NA
"EGY",2017,"F",0,NA,NA
"EGY",2018,"F",0,NA,NA
"EGY",2019,"F",0,NA,NA
"EGY",2020,"F",0,NA,NA
"EGY",2021,"F",0,NA,NA
"ERI",2000,"F",0,NA,NA
"ERI",2001,"F",0,NA,NA
"ERI",2002,"F",0,NA,NA
"ERI",2003,"F",0,NA,NA
"ERI",2004,"F",0,NA,NA
"ERI",2005,"F",0,NA,NA
"ERI",2006,"F",0,NA,NA
"ERI",2007,"F",0,NA,NA
"ERI",2008,"F",0,NA,NA
"ERI",2009,"F",0,NA,NA
"ERI",2010,"F",0,NA,NA
"ERI",2011,"F",0,NA,NA
"ERI",2012,"F",0,NA,NA
"ERI",2013,"F",0,NA,NA
"ERI",2014,"F",0,NA,NA
"ERI",2015,"F",0,NA,NA
"ERI",2016,"F",0,NA,NA
"ERI",2017,"F",0,NA,NA
"ERI",2018,"F",0,NA,NA
"ERI",2019,"F",0,NA,NA
"ERI",2020,"F",0,NA,NA
"ERI",2021,"F",0,NA,NA
"ETH",2000,"F",0,NA,NA
"ETH",2001,"F",0,NA,NA
"ETH",2002,"F",0,NA,NA
"ETH",2003,"F",0,NA,NA
"ETH",2004,"F",0,NA,NA
"ETH",2005,"F",0,NA,NA
"ETH",2006,"F",0,NA,NA
"ETH",2007,"F",0,NA,NA
"ETH",2008,"F",0,NA,NA
"ETH",2009,"F",0,NA,NA
"ETH",2010,"F",0,NA,NA
"ETH",2011,"F",0,NA,NA
"ETH",2012,"F",0,NA,NA
"ETH",2013,"F",0,NA,NA
"ETH",2014,"F",0,NA,NA
"ETH",2015,"F",0,NA,NA
"ETH",2016,"F",0,NA,NA
"ETH",2017,"F",0,NA,NA
"ETH",2018,"F",0,NA,NA
"ETH",2019,"F",0,NA,NA
"ETH",2020,"F",0,NA,NA
"ETH",2021,"F",0,NA,NA
"FJI",2000,"F",0,NA,NA
"FJI",2001,"F",0,NA,NA
"FJI",2002,"F",0,NA,NA
"FJI",2003,"F",0,NA,NA
"FJI",2004,"F",0,NA,NA
"FJI",2005,"F",0,NA,NA
"FJI",2006,"F",0,NA,NA
"FJI",2007,"F",0,NA,NA
"FJI",2008,"F",0,NA,NA
"FJI",2009,"F",0,NA,NA
"FJI",2010,"F",0,NA,NA
"FJI",2011,"F",0,NA,NA
